split,path_id,origin_week,target_week,route,reference_wait_forecast_weeks,realised_next_state_wait_proxy_weeks,forecast_error_weeks,absolute_error_weeks,squared_error_weeks2
validation,validation_000_b61404cedf67,2001-01-01,2001-01-08,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-01,2001-01-08,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-01,2001-01-08,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-08,2001-01-15,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-08,2001-01-15,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-08,2001-01-15,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-15,2001-01-22,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-15,2001-01-22,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-15,2001-01-22,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-22,2001-01-29,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-22,2001-01-29,Khor_Fakkan,2.0,2.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-22,2001-01-29,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-29,2001-02-05,Fujairah,3.0,3.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-01-29,2001-02-05,Khor_Fakkan,2.0,3.0273367299950165,1.0273367299950165,1.0273367299950165,1.0554207567968534
validation,validation_000_b61404cedf67,2001-01-29,2001-02-05,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-02-05,2001-02-12,Fujairah,3.0,6.287509818842013,3.287509818842013,3.287509818842013,10.807720808982644
validation,validation_000_b61404cedf67,2001-02-05,2001-02-12,Khor_Fakkan,3.0273367299950165,4.302235792230442,1.2748990622354253,1.2748990622354253,1.6253676188887667
validation,validation_000_b61404cedf67,2001-02-05,2001-02-12,Sohar,4.0,4.0,0.0,0.0,0.0
validation,validation_000_b61404cedf67,2001-02-12,2001-02-19,Fujairah,6.287509818842013,10.257300442503505,3.969790623661492,3.969790623661492,15.759237595710697
validation,validation_000_b61404cedf67,2001-02-12,2001-02-19,Khor_Fakkan,4.302235792230442,4.579098086227302,0.27686229399686013,0.27686229399686013,0.07665272983720381
validation,validation_000_b61404cedf67,2001-02-12,2001-02-19,Sohar,4.0,4.162059375131719,0.16205937513171875,0.16205937513171875,0.026263241068083143
validation,validation_000_b61404cedf67,2001-02-19,2001-02-26,Fujairah,10.257300442503505,12.267771488570293,2.0104710460667885,2.0104710460667885,4.041993827072887
validation,validation_000_b61404cedf67,2001-02-19,2001-02-26,Khor_Fakkan,4.579098086227302,4.624597084263187,0.04549899803588531,0.04549899803588531,0.002070158822269495
validation,validation_000_b61404cedf67,2001-02-19,2001-02-26,Sohar,4.162059375131719,4.356238761323121,0.19417938619140251,0.19417938619140251,0.03770563402166984
validation,validation_000_b61404cedf67,2001-02-26,2001-03-05,Fujairah,12.267771488570293,15.136265708332179,2.8684942197618852,2.8684942197618852,8.228259088807347
validation,validation_000_b61404cedf67,2001-02-26,2001-03-05,Khor_Fakkan,4.624597084263187,4.4351355312415235,-0.18946155302166368,0.18946155302166368,0.035895680073380676
validation,validation_000_b61404cedf67,2001-02-26,2001-03-05,Sohar,4.356238761323121,4.445878842480591,0.08964008115746935,0.08964008115746935,0.008035344149917693
validation,validation_000_b61404cedf67,2001-03-05,2001-03-12,Fujairah,15.136265708332179,16.80224172688512,1.6659760185529429,1.6659760185529429,2.7754760943935155
validation,validation_000_b61404cedf67,2001-03-05,2001-03-12,Khor_Fakkan,4.4351355312415235,4.086917541308469,-0.34821798993305464,0.34821798993305464,0.12125576851301695
validation,validation_000_b61404cedf67,2001-03-05,2001-03-12,Sohar,4.445878842480591,4.451751829831228,0.005872987350637793,0.005872987350637793,3.449198042075152e-05
validation,validation_000_b61404cedf67,2001-03-12,2001-03-19,Fujairah,16.80224172688512,17.847623274902716,1.0453815480175948,1.0453815480175948,1.0928225809356629
validation,validation_000_b61404cedf67,2001-03-12,2001-03-19,Khor_Fakkan,4.086917541308469,3.827410427225371,-0.2595071140830978,0.2595071140830978,0.06734394225973793
validation,validation_000_b61404cedf67,2001-03-12,2001-03-19,Sohar,4.451751829831228,4.436631796826316,-0.015120033004912159,0.015120033004912159,0.00022861539806963302
validation,validation_000_b61404cedf67,2001-03-19,2001-03-26,Fujairah,17.847623274902716,19.10794226666467,1.2603189917619524,1.2603189917619524,1.5884039609958642
validation,validation_000_b61404cedf67,2001-03-19,2001-03-26,Khor_Fakkan,3.827410427225371,4.077231350868697,0.24982092364332598,0.24982092364332598,0.062410493890004505
validation,validation_000_b61404cedf67,2001-03-19,2001-03-26,Sohar,4.436631796826316,4.415416005409966,-0.021215791416349994,0.021215791416349994,0.0004501098054220701
validation,validation_000_b61404cedf67,2001-03-26,2001-04-02,Fujairah,19.10794226666467,21.245138124521763,2.137195857857094,2.137195857857094,4.56760613484152
validation,validation_000_b61404cedf67,2001-03-26,2001-04-02,Khor_Fakkan,4.077231350868697,4.128223177037847,0.05099182616914977,0.05099182616914977,0.0026001663360647872
validation,validation_000_b61404cedf67,2001-03-26,2001-04-02,Sohar,4.415416005409966,4.388145781925522,-0.027270223484443967,0.027270223484443967,0.0007436650888915193
validation,validation_000_b61404cedf67,2001-04-02,2001-04-09,Fujairah,21.245138124521763,22.29778546994813,1.0526473454263687,1.0526473454263687,1.108066433833181
validation,validation_000_b61404cedf67,2001-04-02,2001-04-09,Khor_Fakkan,4.128223177037847,4.278331795877673,0.15010861883982596,0.15010861883982596,0.022532597450000153
validation,validation_000_b61404cedf67,2001-04-02,2001-04-09,Sohar,4.388145781925522,4.441063780032861,0.05291799810733888,0.05291799810733888,0.0028003145236883214
validation,validation_000_b61404cedf67,2001-04-09,2001-04-16,Fujairah,22.29778546994813,23.830608368529465,1.5328228985813332,1.5328228985813332,2.3495460384152804
validation,validation_000_b61404cedf67,2001-04-09,2001-04-16,Khor_Fakkan,4.278331795877673,4.46252611109607,0.1841943152183969,0.1841943152183969,0.033927545758774165
validation,validation_000_b61404cedf67,2001-04-09,2001-04-16,Sohar,4.441063780032861,4.440391699210698,-0.0006720808221629682,0.0006720808221629682,4.516926315192512e-07
validation,validation_000_b61404cedf67,2001-04-16,2001-04-23,Fujairah,23.830608368529465,25.503318675894565,1.6727103073651008,1.6727103073651008,2.7979597723654503
validation,validation_000_b61404cedf67,2001-04-16,2001-04-23,Khor_Fakkan,4.46252611109607,4.754322147795761,0.291796036699691,0.291796036699691,0.08514492703364743
validation,validation_000_b61404cedf67,2001-04-16,2001-04-23,Sohar,4.440391699210698,4.444618383181119,0.004226683970420808,0.004226683970420808,1.7864857385812206e-05
validation,validation_000_b61404cedf67,2001-04-23,2001-04-30,Fujairah,25.503318675894565,27.456681401198335,1.9533627253037693,1.9533627253037693,3.815625936606169
validation,validation_000_b61404cedf67,2001-04-23,2001-04-30,Khor_Fakkan,4.754322147795761,4.638410013408502,-0.11591213438725845,0.11591213438725845,0.013435622898209862
validation,validation_000_b61404cedf67,2001-04-23,2001-04-30,Sohar,4.444618383181119,4.444722954881921,0.0001045717008016922,0.0001045717008016922,1.0935240608558633e-08
validation,validation_000_b61404cedf67,2001-04-30,2001-05-07,Fujairah,27.456681401198335,28.46923725098467,1.0125558497863345,1.0125558497863345,1.025269348936526
validation,validation_000_b61404cedf67,2001-04-30,2001-05-07,Khor_Fakkan,4.638410013408502,4.682927838510048,0.044517825101546116,0.044517825101546116,0.0019818367517718495
validation,validation_000_b61404cedf67,2001-04-30,2001-05-07,Sohar,4.444722954881921,4.507449716070897,0.06272676118897635,0.06272676118897635,0.00393464656925887
validation,validation_000_b61404cedf67,2001-05-07,2001-05-14,Fujairah,28.46923725098467,29.890557660324337,1.4213204093396676,1.4213204093396676,2.0201517060054806
validation,validation_000_b61404cedf67,2001-05-07,2001-05-14,Khor_Fakkan,4.682927838510048,4.406685446647384,-0.27624239186266397,0.27624239186266397,0.0763098590620056
