portid,portname,country,ISO3,week_start,days_observed,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,is_complete_week
port362,Fujairah,United Arab Emirates,ARE,2018-12-31,6,0,7,0,0,38,7,45,0,53542,0,0,459215,53542,512757,0,388564,0,0,339372,388564,727936,False
port362,Fujairah,United Arab Emirates,ARE,2019-01-07,7,0,8,0,0,53,8,61,0,11500,0,0,571191,11500,582692,0,318837,0,0,489999,318837,808838,True
port362,Fujairah,United Arab Emirates,ARE,2019-01-14,7,0,10,1,0,45,11,56,0,26209,1120,0,440198,27329,467528,0,490958,1520,0,459665,492478,952146,True
port362,Fujairah,United Arab Emirates,ARE,2019-01-21,7,0,8,2,0,53,10,63,0,28658,2240,0,331744,30898,362644,0,266596,3040,0,661202,269636,930840,True
port362,Fujairah,United Arab Emirates,ARE,2019-01-28,7,0,8,1,0,43,9,52,0,43995,0,0,446260,43995,490255,0,398513,1162,0,390573,399675,790248,True
port362,Fujairah,United Arab Emirates,ARE,2019-02-04,7,0,10,1,0,55,11,66,0,10406,235,0,545803,10641,556446,0,495960,0,0,597404,495960,1093367,True
port362,Fujairah,United Arab Emirates,ARE,2019-02-11,7,0,10,1,0,53,11,64,0,36587,0,0,509389,36587,545976,0,461890,140,0,502420,462030,964456,True
port362,Fujairah,United Arab Emirates,ARE,2019-02-18,7,0,13,1,0,51,14,65,0,138472,1120,0,757379,139592,896972,0,477870,1520,0,663261,479390,1142653,True
port362,Fujairah,United Arab Emirates,ARE,2019-02-25,7,0,5,0,0,54,5,59,0,105849,0,0,511685,105849,617535,0,84634,0,0,467223,84634,551857,True
port362,Fujairah,United Arab Emirates,ARE,2019-03-04,7,0,7,0,0,59,7,66,0,54117,0,0,609042,54117,663160,0,336003,0,0,762354,336003,1098359,True
port362,Fujairah,United Arab Emirates,ARE,2019-03-11,7,0,7,1,0,55,8,63,0,104429,1120,0,640846,105550,746398,0,305595,1520,0,534303,307116,841419,True
port362,Fujairah,United Arab Emirates,ARE,2019-03-18,7,0,4,0,0,52,4,56,0,0,0,0,525873,0,525873,0,261865,0,0,717473,261865,979340,True
port362,Fujairah,United Arab Emirates,ARE,2019-03-25,7,0,5,1,0,58,6,64,0,36829,0,0,662277,36829,699108,0,229818,9842,0,659465,239661,899127,True
port362,Fujairah,United Arab Emirates,ARE,2019-04-01,7,0,6,1,0,60,7,67,0,40628,703,0,709395,41331,750728,0,82475,0,0,608762,82475,691238,True
port362,Fujairah,United Arab Emirates,ARE,2019-04-08,7,0,7,1,0,49,8,57,0,10406,8620,0,406704,19026,425730,0,357173,0,0,683984,357173,1041159,True
port362,Fujairah,United Arab Emirates,ARE,2019-04-15,7,0,15,0,0,60,15,75,0,127869,0,0,481295,127869,609167,0,538310,0,0,765152,538310,1303465,True
port362,Fujairah,United Arab Emirates,ARE,2019-04-22,7,0,6,1,0,64,7,71,0,5203,0,0,703937,5203,709141,0,287289,279,0,776864,287568,1064433,True
