portid,portname,week_start,days_observed,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,is_complete_week
chokepoint6,Strait of Hormuz,2018-12-31,6,66,73,12,9,264,160,424,2428394,2763213,49427,21249,13297188,5262291,18559482,False
chokepoint6,Strait of Hormuz,2019-01-07,7,58,63,34,7,290,162,452,2189880,1931049,148934,21304,9657721,4291177,13948902,True
chokepoint6,Strait of Hormuz,2019-01-14,7,72,80,28,14,278,194,472,2931809,2378296,130052,21909,14262705,5462074,19724782,True
chokepoint6,Strait of Hormuz,2019-01-21,7,57,67,18,5,278,147,425,2110686,2225290,162495,15235,12532387,4513715,17046106,True
chokepoint6,Strait of Hormuz,2019-01-28,7,59,62,29,9,270,159,429,2115787,2231368,153589,17294,12858413,4518047,17376465,True
chokepoint6,Strait of Hormuz,2019-02-04,7,55,94,18,11,288,178,466,2157005,2593424,128755,11500,9754612,4890692,14645307,True
chokepoint6,Strait of Hormuz,2019-02-11,7,55,83,21,10,271,169,440,2552987,3050184,51984,9583,8635431,5664745,14300182,True
chokepoint6,Strait of Hormuz,2019-02-18,7,81,99,27,13,336,220,556,2729970,2862263,105388,37079,9862679,5734711,15597392,True
chokepoint6,Strait of Hormuz,2019-02-25,7,58,87,13,13,278,171,449,2283919,3147610,54971,14085,9323525,5500592,14824122,True
chokepoint6,Strait of Hormuz,2019-03-04,7,63,79,23,9,326,174,500,2968836,2789226,97557,14206,10518569,5869833,16388408,True
chokepoint6,Strait of Hormuz,2019-03-11,7,66,77,15,14,276,172,448,2419350,2326567,93864,18319,13564172,4858107,18422283,True
chokepoint6,Strait of Hormuz,2019-03-18,7,63,75,19,10,268,167,435,2171193,1902361,108719,14085,10037479,4196366,14233849,True
chokepoint6,Strait of Hormuz,2019-03-25,7,68,75,25,12,273,180,453,2873635,2090279,143454,9022,10604329,5116397,15720729,True
chokepoint6,Strait of Hormuz,2019-04-01,7,65,92,16,13,282,186,468,2481281,2705822,106036,32025,10189516,5325171,15514690,True
chokepoint6,Strait of Hormuz,2019-04-08,7,67,75,24,10,302,176,478,2625711,2202744,197395,21096,11948280,5046956,16995240,True
chokepoint6,Strait of Hormuz,2019-04-15,7,84,131,27,15,357,257,614,3158646,4467858,107321,32859,17483345,7766693,25250045,True
