date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2019-01-01,2019,1,1,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,8,2,10,0,0,0,0,22803,0,22803,0,163796,0,0,122685,163796,286481,177969
2019-01-01,2019,1,1,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187640
2019-01-01,2019,1,1,port744,Jebel Ali,United Arab Emirates,ARE,11,0,0,1,7,12,19,147216,0,0,0,70538,147216,217754,198231,0,0,0,39212,198231,237443,192152
2019-01-01,2019,1,1,port988,Port of Sohar,Oman,OMN,3,0,0,0,0,3,3,21414,0,0,0,0,21414,21414,1797,0,0,0,0,1797,1797,3213415
2019-01-02,2019,1,2,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,7,0,7,0,0,0,0,179185,0,179185,0,0,0,0,37159,0,37159,177970
2019-01-02,2019,1,2,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187642
2019-01-02,2019,1,2,port744,Jebel Ali,United Arab Emirates,ARE,10,0,2,2,2,14,16,328634,0,1372,1640,3650,331647,335298,441543,0,1447,1972,775,444963,445739,192153
2019-01-02,2019,1,2,port988,Port of Sohar,Oman,OMN,3,0,0,0,1,3,4,12659,0,0,0,8213,12659,20872,174,0,0,0,17793,174,17967,3213418
2019-01-03,2019,1,3,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,3,2,5,0,0,0,0,15498,0,15498,0,103993,0,0,30732,103993,134725,177971
2019-01-03,2019,1,3,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187644
2019-01-03,2019,1,3,port744,Jebel Ali,United Arab Emirates,ARE,10,1,2,0,0,13,13,293899,0,1128,0,0,295027,295027,182113,494,2573,0,0,185181,185181,192154
2019-01-03,2019,1,3,port988,Port of Sohar,Oman,OMN,0,0,0,0,2,0,2,0,0,0,0,5495,0,5495,0,0,0,0,13643,0,13643,3213421
2019-01-04,2019,1,4,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,8,1,9,0,53542,0,0,134034,53542,187576,0,0,0,0,46536,0,46536,177972
2019-01-04,2019,1,4,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187646
2019-01-04,2019,1,4,port744,Jebel Ali,United Arab Emirates,ARE,10,0,1,0,3,11,14,574592,0,7896,0,66108,582488,648596,142502,0,0,0,0,142502,142502,192155
2019-01-04,2019,1,4,port988,Port of Sohar,Oman,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213427
2019-01-05,2019,1,5,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,4,2,6,0,0,0,0,42070,0,42070,0,120775,0,0,27922,120775,148697,177973
2019-01-05,2019,1,5,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187648
2019-01-05,2019,1,5,port744,Jebel Ali,United Arab Emirates,ARE,13,0,1,3,2,17,19,537345,0,1128,1640,0,540113,540113,315987,0,1139,2938,0,320065,320065,192156
2019-01-05,2019,1,5,port988,Port of Sohar,Oman,OMN,1,0,1,0,0,2,2,0,0,0,0,0,0,0,261,0,2239,0,0,2501,2501,3213430
2019-01-06,2019,1,6,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,8,0,8,0,0,0,0,65625,0,65625,0,0,0,0,74338,0,74338,177974
2019-01-06,2019,1,6,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187650
2019-01-06,2019,1,6,port744,Jebel Ali,United Arab Emirates,ARE,8,0,2,1,0,11,11,260718,0,1986,3432,0,266137,266137,96273,0,337,0,0,96610,96610,192157
2019-01-06,2019,1,6,port988,Port of Sohar,Oman,OMN,0,0,1,1,0,2,2,0,0,2404,4832,0,7237,7237,0,0,3114,0,0,3114,3114,3213433
2019-01-07,2019,1,7,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,9,2,11,0,0,0,0,256898,0,256898,0,126272,0,0,41854,126272,168127,177975
2019-01-07,2019,1,7,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187652
2019-01-07,2019,1,7,port744,Jebel Ali,United Arab Emirates,ARE,13,2,0,0,3,15,18,514674,42817,0,0,73320,557492,630812,442258,0,0,0,0,442258,442258,192158
2019-01-07,2019,1,7,port988,Port of Sohar,Oman,OMN,3,2,0,0,0,5,5,3413,26347,0,0,0,29760,29760,8798,48256,0,0,0,57054,57054,3213436
2019-01-08,2019,1,8,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,7,1,8,0,0,0,0,15736,0,15736,0,0,0,0,26883,0,26883,177976
2019-01-08,2019,1,8,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187654
2019-01-08,2019,1,8,port744,Jebel Ali,United Arab Emirates,ARE,6,0,4,4,1,14,15,191784,0,4971,1640,0,198396,198396,145551,0,1749,98,0,147398,147398,192159
2019-01-08,2019,1,8,port988,Port of Sohar,Oman,OMN,2,0,0,1,2,3,5,0,0,0,1180,4557,1180,5738,2731,0,0,76,0,2807,2807,3213439
2019-01-09,2019,1,9,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,11,1,12,0,0,0,0,74915,0,74915,0,70459,0,0,97945,70459,168404,177977
2019-01-09,2019,1,9,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187658
2019-01-09,2019,1,9,port744,Jebel Ali,United Arab Emirates,ARE,12,2,0,1,0,15,15,698600,21692,0,0,0,720293,720293,298719,30213,0,0,0,328932,328932,192160
2019-01-09,2019,1,9,port988,Port of Sohar,Oman,OMN,2,1,0,2,1,5,6,3735,0,0,2722,0,6458,6458,1797,36920,0,76,0,38794,38794,3213442
2019-01-10,2019,1,10,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,5,1,6,0,8806,0,0,52536,8806,61343,0,0,0,0,60608,0,60608,177978
2019-01-10,2019,1,10,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187660
2019-01-10,2019,1,10,port744,Jebel Ali,United Arab Emirates,ARE,7,1,2,4,3,14,17,213521,21692,0,6760,64859,241974,306834,72510,2121,4641,98,18717,79372,98090,192161
2019-01-10,2019,1,10,port988,Port of Sohar,Oman,OMN,1,1,0,0,0,2,2,1823,54877,0,0,0,56700,56700,0,0,0,0,0,0,0,3213445
2019-01-11,2019,1,11,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,8,0,8,0,0,0,0,50508,0,50508,0,0,0,0,173928,0,173928,177979
2019-01-11,2019,1,11,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187662
2019-01-11,2019,1,11,port744,Jebel Ali,United Arab Emirates,ARE,7,0,0,0,2,7,9,120868,0,0,0,1730,120868,122598,139128,0,0,0,1270,139128,140399,192162
2019-01-11,2019,1,11,port988,Port of Sohar,Oman,OMN,0,1,0,0,2,1,3,0,86130,0,0,0,86130,86130,0,0,0,0,32433,0,32433,3213448
2019-01-12,2019,1,12,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,7,2,9,0,2694,0,0,81614,2694,84308,0,88808,0,0,42315,88808,131124,177980
2019-01-12,2019,1,12,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187664
2019-01-12,2019,1,12,port744,Jebel Ali,United Arab Emirates,ARE,9,2,1,0,4,12,16,338989,76940,1128,0,33806,417058,450864,473976,2121,1139,0,4200,477238,481438,192163
2019-01-12,2019,1,12,port988,Port of Sohar,Oman,OMN,0,1,1,0,0,2,2,0,388271,0,0,0,388271,388271,0,0,9704,0,0,9704,9704,3213451
2019-01-13,2019,1,13,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,6,1,7,0,0,0,0,38984,0,38984,0,33298,0,0,46466,33298,79764,177981
2019-01-13,2019,1,13,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187666
2019-01-13,2019,1,13,port744,Jebel Ali,United Arab Emirates,ARE,9,1,1,0,3,11,14,181583,6668,0,0,62851,188252,251103,379974,0,422,0,0,380397,380397,192164
2019-01-13,2019,1,13,port988,Port of Sohar,Oman,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213454
2019-01-14,2019,1,14,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,4,2,6,0,21006,0,0,15054,21006,36061,0,62445,0,0,27494,62445,89939,177982
2019-01-14,2019,1,14,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187668
2019-01-14,2019,1,14,port744,Jebel Ali,United Arab Emirates,ARE,16,2,0,0,4,18,22,296105,59530,0,0,6795,355635,362431,381730,0,0,0,0,381730,381730,192165
2019-01-14,2019,1,14,port988,Port of Sohar,Oman,OMN,0,0,0,2,0,2,2,0,0,0,5503,0,5503,5503,0,0,0,76,0,76,76,3213457
2019-01-15,2019,1,15,port362,Fujairah,United Arab Emirates,ARE,0,0,1,0,6,1,7,0,0,1120,0,620,1120,1740,0,0,1520,0,117135,1520,118656,177983
2019-01-15,2019,1,15,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187670
2019-01-15,2019,1,15,port744,Jebel Ali,United Arab Emirates,ARE,8,3,0,2,2,13,15,149163,86868,0,8639,0,244671,244671,172206,2121,0,0,0,174328,174328,192166
2019-01-15,2019,1,15,port988,Port of Sohar,Oman,OMN,1,0,0,0,1,1,2,27602,0,0,0,7304,27602,34907,0,0,0,0,0,0,0,3213460
2019-01-16,2019,1,16,port362,Fujairah,United Arab Emirates,ARE,0,3,0,0,5,3,8,0,5203,0,0,19795,5203,24998,0,130621,0,0,64961,130621,195583,177984
2019-01-16,2019,1,16,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187672
2019-01-16,2019,1,16,port744,Jebel Ali,United Arab Emirates,ARE,13,0,3,1,1,17,18,582448,0,1128,0,0,583577,583577,381790,0,3351,264,0,385407,385407,192167
2019-01-16,2019,1,16,port988,Port of Sohar,Oman,OMN,3,3,0,1,2,7,9,12981,14853,0,0,14520,27834,42355,3595,97506,0,0,17793,101101,118895,3213463
2019-01-17,2019,1,17,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,6,2,8,0,0,0,0,68692,0,68692,0,72584,0,0,32021,72584,104605,177985
2019-01-17,2019,1,17,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187674
2019-01-17,2019,1,17,port744,Jebel Ali,United Arab Emirates,ARE,8,1,0,2,1,11,12,90791,21692,0,2719,389,115204,115593,428150,2121,0,0,0,430272,430272,192168
2019-01-17,2019,1,17,port988,Port of Sohar,Oman,OMN,1,2,1,0,0,4,4,778,0,2404,0,0,3183,3183,0,7730,3114,0,0,10845,10845,3213465
2019-01-18,2019,1,18,port362,Fujairah,United Arab Emirates,ARE,0,1,0,0,5,1,6,0,0,0,0,23247,0,23247,0,101569,0,0,107876,101569,209445,177986
2019-01-18,2019,1,18,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187676
2019-01-18,2019,1,18,port744,Jebel Ali,United Arab Emirates,ARE,12,1,1,0,0,14,14,264693,4925,1128,0,0,270747,270747,439506,0,1139,0,0,440645,440645,192169
2019-01-18,2019,1,18,port988,Port of Sohar,Oman,OMN,0,0,0,0,1,0,1,0,0,0,0,42592,0,42592,0,0,0,0,0,0,0,3213468
2019-01-19,2019,1,19,port362,Fujairah,United Arab Emirates,ARE,0,0,0,0,7,0,7,0,0,0,0,136566,0,136566,0,0,0,0,29373,0,29373,177987
2019-01-19,2019,1,19,port561,Khor Fakkan,United Arab Emirates,ARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187678
2019-01-19,2019,1,19,port744,Jebel Ali,United Arab Emirates,ARE,9,2,2,0,3,13,16,421915,3826,0,0,9854,425742,435596,200931,695,1447,0,16225,203074,219300,192170
2019-01-19,2019,1,19,port988,Port of Sohar,Oman,OMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3213471
2019-01-20,2019,1,20,port362,Fujairah,United Arab Emirates,ARE,0,2,0,0,12,2,14,0,0,0,0,176224,0,176224,0,123739,0,0,80805,123739,204545,177988
