residual_date,origin_date,forecast_horizon,observed_value,predicted_value,residual,selected_model,training_cutoff
2022-01-03,2021-12-27,1,2704901.0,2735376.306795943,-30475.306795943063,harmonic_ridge,2021-12-27
2022-01-10,2022-01-03,1,2541784.0,2817640.6717328043,-275856.6717328043,harmonic_ridge,2022-01-03
2022-01-17,2022-01-10,1,3023515.0,2882989.37995775,140525.62004225003,harmonic_ridge,2022-01-10
2022-01-24,2022-01-17,1,3425204.0,2964718.544510995,460485.45548900496,harmonic_ridge,2022-01-17
2022-01-31,2022-01-24,1,3712641.0,3050729.230266374,661911.7697336259,harmonic_ridge,2022-01-24
2022-02-07,2022-01-31,1,3941880.0,3129676.652120658,812203.3478793418,harmonic_ridge,2022-01-31
2022-02-14,2022-02-07,1,4135416.0,3198768.2609968856,936647.7390031144,harmonic_ridge,2022-02-07
2022-02-21,2022-02-14,1,3315816.0,3196797.86562109,119018.13437891006,harmonic_ridge,2022-02-14
2022-02-28,2022-02-21,1,3236363.0,3131424.6871466944,104938.3128533056,harmonic_ridge,2022-02-21
2022-03-07,2022-02-28,1,3399429.0,3095086.0766336713,304342.9233663287,harmonic_ridge,2022-02-28
2022-03-14,2022-03-07,1,2924063.0,3118858.574416483,-194795.57441648282,harmonic_ridge,2022-03-07
2022-03-21,2022-03-14,1,3689449.0,3146236.1269859145,543212.8730140855,harmonic_ridge,2022-03-14
2022-03-28,2022-03-21,1,3594425.0,3259973.9085610835,334451.0914389165,harmonic_ridge,2022-03-21
2022-04-04,2022-03-28,1,3924315.0,3362588.94843362,561726.0515663801,harmonic_ridge,2022-03-28
2022-04-11,2022-04-04,1,3561938.0,3467720.133847828,94217.86615217198,harmonic_ridge,2022-04-04
2022-04-18,2022-04-11,1,3643609.0,3511784.8771303054,131824.1228696946,harmonic_ridge,2022-04-11
2022-04-25,2022-04-18,1,4097587.0,3540359.413397181,557227.5866028192,harmonic_ridge,2022-04-18
2022-05-02,2022-04-25,1,4162925.0,3598973.0377175575,563951.9622824425,harmonic_ridge,2022-04-25
2022-05-09,2022-05-02,1,2370040.0,3672287.7931540497,-1302247.7931540497,harmonic_ridge,2022-05-02
2022-05-16,2022-05-09,1,3430182.0,3634916.989290593,-204734.9892905932,harmonic_ridge,2022-05-09
2022-05-23,2022-05-16,1,3617962.0,3720420.0049811914,-102458.00498119136,harmonic_ridge,2022-05-16
2022-05-30,2022-05-23,1,3952002.0,3841761.070002624,110240.92999737617,harmonic_ridge,2022-05-23
