model,evaluation_horizon_weeks,origin_count,point_count,wape,mae,bias,normalised_bias_percent,validation_start,validation_end,event_observations_used
damped_local_trend,1,216,216,0.13480617105914391,431084.9812141868,-1269.232091772715,-0.03969062387544779,2022-01-03,2026-02-16,0
damped_local_trend,2,215,430,0.14067982186568184,449954.7007123756,-379.95983188985196,-0.011879569517053967,2022-01-03,2026-02-16,0
damped_local_trend,4,213,852,0.14888071207111983,476560.96838337765,2287.3383043253634,0.07145791999095365,2022-01-03,2026-02-16,0
damped_local_trend,8,209,1672,0.15680297944501695,502309.4165417971,8584.345806660202,0.2679724796595869,2022-01-03,2026-02-16,0
damped_local_trend,12,205,2460,0.16369838301977638,524621.4350557922,26932.043653708075,0.8403644424214547,2022-01-03,2026-02-16,0
damped_local_trend,21,196,4116,0.17542207349952077,563824.5086240858,32838.74965769631,1.0217082563761894,2022-01-03,2026-02-16,0
harmonic_ridge,1,216,216,0.13155668040394383,420693.7164297429,136182.34616264736,4.2586082679869595,2022-01-03,2026-02-16,0
harmonic_ridge,2,215,430,0.13281062622672246,424785.6215820668,139818.32246341495,4.3714659868138765,2022-01-03,2026-02-16,0
harmonic_ridge,4,213,852,0.134223160496383,429642.75530249806,145658.6364114888,4.55046949854385,2022-01-03,2026-02-16,0
harmonic_ridge,8,209,1672,0.1351970974044376,433096.2036290932,157395.3189500802,4.91331720037896,2022-01-03,2026-02-16,0
harmonic_ridge,12,205,2460,0.13611349358868877,436217.2369676277,168299.67088409702,5.251478903746528,2022-01-03,2026-02-16,0
harmonic_ridge,21,196,4116,0.136284711015405,438033.0176717821,184003.31095236662,5.724873935829891,2022-01-03,2026-02-16,0
seasonal_naive,1,216,216,0.16621752199147374,531532.6203703703,1294.4166666666667,0.040478179985995524,2022-01-03,2026-02-16,0
seasonal_naive,2,215,430,0.16641241482209837,532258.623255814,3046.679069767442,0.09525542641030497,2022-01-03,2026-02-16,0
seasonal_naive,4,213,852,0.16675182925910728,533765.6713615024,3709.0305164319248,0.11587249922147823,2022-01-03,2026-02-16,0
seasonal_naive,8,209,1672,0.16640001318975575,533052.9677033493,5175.312200956938,0.1615546804308557,2022-01-03,2026-02-16,0
seasonal_naive,12,205,2460,0.16710054374458333,535524.6975609756,6809.019512195122,0.21246281787512364,2022-01-03,2026-02-16,0
seasonal_naive,21,196,4116,0.16726861853129782,537618.4693877551,10849.302235179786,0.3375530976407295,2022-01-03,2026-02-16,0
