forecast_model,horizon_months,origin_month,target_month,log_predictive_density,origin_high_risk_probability,forecast_high_risk_probability,target_in_heldout,hmm_parameters_refit
hmm_transition,1,2024-12-01,2025-01-01,4.543795265664136,1.0534180590983966e-09,0.08966553115384869,True,False
unconditional,1,2024-12-01,2025-01-01,4.513929622915971,1.0534180590983966e-09,0.11645127765513666,True,False
persistence,1,2024-12-01,2025-01-01,4.63773846280649,1.0534180590983966e-09,1.0534180590983966e-09,True,False
hmm_transition,1,2025-01-01,2025-02-01,4.961081444055682,6.221738102957196e-10,0.08966553105465527,True,False
unconditional,1,2025-01-01,2025-02-01,4.931215801162761,6.221738102957196e-10,0.11645127765513666,True,False
persistence,1,2025-01-01,2025-02-01,5.055024641626175,6.221738102957196e-10,6.221738102957196e-10,True,False
hmm_transition,1,2025-02-01,2025-03-01,-3.657298564731345,5.163146006397362e-10,0.08966553103030588,True,False
unconditional,1,2025-02-01,2025-03-01,-3.687163409464485,5.163146006397362e-10,0.11645127765513666,True,False
persistence,1,2025-02-01,2025-03-01,-3.563357727871701,5.163146006397362e-10,5.163146006397362e-10,True,False
hmm_transition,1,2025-03-01,2025-04-01,3.588592259841508,2.361303498588908e-06,0.08966607405094851,True,False
unconditional,1,2025-03-01,2025-04-01,3.558727213856479,2.361303498588908e-06,0.11645127765513666,True,False
persistence,1,2025-03-01,2025-04-01,3.6825336919429716,2.361303498588908e-06,2.361303498588908e-06,True,False
hmm_transition,1,2025-04-01,2025-05-01,-2.6792035087796355,1.781439437872713e-09,0.08966553132130582,True,False
unconditional,1,2025-04-01,2025-05-01,-2.709068841910077,1.781439437872713e-09,0.11645127765513666,True,False
persistence,1,2025-04-01,2025-05-01,-2.5852612273902835,1.781439437872713e-09,1.781439437872713e-09,True,False
hmm_transition,1,2025-05-01,2025-06-01,-17.716553929663846,9.158307011616286e-07,0.08966574156796459,True,False
unconditional,1,2025-05-01,2025-06-01,-17.455169735482528,9.158307011616286e-07,0.11645127765513666,True,False
persistence,1,2025-05-01,2025-06-01,-29.20832173789003,9.158307011616286e-07,9.158307011616286e-07,True,False
hmm_transition,1,2025-06-01,2025-07-01,-16.78093415309684,1.0,0.31968230086847177,True,False
