decision_week,source_observation_month,release_date,release_date_status,decision_cutoff,filtered_state_0_probability,filtered_state_1_probability,filtered_high_risk_probability,readiness_maturity_date,monthly_transitions_to_maturity,lead_time_state_0_probability,lead_time_state_1_probability,lead_time_high_risk_probability,timing_valid,transition_basis,weekly_transition_matrix_applications,risk_information_source,risk_interpretation
2019-01-07,2018-11-01,2018-12-31,assumed_conservative_full_month_lag,2019-01-07,0.999999999988441,1.1559057960435792e-11,1.1559057960435792e-11,2019-03-04,4,0.8838746958180348,0.11612530418196539,0.11612530418196539,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-01-14,2018-11-01,2018-12-31,assumed_conservative_full_month_lag,2019-01-14,0.999999999988441,1.1559057960435792e-11,1.1559057960435792e-11,2019-03-11,4,0.8838746958180348,0.11612530418196539,0.11612530418196539,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-01-21,2018-11-01,2018-12-31,assumed_conservative_full_month_lag,2019-01-21,0.999999999988441,1.1559057960435792e-11,1.1559057960435792e-11,2019-03-18,4,0.8838746958180348,0.11612530418196539,0.11612530418196539,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-01-28,2018-11-01,2018-12-31,assumed_conservative_full_month_lag,2019-01-28,0.999999999988441,1.1559057960435792e-11,1.1559057960435792e-11,2019-03-25,4,0.8838746958180348,0.11612530418196539,0.11612530418196539,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-02-04,2018-12-01,2019-01-31,assumed_conservative_full_month_lag,2019-02-04,0.9999999999889624,1.1037665037181664e-11,1.1037665037181664e-11,2019-04-01,4,0.8838746958180362,0.11612530418196391,0.11612530418196391,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-02-11,2018-12-01,2019-01-31,assumed_conservative_full_month_lag,2019-02-11,0.9999999999889624,1.1037665037181664e-11,1.1037665037181664e-11,2019-04-08,4,0.8838746958180362,0.11612530418196391,0.11612530418196391,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-02-18,2018-12-01,2019-01-31,assumed_conservative_full_month_lag,2019-02-18,0.9999999999889624,1.1037665037181664e-11,1.1037665037181664e-11,2019-04-15,4,0.8838746958180362,0.11612530418196391,0.11612530418196391,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-02-25,2018-12-01,2019-01-31,assumed_conservative_full_month_lag,2019-02-25,0.9999999999889624,1.1037665037181664e-11,1.1037665037181664e-11,2019-04-22,4,0.8838746958180362,0.11612530418196391,0.11612530418196391,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-03-04,2019-01-01,2019-02-28,assumed_conservative_full_month_lag,2019-03-04,0.9999999999898815,1.0118452902236255e-11,1.0118452902236255e-11,2019-04-29,3,0.8849658949850862,0.11503410501491401,0.11503410501491401,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-03-11,2019-01-01,2019-02-28,assumed_conservative_full_month_lag,2019-03-11,0.9999999999898815,1.0118452902236255e-11,1.0118452902236255e-11,2019-05-06,4,0.8838746958180388,0.11612530418196135,0.11612530418196135,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-03-18,2019-01-01,2019-02-28,assumed_conservative_full_month_lag,2019-03-18,0.9999999999898815,1.0118452902236255e-11,1.0118452902236255e-11,2019-05-13,4,0.8838746958180388,0.11612530418196135,0.11612530418196135,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-03-25,2019-01-01,2019-02-28,assumed_conservative_full_month_lag,2019-03-25,0.9999999999898815,1.0118452902236255e-11,1.0118452902236255e-11,2019-05-20,4,0.8838746958180388,0.11612530418196135,0.11612530418196135,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-04-01,2019-02-01,2019-03-31,assumed_conservative_full_month_lag,2019-04-01,0.999999999981508,1.849195830728328e-11,1.849195830728328e-11,2019-05-27,3,0.8849658949849842,0.1150341050150159,0.1150341050150159,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-04-08,2019-02-01,2019-03-31,assumed_conservative_full_month_lag,2019-04-08,0.999999999981508,1.849195830728328e-11,1.849195830728328e-11,2019-06-03,4,0.8838746958180154,0.11612530418198477,0.11612530418198477,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-04-15,2019-02-01,2019-03-31,assumed_conservative_full_month_lag,2019-04-15,0.999999999981508,1.849195830728328e-11,1.849195830728328e-11,2019-06-10,4,0.8838746958180154,0.11612530418198477,0.11612530418198477,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-04-22,2019-02-01,2019-03-31,assumed_conservative_full_month_lag,2019-04-22,0.999999999981508,1.849195830728328e-11,1.849195830728328e-11,2019-06-17,4,0.8838746958180154,0.11612530418198477,0.11612530418198477,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-04-29,2019-02-01,2019-03-31,assumed_conservative_full_month_lag,2019-04-29,0.999999999981508,1.849195830728328e-11,1.849195830728328e-11,2019-06-24,4,0.8838746958180154,0.11612530418198477,0.11612530418198477,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-05-06,2019-03-01,2019-04-30,assumed_conservative_full_month_lag,2019-05-06,0.9999999999700449,2.9955097050881107e-11,2.9955097050881107e-11,2019-07-01,4,0.8838746958179832,0.11612530418201687,0.11612530418201687,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
2019-05-13,2019-03-01,2019-04-30,assumed_conservative_full_month_lag,2019-05-13,0.9999999999700449,2.9955097050881107e-11,2.9955097050881107e-11,2019-07-08,4,0.8838746958179832,0.11612530418201687,0.11612530418201687,True,calendar_month_boundaries_from_source_to_maturity,0,released_hmm_filter,geopolitical risk state; not closure probability
