base_policy,restriction,path_id,path_content_sha256,training_seed,scope,period_offset,resource,stage,location,base_capacity,active_direct_capacity,exercised_readiness_capacity,effective_capacity,feedback_multiplier,yard_to_berth_feedback,corridor_to_gate_feedback,shared_corridor_weight,resource_workload,resource_threshold,resource_pressure,resource_overload_ratio,resource_overload_mass,implemented_readiness_order,implemented_direct_order,implemented_readiness_exercise
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,berth:Fujairah,berth,Fujairah,1.4997000000000007,0.0,0.0,1.4997000000000007,1.0,1.0,1.0,,0.0,1.4997000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,berth:Khor Fakkan,berth,Khor Fakkan,30.796000000000003,0.0,0.0,30.796000000000003,1.0,1.0,1.0,,0.0,30.796000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,berth:Sohar,berth,Sohar,70.0008,0.0,0.0,70.0008,1.0,1.0,1.0,,0.0,70.0008,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,corridor:landbridge_shared,corridor,landbridge_shared,102.29650000000001,0.0,0.0,102.29650000000001,1.0,1.0,1.0,,0.0,102.29650000000001,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,gate:Fujairah,gate,Fujairah,1.4997000000000007,0.0,0.0,1.4997000000000007,1.0,1.0,1.0,1.0,0.0,1.4997000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,gate:Khor Fakkan,gate,Khor Fakkan,30.796000000000003,0.0,0.0,30.796000000000003,1.0,1.0,1.0,1.0,0.0,30.796000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,gate:Sohar,gate,Sohar,70.0008,0.0,0.0,70.0008,1.0,1.0,1.0,1.0,0.0,70.0008,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,yard:Fujairah,yard,Fujairah,1.4997000000000007,0.0,0.0,1.4997000000000007,1.0,1.0,1.0,,0.0,1.4997000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,yard:Khor Fakkan,yard,Khor Fakkan,30.796000000000003,0.0,0.0,30.796000000000003,1.0,1.0,1.0,,0.0,30.796000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,0,yard:Sohar,yard,Sohar,70.0008,0.0,0.0,70.0008,1.0,1.0,1.0,,0.0,70.0008,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,berth:Fujairah,berth,Fujairah,1.4997000000000007,0.0,0.0,1.4997000000000007,1.0,1.0,1.0,,0.0,1.4997000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,berth:Khor Fakkan,berth,Khor Fakkan,30.796000000000003,0.0,0.0,30.796000000000003,1.0,1.0,1.0,,0.0,30.796000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,berth:Sohar,berth,Sohar,70.0008,0.0,0.0,70.0008,1.0,1.0,1.0,,0.0,70.0008,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,corridor:landbridge_shared,corridor,landbridge_shared,102.29650000000001,0.0,0.0,102.29650000000001,1.0,1.0,1.0,,0.0,102.29650000000001,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,gate:Fujairah,gate,Fujairah,1.4997000000000007,0.0,0.0,1.4997000000000007,1.0,1.0,1.0,1.0,0.0,1.4997000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,gate:Khor Fakkan,gate,Khor Fakkan,30.796000000000003,0.0,0.0,30.796000000000003,1.0,1.0,1.0,1.0,0.0,30.796000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,gate:Sohar,gate,Sohar,70.0008,0.0,0.0,70.0008,1.0,1.0,1.0,1.0,0.0,70.0008,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,yard:Fujairah,yard,Fujairah,1.4997000000000007,0.0,0.0,1.4997000000000007,1.0,1.0,1.0,,0.0,1.4997000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,yard:Khor Fakkan,yard,Khor Fakkan,30.796000000000003,0.0,0.0,30.796000000000003,1.0,1.0,1.0,,0.0,30.796000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,1,yard:Sohar,yard,Sohar,70.0008,0.0,0.0,70.0008,1.0,1.0,1.0,,0.0,70.0008,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,2,berth:Fujairah,berth,Fujairah,1.4997000000000007,0.0,0.0,1.4997000000000007,1.0,1.0,1.0,,0.0,1.4997000000000007,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,2,berth:Khor Fakkan,berth,Khor Fakkan,30.796000000000003,0.0,0.0,30.796000000000003,1.0,1.0,1.0,,0.0,30.796000000000003,0.0,0.0,0.0,0.0,0.0,0.0
Passive,full_action,test_017_ebd333a3cdba,ebd333a3cdbaf4583dc4bbdc159fa86380b9858d554b85820a961aee779a82c0,,decision,2,berth:Sohar,berth,Sohar,70.0008,0.0,0.0,70.0008,1.0,1.0,1.0,,0.0,70.0008,0.0,0.0,0.0,0.0,0.0,0.0
