policy,path_id,training_seed,metric,frozen_5_2_2_value,replayed_5_2_3_full_action_value,absolute_difference,tolerance,passed
Passive,test_000_4ae657b9eeec,,total_operational_objective,294035.1126139648,294035.11261396477,5.820766091346741e-11,1e-06,True
Passive,test_000_4ae657b9eeec,,loss_queue,6972.769936723648,6972.769936723648,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,loss_waiting,271882.57539146213,271882.57539146213,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,loss_exit,11624.829647350156,11624.829647350156,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,loss_overflow,2718.4647273642336,2718.4647273642336,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,loss_route_resource,836.4729110646418,836.4729110646418,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,loss_action,0.0,0.0,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,terminal_correction,0.0,0.0,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,waiting_model_unit_weeks,16154.261007582938,16154.261007582938,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,direct_sue_exit,7.296815539878496e-05,7.296815539878496e-05,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,duration_attrition,553.5632435723281,553.5632435723281,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,delivered_landbridge,1187.809557973801,1187.809557973801,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,ending_outstanding_mass,6.496137428442157e-07,6.496137428442157e-07,0.0,1e-06,True
Passive,test_000_4ae657b9eeec,,restricted_clearance_time_contribution,78.0,78.0,0.0,1e-06,True
Passive,test_001_dde9993de777,,total_operational_objective,283957.9098247464,283957.9098247464,0.0,1e-06,True
Passive,test_001_dde9993de777,,loss_queue,6486.286585170654,6486.286585170654,0.0,1e-06,True
Passive,test_001_dde9993de777,,loss_waiting,262996.59838574013,262996.59838574013,0.0,1e-06,True
Passive,test_001_dde9993de777,,loss_exit,11244.893491448718,11244.893491448718,0.0,1e-06,True
Passive,test_001_dde9993de777,,loss_overflow,2438.47853833208,2438.4785383320796,4.547473508864641e-13,1e-06,True
Passive,test_001_dde9993de777,,loss_route_resource,791.6528240549533,791.6528240549533,0.0,1e-06,True
Passive,test_001_dde9993de777,,loss_action,0.0,0.0,0.0,1e-06,True
Passive,test_001_dde9993de777,,terminal_correction,0.0,0.0,0.0,1e-06,True
Passive,test_001_dde9993de777,,waiting_model_unit_weeks,15626.288991209738,15626.288991209738,0.0,1e-06,True
Passive,test_001_dde9993de777,,direct_sue_exit,6.167135922072723e-05,6.167135922072723e-05,0.0,1e-06,True
Passive,test_001_dde9993de777,,duration_attrition,535.4710569690559,535.4710569690559,0.0,1e-06,True
Passive,test_001_dde9993de777,,delivered_landbridge,1162.6810009020444,1162.6810009020444,0.0,1e-06,True
Passive,test_001_dde9993de777,,ending_outstanding_mass,8.051995118877808e-07,8.051995118877808e-07,0.0,1e-06,True
Passive,test_001_dde9993de777,,restricted_clearance_time_contribution,78.0,78.0,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,total_operational_objective,282200.0582544001,282200.05825440015,5.820766091346741e-11,1e-06,True
Passive,test_002_f01217ab0e79,,loss_queue,6398.738135447388,6398.738135447388,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,loss_waiting,261480.0680717976,261480.0680717976,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,loss_exit,11180.051472331032,11180.051472331032,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,loss_overflow,2362.716385956454,2362.716385956454,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,loss_route_resource,778.484188867785,778.484188867785,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,loss_action,0.0,0.0,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,terminal_correction,0.0,0.0,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,waiting_model_unit_weeks,15536.182345377469,15536.182345377467,1.8189894035458565e-12,1e-06,True
Passive,test_002_f01217ab0e79,,direct_sue_exit,5.959118570393071e-05,5.959118570393071e-05,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,duration_attrition,532.3833438531492,532.3833438531492,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,delivered_landbridge,1131.9846525235537,1131.9846525235535,2.2737367544323206e-13,1e-06,True
Passive,test_002_f01217ab0e79,,ending_outstanding_mass,5.684522882676763e-07,5.684522882676763e-07,0.0,1e-06,True
Passive,test_002_f01217ab0e79,,restricted_clearance_time_contribution,78.0,78.0,0.0,1e-06,True
Passive,test_003_eb3106001035,,total_operational_objective,289150.15673126426,289150.15673126426,0.0,1e-06,True
Passive,test_003_eb3106001035,,loss_queue,6693.78862711782,6693.7886271178195,9.094947017729282e-13,1e-06,True
Passive,test_003_eb3106001035,,loss_waiting,267613.56028344715,267613.56028344715,0.0,1e-06,True
Passive,test_003_eb3106001035,,loss_exit,11442.30011764335,11442.30011764335,0.0,1e-06,True
Passive,test_003_eb3106001035,,loss_overflow,2592.507185683569,2592.507185683569,0.0,1e-06,True
Passive,test_003_eb3106001035,,loss_route_resource,808.00051737225,808.00051737225,0.0,1e-06,True
Passive,test_003_eb3106001035,,loss_action,0.0,0.0,0.0,1e-06,True
Passive,test_003_eb3106001035,,terminal_correction,0.0,0.0,0.0,1e-06,True
Passive,test_003_eb3106001035,,waiting_model_unit_weeks,15900.611857596032,15900.611857596032,0.0,1e-06,True
Passive,test_003_eb3106001035,,direct_sue_exit,6.746744054170538e-05,6.746744054170538e-05,0.0,1e-06,True
Passive,test_003_eb3106001035,,duration_attrition,544.8713667060523,544.8713667060523,0.0,1e-06,True
Passive,test_003_eb3106001035,,delivered_landbridge,1164.128554633835,1164.128554633835,0.0,1e-06,True
Passive,test_003_eb3106001035,,ending_outstanding_mass,7.280185960729902e-07,7.280185960729902e-07,0.0,1e-06,True
Passive,test_003_eb3106001035,,restricted_clearance_time_contribution,78.0,78.0,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,total_operational_objective,284123.3877912197,284123.3877912197,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,loss_queue,6562.967016469673,6562.967016469673,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,loss_waiting,263063.2063790293,263063.2063790293,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,loss_exit,11247.74141592305,11247.74141592305,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,loss_overflow,2466.087119853753,2466.087119853753,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,loss_route_resource,783.3858599438904,783.3858599438904,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,loss_action,0.0,0.0,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,terminal_correction,0.0,0.0,0.0,1e-06,True
Passive,test_004_55a330aff5c4,,waiting_model_unit_weeks,15630.246591790654,15630.246591790654,0.0,1e-06,True
