policy,path_id,training_seed,maximum_absolute_difference,all_metrics_passed
Model-guided constrained SAC,test_000_4ae657b9eeec,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_000_4ae657b9eeec,554911178.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_000_4ae657b9eeec,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_001_dde9993de777,301721597.0,2.9103830456733704e-11,True
Model-guided constrained SAC,test_001_dde9993de777,554911178.0,2.9103830456733704e-11,True
Model-guided constrained SAC,test_001_dde9993de777,1600960620.0,2.2737367544323206e-13,True
Model-guided constrained SAC,test_002_f01217ab0e79,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_002_f01217ab0e79,554911178.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_002_f01217ab0e79,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_003_eb3106001035,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_003_eb3106001035,554911178.0,1.8189894035458565e-12,True
Model-guided constrained SAC,test_003_eb3106001035,1600960620.0,2.9103830456733704e-11,True
Model-guided constrained SAC,test_004_55a330aff5c4,301721597.0,1.5178830414797062e-17,True
Model-guided constrained SAC,test_004_55a330aff5c4,554911178.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_004_55a330aff5c4,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_005_981c73a17708,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_005_981c73a17708,554911178.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_005_981c73a17708,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_006_daba4b1e9814,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_006_daba4b1e9814,554911178.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_006_daba4b1e9814,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_007_925513ee8ec6,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_007_925513ee8ec6,554911178.0,9.094947017729282e-13,True
Model-guided constrained SAC,test_007_925513ee8ec6,1600960620.0,2.9103830456733704e-11,True
Model-guided constrained SAC,test_008_fabe46a0ea00,301721597.0,9.094947017729282e-13,True
Model-guided constrained SAC,test_008_fabe46a0ea00,554911178.0,9.094947017729282e-13,True
Model-guided constrained SAC,test_008_fabe46a0ea00,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_009_c8ef87e47101,301721597.0,1.8189894035458565e-12,True
Model-guided constrained SAC,test_009_c8ef87e47101,554911178.0,4.547473508864641e-13,True
Model-guided constrained SAC,test_009_c8ef87e47101,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_010_613ab99db82c,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_010_613ab99db82c,554911178.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_010_613ab99db82c,1600960620.0,9.094947017729282e-13,True
Model-guided constrained SAC,test_011_8a2e74b38d5d,301721597.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_011_8a2e74b38d5d,554911178.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_011_8a2e74b38d5d,1600960620.0,4.3655745685100555e-11,True
Model-guided constrained SAC,test_012_b6bdc05b20a7,301721597.0,2.9103830456733704e-11,True
Model-guided constrained SAC,test_012_b6bdc05b20a7,554911178.0,9.094947017729282e-13,True
Model-guided constrained SAC,test_012_b6bdc05b20a7,1600960620.0,1.4551915228366852e-11,True
Model-guided constrained SAC,test_013_040653995d85,301721597.0,4.547473508864641e-13,True
Model-guided constrained SAC,test_013_040653995d85,554911178.0,4.547473508864641e-13,True
