base_policy,restriction,path_id,training_seed,all_step_acceptance_passed,maximum_transition_residual,maximum_source_simplex_residual,maximum_waiting_identity_residual,maximum_provenance_shadow_residual,maximum_period_loss_identity_residual,loss_components_reconstruct_total,restriction_changes_only_declared_action_block,no_readiness_starts_without_readiness_stock,direct_procurement_retained_under_no_readiness,no_release_pacing_uses_immediate_release_baseline,no_disclosure_preserves_information_system
Passive,full_action,test_000_4ae657b9eeec,,True,9.482431742504024e-07,6.022870334857302e-15,7.105427357601002e-15,4.263256414560601e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_001_dde9993de777,,True,9.635223777137198e-07,5.212530325482466e-15,7.105427357601002e-15,5.684341886080802e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_002_f01217ab0e79,,True,9.446710762237979e-07,4.77617484407819e-15,7.105427357601002e-15,3.907985046680551e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_003_eb3106001035,,True,9.92281865067465e-07,4.630196021278082e-15,7.105427357601002e-15,8.526512829121202e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_004_55a330aff5c4,,True,9.565452865897484e-07,4.734438142635182e-15,7.105427357601002e-15,8.526512829121202e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_005_981c73a17708,,True,9.916610956156682e-07,5.980064466076622e-15,7.105427357601002e-15,4.973799150320701e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_006_daba4b1e9814,,True,9.64689150136632e-07,5.621351518628583e-15,7.105427357601002e-15,6.039613253960852e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_007_925513ee8ec6,,True,9.970664311565906e-07,5.9730065640436255e-15,7.105427357601002e-15,7.815970093361102e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_008_fabe46a0ea00,,True,9.493585409658198e-07,4.9698570801600035e-15,7.105427357601002e-15,3.9968028886505635e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_009_c8ef87e47101,,True,9.892861397595878e-07,4.6530374293710965e-15,7.105427357601002e-15,5.684341886080802e-14,0.0,True,True,True,True,True,True
Passive,full_action,test_010_613ab99db82c,,True,9.758874355877813e-07,5.723251699765643e-15,7.105427357601002e-15,2.6645352591003757e-14,0.0,True,True,True,True,True,True
