base_policy,restriction,path_id,training_seed,period_offset,proposal_source,selected,rejected,nested_objective,solver_valid,solver_failure,used_fallback,common_scenario_path_ids,common_kernel
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,0,BC,False,True,96.65764518912894,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,0,SAC,True,False,42.76476893639021,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,1,BC,False,True,2631.5873820912934,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,1,SAC,True,False,2593.231571409214,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,2,BC,False,True,13032.321779646401,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,2,SAC,True,False,13009.180141984201,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,3,BC,False,True,16721.226969195588,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,3,SAC,True,False,16712.657895541597,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,4,BC,True,False,16874.851177551016,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,4,SAC,False,True,16944.322697781892,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,5,BC,True,False,15741.361223942942,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,5,SAC,False,True,16017.024988821635,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,6,BC,True,False,16059.213156219806,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,6,SAC,False,True,16412.08253868138,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,7,BC,True,False,14797.97383796621,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,7,SAC,False,True,15200.483538821956,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,8,BC,True,False,11912.120616117487,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,8,SAC,False,True,12298.005083997185,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,9,BC,True,False,14474.881126547489,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,9,SAC,False,True,14946.162720744669,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,10,BC,True,False,23526.38591691773,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,10,SAC,False,True,24072.112046041384,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,11,BC,True,False,19409.265821246132,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,11,SAC,False,True,19905.727143472373,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,12,BC,True,False,24331.231061223254,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,12,SAC,False,True,24767.381787770864,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,13,BC,True,False,20621.89285590083,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,13,SAC,False,True,21306.01058639825,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,14,BC,True,False,23734.45305332312,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,14,SAC,False,True,24406.943142294924,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,15,BC,True,False,27672.724207578143,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,15,SAC,False,True,28529.013269024206,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
Model-guided constrained SAC,full_action,test_017_ebd333a3cdba,301721597,16,BC,True,False,22974.688229245996,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective
