base_policy,restriction,path_id,path_content_sha256,released_information_path_sha256,training_seed,decision_periods,clearance_followup_periods,physical_scope,decision_operational_loss,clearance_operational_loss,terminal_correction,total_operational_objective,loss_queue,loss_waiting,loss_exit,loss_overflow,loss_route_resource,loss_action,peak_pressure,overload,waiting_model_unit_weeks,direct_sue_exit,duration_attrition,total_exit,delivered_landbridge,ending_outstanding_mass,clearance_status,clearance_weeks_observed,right_censored,numerical_failure,transition_audits_passed,maximum_transition_residual,accepted,loss_direct_sue_exit,loss_duration_attrition,loss_component_sum_with_terminal,all_step_acceptance_passed,mean_decision_time_seconds,maximum_decision_time_seconds,action_dimension,projector_id,kernel_id,information_source,restricted_clearance_time_contribution
Reactive,full_action,test_000_4ae657b9eeec,4ae657b9eeecf70786804d24952478895a67cdd02d3cb00a5f23d60565e89d40,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,13878.839393259646,87901.54603505063,0.0,101780.38542831028,8259.405177009156,85117.18422024854,3414.081473771674,3018.2498368866654,1343.9694673116978,627.4952530825634,40.50513828504795,1268.6790921596364,6971.908092515702,0.0003696053647076741,162.57493866947692,162.57530827484163,1578.7975663715204,5.17536209792126e-07,cleared,79,False,False,True,9.407351015063886e-07,True,0.007761712658861156,3414.073712059015,101780.38542831031,True,0.00017839045973405953,0.00030349986627697945,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_001_dde9993de777,dde9993de777ead4870656b2cec02bf256c4174b03458346cc5fc13db98f082b,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,12704.492813649858,92917.29940745217,0.0,105621.79222110203,7813.246477262753,89665.30920168382,3621.7202464927486,2716.081992541921,1248.932332958082,556.5019701626769,38.63031232855608,1141.4873778644048,7142.1991045110435,0.000309715324683209,172.46255916528239,172.46286888060706,1525.6892507991033,6.679487571411239e-07,cleared,79,False,False,True,9.893139256674327e-07,True,0.006504021818347389,3621.71374247093,105621.792221102,True,0.00015876665046172484,0.00021580001339316368,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_002_f01217ab0e79,f01217ab0e7903b1b91cb3f87068f20b75f716d08632ca2b15c76649d7f00a8c,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,13397.034104173046,78666.31052912372,0.0,92063.34463329676,7734.230324206205,76697.65448568195,3059.5084617314083,2690.346407037829,1276.8655043825395,604.7394502567918,37.613909167703596,1130.5288855082977,6420.538309738966,0.00033557769482342367,145.69054355237225,145.69087913006706,1518.677176961557,4.4471670001880823e-07,cleared,79,False,False,True,9.995614721068065e-07,True,0.007047131591291897,3059.501414599817,92063.34463329673,True,0.00016721906805677072,0.00034689996391534805,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_003_eb3106001035,eb3106001035e1bd9c52b845bd9616d282a52a699d46aca5269b5370622454fc,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,13288.472478537611,87364.79936915447,0.0,100653.27184769209,7954.132078103889,84579.37275638546,3398.9038539804615,2829.225709082904,1315.5170566920349,576.1203934473706,39.40995522252122,1195.8099990126589,6887.433403802217,0.00035532532601519946,161.85220914993405,161.85256447526007,1547.1474245285299,5.315565639507003e-07,cleared,79,False,False,True,9.736359631675444e-07,True,0.007461831846319189,3398.896392148615,100653.27184769213,True,0.000184204773090425,0.00030800001695752144,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_004_55a330aff5c4,55a330aff5c4a0576082656af4ffca48ee935b03b126b46b442653f81477abfb,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,13490.547402093625,79998.92444313072,0.0,93489.47184522434,7859.352644421801,77849.20884826282,3107.8706334326816,2765.7922565169456,1292.1409881510879,615.1064744390285,38.643507185377985,1183.9332687000233,6493.947948163133,0.00032416640093307984,147.9935155208696,147.99383968727054,1530.4441823838893,4.91024217315202e-07,cleared,79,False,False,True,9.61988264972482e-07,True,0.006807494419594677,3107.863825938262,93489.47184522437,True,0.0001657190289170969,0.0002421000972390175,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_005_981c73a17708,981c73a17708f6a8f2159189b725895e9b78b4ffca7b2cc292d9f5cb6c138259,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,12900.856540809522,86739.31870942094,0.0,99640.17525023046,7743.924258287892,84014.18775300335,3381.205826214773,2658.65813257281,1256.7571647950444,585.4421153566635,38.231330135409934,1144.9097077798456,6809.154722186509,0.000290961882777276,161.00951028643973,161.0098012483225,1522.9329299878505,5.332448657850177e-07,cleared,79,False,False,True,9.589836483678245e-07,True,0.006110199538322795,3381.1997160152346,99640.17525023053,True,0.00018609524704515934,0.0004939001519232988,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_006_daba4b1e9814,daba4b1e9814b4a66b4b77a1db00896fa1b3246def31f9ebaa0c7ced46e92af5,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,13424.00767118866,85187.2983278284,0.0,98611.30599901706,7856.006612930428,82763.41898285529,3316.9460554917355,2770.7040045916538,1284.5291017417642,619.7012414062038,38.86580105945512,1184.3787100084216,6786.12425568202,0.00032618866334311724,157.94948597760978,157.94981216627312,1530.9647720325174,6.324779083276349e-07,cleared,79,False,False,True,9.525320281145506e-07,True,0.006849961930205462,3316.9392055298053,98611.30599901707,True,0.00017075717360490845,0.0002321999054402113,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_007_925513ee8ec6,925513ee8ec62fc55ab4f4e4980ba11972ca8c6ab89cbb52b03a5fe88f85fa31,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,15870.237723904347,83571.68731778488,0.0,99441.92504168922,9050.444303541597,81399.8325279937,3223.7303734250886,3553.020464038958,1504.7023955784223,710.1949771114984,44.21241223407628,1510.2269709356171,6949.585030200125,0.0005111177853418255,153.51045904531412,153.51097016309947,1671.0870494416426,5.104260934558628e-07,cleared,79,False,False,True,9.654002197289923e-07,True,0.010733473492178335,3223.7196399515965,99441.92504168928,True,0.0001735619069742305,0.00023330003023147583,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_008_fabe46a0ea00,fabe46a0ea0025c65c0c7b807dc0f70b60fa5f50100dd7bd2d9ad2a46e9df6b5,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,12496.250767645548,80286.99687356842,0.0,92783.24764121397,7297.333271667622,78183.58943171643,3136.4437913472007,2390.672263019902,1221.0220771995225,554.1868062632799,35.917622259062476,1026.3727184404545,6416.530301896196,0.0002899859086027272,149.35417626872,149.35446625462862,1473.4176444244113,5.405207578626676e-07,cleared,79,False,False,True,9.818992665684836e-07,True,0.006089704080657271,3136.4377016431204,92783.24764121398,True,0.00017301906787213825,0.0002935999073088169,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
Reactive,full_action,test_009_c8ef87e47101,c8ef87e471016915d86795cd09c50907b7668afc7c30bcb05a14726a2af75061,8b83c669d56287c61d40a0703b8fe7ebc8aa642d9fff413ea893b4f328a3116c,,21,79,decision_plus_clearance,12438.847683843554,92187.54611032209,0.0,104626.39379416565,7702.603337056506,88852.78435163116,3593.5377129044045,2687.869411515621,1229.6668693042934,559.9321117536606,38.7073580708288,1150.979879909025,7045.043396141462,0.0002764778230818663,171.12056699381523,171.12084347163832,1498.3694279396886,6.482552457467098e-07,cleared,79,False,False,True,9.515477649951533e-07,True,0.0058060342847191925,3593.5319068701197,104626.39379416563,True,0.00017060951462813785,0.00026130001060664654,34,shared_weighted_euclidean_projector,shared_model_kernel_rcmsa_tagged_transition,released_hmm_filter,79
