policy,scope,period_offset,physical_paths,learning_seed_aggregation,mean__queue_loss,q25__queue_loss,q75__queue_loss,mean__waiting_loss,q25__waiting_loss,q75__waiting_loss,mean__direct_sue_exit_mass,q25__direct_sue_exit_mass,q75__direct_sue_exit_mass,mean__duration_attrition_mass,q25__duration_attrition_mass,q75__duration_attrition_mass,mean__overload_loss,q25__overload_loss,q75__overload_loss,mean__route_resource_loss,q25__route_resource_loss,q75__route_resource_loss,mean__action_loss,q25__action_loss,q75__action_loss,mean__delivered_landbridge,q25__delivered_landbridge,q75__delivered_landbridge,mean__waiting_before,q25__waiting_before,q75__waiting_before,mean__outstanding_after,q25__outstanding_after,q75__outstanding_after,mean__queue_berth,q25__queue_berth,q75__queue_berth,mean__queue_yard,q25__queue_yard,q75__queue_yard,mean__queue_gate,q25__queue_gate,q75__queue_gate,mean__queue_landbridge,q25__queue_landbridge,q75__queue_landbridge,mean__action_readiness_order_model_units,q25__action_readiness_order_model_units,q75__action_readiness_order_model_units,mean__action_readiness_order_reference_ratio,q25__action_readiness_order_reference_ratio,q75__action_readiness_order_reference_ratio,mean__action_direct_order_model_units,q25__action_direct_order_model_units,q75__action_direct_order_model_units,mean__action_direct_order_reference_ratio,q25__action_direct_order_reference_ratio,q75__action_direct_order_reference_ratio,mean__action_readiness_exercise_model_units,q25__action_readiness_exercise_model_units,q75__action_readiness_exercise_model_units,mean__action_readiness_exercise_reference_ratio,q25__action_readiness_exercise_reference_ratio,q75__action_readiness_exercise_reference_ratio,mean__action_release_model_units,q25__action_release_model_units,q75__action_release_model_units,mean__action_release_reference_ratio,q25__action_release_reference_ratio,q75__action_release_reference_ratio,mean__action_disclosure_model_units,q25__action_disclosure_model_units,q75__action_disclosure_model_units,mean__action_disclosure_reference_ratio,q25__action_disclosure_reference_ratio,q75__action_disclosure_reference_ratio
Model-guided constrained SAC,clearance,0,88,within_path_first,427.671667140186,413.6526671899484,444.462852734951,558.6358833773588,534.2400368253361,584.487450103507,0.0,0.0,0.0,0.10927000099780453,0.10179933845530664,0.11558242490683825,160.72801997243303,151.20722810337242,168.67369081153532,0.0,0.0,0.0,0.0,0.0,0.0,80.30671956335473,77.91937123228917,83.54658146424201,185.26033414141924,176.98265459887352,193.11666009963167,786.0969387670449,760.0178748213516,805.5780526510041,186.98438508163417,177.4330318580485,194.96321145024825,81.94675094413141,78.9377737094,84.94274924925729,78.43381155106563,76.07738079372686,80.67941204502185,80.30671956335473,77.91937123228917,83.54658146424201,0.7633096398638273,0.7633096398638273,0.7633096398638273,0.0018654343986935701,0.0018654343986935701,0.0018654343986935701,0.7618317625111324,0.7618317625111324,0.7618317625111324,0.0018618226491403237,0.001861822649140323,0.001861822649140323,0.0,0.0,0.0,0.0,0.0,0.0,0.0019536332991818327,0.001953633299181833,0.001953633299181833,0.0019536332991818327,0.001953633299181833,0.001953633299181833,0.005110825270307033,0.005110825270307033,0.005110825270307033,0.0017036084234356777,0.0017036084234356777,0.0017036084234356777
Model-guided constrained SAC,clearance,1,88,within_path_first,429.7694161527346,415.33555195809816,443.83525891543087,743.2755698113996,713.3593767101078,776.7542624108319,0.0,0.0,0.0,0.1952042452967161,0.18496833930037734,0.20539913094877846,167.3708437617075,157.89735434268633,176.3579653540436,0.0,0.0,0.0,0.0,0.0,0.0,77.07622964165702,74.79579857347608,79.4265479885693,185.1510641404214,176.87029836070292,193.0169823944436,708.8255048800912,683.6562119272162,727.713347559776,197.62594886120908,187.77274133051327,206.9110073827306,76.44465777771866,74.31807295827542,79.05251214670528,78.6225798721498,76.18141217837498,80.79645184032067,77.07622964165702,74.79579857347608,79.4265479885693,0.3502447817891321,0.3250828914140491,0.3264080094862265,0.0008559549490674952,0.0007944623995299182,0.0007977008242858419,0.34932018289320355,0.3243084840801991,0.32553462803058975,0.0008536953436657252,0.0007925698437390308,0.000795566387976592,0.0,0.0,0.0,0.0,0.0,0.0,0.0008840193268654906,0.0008189425280438667,0.0008222045108976417,0.0008840193268654906,0.0008189425280438667,0.0008222045108976417,0.002372443746589226,0.002205985380427375,0.0022149048132044918,0.0007908145821964086,0.0007353284601424584,0.0007383016044014972
Model-guided constrained SAC,clearance,2,88,within_path_first,432.60718323439954,417.6972805150451,443.7977800540427,927.1868502203005,888.5429268774753,963.0393256734626,0.0,0.0,0.0,0.3149768439882992,0.30192528452559614,0.33072262196446256,172.03825185134704,163.5095265172119,179.9731927858444,0.0,0.0,0.0,0.0,0.0,0.0,77.26515582900234,74.6488568757825,79.57839771225997,184.95585989512472,176.67123235767912,192.8271210457274,631.2453722071006,606.5717642935275,651.0727240474884,202.95902611323933,194.48919397926718,211.2638464444986,75.26409032864267,73.08775150181809,77.35388039059265,77.1189109635152,74.5593090908323,79.64506265397465,77.26515582900234,74.6488568757825,79.57839771225997,0.3471536437044258,0.3417415655248603,0.3542054187255903,0.0008484005897181863,0.0008351741396940761,0.0008656342561221309,0.34243752904575603,0.33716262607782005,0.3496015132782449,0.0008368749885034093,0.0008239837777387789,0.0008543828803484109,0.0,0.0,0.0,0.0,0.0,0.0,0.0008550686622380096,0.00084153158161425,0.0008717376741452167,0.0008550686622380096,0.00084153158161425,0.0008717376741452167,0.002331557165828678,0.00229062121927195,0.0023789128770409333,0.0007771857219428927,0.0007635404064239833,0.0007929709590136445
Model-guided constrained SAC,clearance,3,88,within_path_first,403.86889933432633,390.25075743702274,414.439171881041,1109.9091207357242,1060.0828055185452,1153.9144230782308,0.0,0.0,0.0,0.4681830167952887,0.44891621681766225,0.49066577804065664,143.69390254490241,135.51912592499318,151.64187005625587,0.0,0.0,0.0,0.0,0.0,0.0,75.76148692036776,73.51080665174214,78.23947615238053,184.6408830511364,176.35316031025948,192.48847984029925,555.0157022699375,534.0978628745942,574.6621226183722,174.6321657714568,166.4220534647347,183.1549708302626,76.87123396567189,74.80067354800926,79.14149133182795,76.60401267682984,74.4915500314349,78.84635599154126,75.76148692036776,73.51080665174214,78.23947615238053,6.971377024192401,0.4312626441140552,0.45922679197467847,0.01703718363822907,0.001053952589076985,0.00112229350949123,7.134095456454944,0.42321670055031524,0.4497204372497345,0.017434847371256456,0.0010342892976551378,0.0010990611537289507,0.0,0.0,0.0,0.0,0.0,0.0,0.0230528760258895,0.0010542632157714334,0.0011236882094175752,0.0230528760258895,0.0010542632157714334,0.0011236882094175752,0.05122950569497167,0.0030124931091306,0.0032091129150412833,0.017076501898323892,0.0010041643697102,0.001069704305013761
Model-guided constrained SAC,clearance,4,88,within_path_first,370.8430022355964,356.85439933921623,384.04753092421515,1290.8497700868184,1230.0065128035576,1341.7602687337187,0.0,0.0,0.0,0.654187202310195,0.6286637846014376,0.6847873301890229,111.3982025449024,103.22342592499317,119.34617005625587,0.0,0.0,0.0,0.0,0.0,0.0,75.24658863368239,73.06597971227568,77.33265125986368,184.17270003434112,175.88787093040452,191.97611709536875,479.1149264339449,460.5031380408065,498.2469587083138,142.336478501747,134.12635772096075,150.85928656623958,75.03128982164579,73.0817901546641,76.90658918780075,78.22864527852121,76.27896461195846,80.68759828341275,75.24658863368239,73.06597971227568,77.33265125986368,44.72807445291003,46.48973477373739,46.73448114540274,0.1093098846317079,0.11361516467752411,0.11421329455407259,46.343725831790444,48.27013341678055,48.37665919806816,0.11325833687318344,0.11796623886638487,0.11822657470702361,0.0,0.0,0.0,0.0,0.0,0.0,0.1591108719082048,0.1629801638081936,0.1690771655219866,0.1591108719082048,0.1629801638081936,0.1690771655219866,0.33191995964685267,0.34556761717738294,0.3466134450967673,0.11063998654895087,0.1151892057257943,0.11553781503225577
Model-guided constrained SAC,clearance,5,88,within_path_first,295.596413601914,283.39543718539636,308.3428098205134,1469.2881914567859,1401.185370004167,1525.8934568595478,0.0,0.0,0.0,0.8720646786319007,0.8350281174572103,0.9118651082172605,79.33392788541049,70.92772592499315,87.05047005625588,0.0,0.0,0.0,0.0,0.0,0.0,76.87122123537375,74.80065756099495,79.14147553722188,183.51851283203095,175.24471051936686,191.25661759294778,401.3716405199393,384.34206350827276,417.7570791529625,110.04077850175496,101.83065772096359,118.5635865662494,32.29570000000001,32.295700000000004,32.295700000000004,76.38871386478529,74.18077324182528,78.60986225880795,76.87122123537375,74.80065756099495,79.14147553722188,46.01980241820582,45.89054152663607,46.16396836284687,0.11246670809413278,0.11215081045450252,0.1128190318408911,47.8306293355114,47.75294463344492,47.901085279535636,0.11689214522371584,0.11670229341532926,0.11706433084107382,0.0,0.0,0.0,0.0,0.0,0.0,0.18953229538900446,0.18503416804123174,0.1941774323297581,0.18953229538900446,0.18503416804123174,0.1941774323297581,0.342980705245308,0.34214748478618473,0.34386394682843724,0.11432690174843599,0.11404916159539491,0.11462131560947908
Model-guided constrained SAC,clearance,6,88,within_path_first,218.72519236654023,208.6107782007561,227.76257198196643,1644.3816981052623,1567.6115207632135,1705.6990774105234,0.0,0.0,0.0,1.120546732086086,1.0759664877737312,1.1702114260310024,60.420713180535614,57.79767337331699,62.78398755972782,0.0,0.0,0.0,0.0,0.0,0.0,75.03128982163784,73.0817901546566,76.9065891877936,182.646448153399,174.39019003420185,190.30389731344286,325.21980396621535,309.7654585327542,339.7620209976233,77.97650384226303,69.53495772096358,86.26788656624943,32.064274659491915,32.295700000000004,32.295700000000004,33.65312404314746,32.719211584293284,32.77278291578135,75.03128982163784,73.0817901546566,76.9065891877936,45.661301938586774,45.49594312704897,45.81751345007258,0.11159057724014695,0.11118646074657727,0.11197233886318832,47.5782745853706,47.52296703415519,47.64650228536283,0.11627542141072907,0.11614025659273577,0.11644216147513067,0.0,0.0,0.0,0.0,0.0,0.0,0.20948428250023968,0.20443976601122033,0.21500997833298835,0.20948428250023968,0.20443976601122033,0.21500997833298835,0.3412536725530963,0.3403298953955793,0.34218252965161167,0.11375122418436545,0.1134432984651931,0.11406084321720389
Model-guided constrained SAC,clearance,7,88,within_path_first,143.69390254490241,135.51912592499318,151.6418700562559,1815.173712502816,1732.6720541921406,1881.4780517848085,0.0,0.0,0.0,1.397970870994578,1.3421708796070437,1.4586120556576403,58.45326019620591,56.15351622551765,61.27860461342129,0.0,0.0,0.0,0.0,0.0,0.0,32.29570000000001,32.295700000000004,32.295700000000004,181.52590142131294,173.2951919628689,189.0862962610775,291.52613309522076,276.1278165685926,306.0248643471556,59.06328913738817,56.21244520681233,60.99880717841559,18.913214704874868,12.803377572247987,26.17450412562829,33.42169870263937,32.718839844951425,32.77278291578135,32.29570000000001,32.295700000000004,32.295700000000004,45.03680506744602,44.821235182173766,45.276201699005,0.11006438408803336,0.10953755793740194,0.11064943986110226,47.30171237733964,47.23541720850925,47.36756460221444,0.11559953756320997,0.1154375203660664,0.11576047226008328,0.0,0.0,0.0,0.0,0.0,0.0,0.22710990780703275,0.21959117619473023,0.23517916174163583,0.22710990780703275,0.21959117619473023,0.23517916174163583,0.33647850479603764,0.3352252553385684,0.33760402563762154,0.1121595015986792,0.11174175177952281,0.11253467521254051
Model-guided constrained SAC,clearance,8,88,within_path_first,111.3982025449024,103.22342592499315,119.34617005625587,1980.6045532738294,1893.334714887132,2055.5840965315715,0.0,0.0,0.0,1.7022378134979816,1.630000660748554,1.768476393539684,55.902271016256826,53.361080695540565,58.03902952128782,0.0,0.0,0.0,0.0,0.0,0.0,32.18102736585103,32.295700000000004,32.295700000000004,180.12793055031835,171.93222630621324,187.57396637014324,257.64286791587176,242.20301816762614,271.97192889818643,57.212588859417565,54.71274520681233,59.24311742195776,1.8507002779705957,1.4997000000000007,1.4997000000000007,20.15388604166322,13.236723957765633,26.867988833024178,32.18102736585103,32.295700000000004,32.295700000000004,44.43441957214572,44.248970165436354,44.63156584526521,0.1085922284050425,0.10813901298049383,0.10907402952511866,47.13146161615409,47.051938862590525,47.210022211496415,0.1151834657494491,0.11498912197042549,0.11537545813272303,0.7633096398638273,0.7633096398638273,0.7633096398638273,0.0018654343986935701,0.0018654343986935701,0.0018654343986935701,0.25027607942427504,0.23980095936138074,0.25885075751847947,0.25027607942427504,0.23980095936138074,0.25885075751847947,0.3339116800194521,0.3326175298578674,0.3353694940261456,0.11130389333981737,0.11087250995262247,0.11178983134204853
Model-guided constrained SAC,clearance,9,88,within_path_first,79.21717517905137,70.92772592499315,87.05047005625586,2139.5250826467836,2048.749961965468,2221.565771089192,0.0,0.0,0.0,2.030777157290451,1.9426072528733014,2.106704612288585,54.28521955393807,51.86138069554057,56.35735816718441,0.0,0.0,0.0,0.0,0.0,0.0,19.964503884823955,13.199953436095477,26.830498676994466,178.42569273682037,170.27585240933237,185.7393349118139,235.64758687375735,226.99919729746455,242.92367803033304,55.71288885941755,53.21304520681233,57.74341742195776,1.4997000000000007,1.4997000000000007,1.4997000000000007,2.0400824348098605,1.5359900814461984,1.631806653051759,19.964503884823955,13.199953436095477,26.830498676994466,43.86881833327477,43.670911117664716,44.100045299789464,0.1072099688974568,0.10672630812800223,0.10777505901910003,46.694845624757136,46.63579559900975,46.77101795262864,0.1141164302413991,0.11397211927829823,0.11430258599421445,0.3502447817891321,0.3250828914140491,0.3264080094862265,0.0008559549490674952,0.0007944623995299182,0.0007977008242858419,0.2642830029066943,0.25420933806006746,0.2726784448817486,0.2642830029066943,0.25420933806006746,0.2726784448817486,0.33420330731777753,0.333282655890969,0.3355586092526505,0.11140110243925916,0.111094218630323,0.1118528697508835
