evidence_layer,controller_id,evaluation_information_regime,capacity_rights,warning_scenario,physical_paths,clearance_probability,restricted_mean_clearance_time,restriction_weeks,number_censored_paths,mean_final_outstanding,mean_terminal_loss,censored_clearance_recorded_as_cap
fixed_policy_information_responsiveness,IL_RD,I0,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
fixed_policy_information_responsiveness,IL_RD,I0,RD,GH,88,1.0,79.0,104,0,5.747060192295306e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,I0,RD,GL,88,1.0,79.0,104,0,5.747060192295306e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,I0,RD,GT,88,1.0,79.0,104,0,5.747060192295306e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,IF,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
fixed_policy_information_responsiveness,IL_RD,IF,RD,GH,88,1.0,79.0,104,0,5.745260385187261e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,IF,RD,GL,88,1.0,79.0,104,0,5.745260385187214e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,IF,RD,GT,88,1.0,79.0,104,0,5.745260385183657e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,IL,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
fixed_policy_information_responsiveness,IL_RD,IL,RD,GH,88,1.0,79.0,104,0,5.745658238743315e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,IL,RD,GL,88,1.0,79.0,104,0,5.745658237827465e-07,0.0,False
fixed_policy_information_responsiveness,IL_RD,IL,RD,GT,88,1.0,79.0,104,0,5.745658212661683e-07,0.0,False
reoptimized_capacity_rights,IL_D,IL,D,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_capacity_rights,IL_D,IL,D,GH,88,1.0,79.0,104,0,5.769656697484473e-07,0.0,False
reoptimized_capacity_rights,IL_D,IL,D,GL,88,1.0,79.0,104,0,5.76965669770287e-07,0.0,False
reoptimized_capacity_rights,IL_D,IL,D,GT,88,1.0,79.0,104,0,5.769656667145734e-07,0.0,False
reoptimized_capacity_rights,IL_NONE,IL,NONE,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_capacity_rights,IL_NONE,IL,NONE,GH,88,1.0,79.0,104,0,5.775838194148974e-07,0.0,False
reoptimized_capacity_rights,IL_NONE,IL,NONE,GL,88,1.0,79.0,104,0,5.775838194150539e-07,0.0,False
reoptimized_capacity_rights,IL_NONE,IL,NONE,GT,88,1.0,79.0,104,0,5.775838173096543e-07,0.0,False
reoptimized_capacity_rights,IL_R,IL,R,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_capacity_rights,IL_R,IL,R,GH,88,1.0,79.0,104,0,5.767140861396744e-07,0.0,False
reoptimized_capacity_rights,IL_R,IL,R,GL,88,1.0,79.0,104,0,5.767140859383371e-07,0.0,False
reoptimized_capacity_rights,IL_R,IL,R,GT,88,1.0,79.0,104,0,5.767140839774731e-07,0.0,False
reoptimized_capacity_rights,IL_RD,IL,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_capacity_rights,IL_RD,IL,RD,GH,88,1.0,79.0,104,0,5.745658238743315e-07,0.0,False
reoptimized_capacity_rights,IL_RD,IL,RD,GL,88,1.0,79.0,104,0,5.745658237827465e-07,0.0,False
reoptimized_capacity_rights,IL_RD,IL,RD,GT,88,1.0,79.0,104,0,5.745658212661683e-07,0.0,False
reoptimized_information_value,I0_RD,I0,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_information_value,I0_RD,I0,RD,GH,88,1.0,79.0,104,0,5.760847773975992e-07,0.0,False
reoptimized_information_value,I0_RD,I0,RD,GL,88,1.0,79.0,104,0,5.760847773975992e-07,0.0,False
reoptimized_information_value,I0_RD,I0,RD,GT,88,1.0,79.0,104,0,5.760847773975992e-07,0.0,False
reoptimized_information_value,IF_RD,IF,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_information_value,IF_RD,IF,RD,GH,88,1.0,79.0,104,0,5.760470957179564e-07,0.0,False
reoptimized_information_value,IF_RD,IF,RD,GL,88,1.0,79.0,104,0,5.760470957179507e-07,0.0,False
reoptimized_information_value,IF_RD,IF,RD,GT,88,1.0,79.0,104,0,5.760470957175499e-07,0.0,False
reoptimized_information_value,IL_RD,IL,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_information_value,IL_RD,IL,RD,GH,88,1.0,79.0,104,0,5.745658238743315e-07,0.0,False
reoptimized_information_value,IL_RD,IL,RD,GL,88,1.0,79.0,104,0,5.745658237827465e-07,0.0,False
reoptimized_information_value,IL_RD,IL,RD,GT,88,1.0,79.0,104,0,5.745658212661683e-07,0.0,False
reoptimized_information_value,ORACLE_RD,ORACLE,RD,GFW,88,1.0,0.0,104,0,0.0,0.0,False
reoptimized_information_value,ORACLE_RD,ORACLE,RD,GH,88,1.0,79.0,104,0,5.759583871092494e-07,0.0,False
reoptimized_information_value,ORACLE_RD,ORACLE,RD,GL,88,1.0,79.0,104,0,5.759583871092494e-07,0.0,False
reoptimized_information_value,ORACLE_RD,ORACLE,RD,GT,88,1.0,79.0,104,0,5.759583871092494e-07,0.0,False
