controller_id,information_regime,capacity_rights,seed_index,training_seed,bc_checkpoint_path,bc_checkpoint_sha256,sac_checkpoint_path,sac_checkpoint_sha256,controller_bundle_path,controller_bundle_sha256,bc_selected_episode,sac_selected_episode,bc_validation_loss,sac_validation_loss,generated_from_scratch,reused_5_2_2_anchor,test_paths_seen_before_selection,teacher_hash
I0_RD,I0,RD,0,757737466,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/behaviour_cloning_seed_0.npz,2beb96eab6675ef81629c8bd31152c0326498df8c6040fff50ef6c5b7d1f9a8e,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/constrained_sac_seed_0.npz,91e20515c49cf296cac505604e0291b0f6f40cd8d4cbc825c5e89177b4fdd049,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/controller_bundle_seed_0.json,96993d306d0a2760d9ec002568b7240aece2f96b4eaa6b30cf555442d8b2c31f,12,3,34724.07219299703,125435.57859297538,True,False,False,99d1476ef74cf7cec1b8b761502db94b96408e1331f278d7873488c069137bf2
I0_RD,I0,RD,1,2577411,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/behaviour_cloning_seed_1.npz,a15d51ccf08c109c3c5ed63de1914aa9e792d0ed9b4a1a8bd5ff200000820216,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/constrained_sac_seed_1.npz,7f32dd1b4cdb910cab25f4ea1e9d54744d44e76aca8c6eb59ae6ebc7bf391795,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/controller_bundle_seed_1.json,073adb2d1692ce5b913e0f058b42881ea8d830e18b0ac4a31cd6e0d12ba3747c,12,3,36524.13131907242,125381.94353773077,True,False,False,99d1476ef74cf7cec1b8b761502db94b96408e1331f278d7873488c069137bf2
I0_RD,I0,RD,2,3815378800,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/behaviour_cloning_seed_2.npz,1bee2451811780228687f6ab33fa18d7a5dc522edc88eda32804ad92defc2bb0,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/constrained_sac_seed_2.npz,29a1e80710983b6b07f568a83da2156da05be10ce39732edf8a22a86d8f844b1,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/I0_RD/controller_bundle_seed_2.json,7c4308c61766d777abdd24c36f231ea513a47cfd4d31742be561d9ff0fbd6a45,12,3,35508.57534591497,125447.04450842268,True,False,False,99d1476ef74cf7cec1b8b761502db94b96408e1331f278d7873488c069137bf2
IF_RD,IF,RD,0,757737466,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/behaviour_cloning_seed_0.npz,983902b2282716a268639cdde5c123781f82dede973eeac12534ef7b929b91a1,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/constrained_sac_seed_0.npz,23c1369c7b2a805834476c9fcd5b06941cbdbf79155c1e096d216d3863bba299,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/controller_bundle_seed_0.json,f635a4b30c82a065e51580367c8cd04258d63812c0107a94a17f40eede622729,12,3,34514.199630610194,125265.77697596954,True,False,False,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,1,2577411,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/behaviour_cloning_seed_1.npz,7c1f6f6faa97715f56e333704794dfbddd20c5a154b859ebe6919637da9b0e83,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/constrained_sac_seed_1.npz,6862ae8a20500e3059be6702da16312d7d43a2ba690c919554775da5a12db722,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/controller_bundle_seed_1.json,a7427b4b79ed46cb77474aa8a902cde07212ef95ad770973b8de035639549c47,12,3,36890.639998588245,125223.33136592398,True,False,False,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IF_RD,IF,RD,2,3815378800,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/behaviour_cloning_seed_2.npz,ad53118ec9a99bd4c2bb934904616d9bd4a47fd8dec7ef761978462ef40f63c9,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/constrained_sac_seed_2.npz,0913e139a82d319a2b745d96238ceec2f75aceb78451a7ef50b75d1c8a6ad3ed,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IF_RD/controller_bundle_seed_2.json,61d952182a3a81b2efe4f73fc39f41a5c7a88c3c23231b6a45698b5026db0bd7,12,3,35264.005426600736,125281.96084990582,True,False,False,3d8dc06f2ca5e84c20fb0913b6ee7e02a777bb07639e390ec51f36d11c34d2dc
IL_D,IL,D,0,757737466,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/behaviour_cloning_seed_0.npz,d569cd9b74a05b7df1f7648335b618c6e2097a55c2947fc3a60959270d5eac80,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/constrained_sac_seed_0.npz,a4a38f6b09e07db9361ea4ab64d668bcd541702a0559d9cbb354b15e2026a88c,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/controller_bundle_seed_0.json,395cdd48b85a9748b52463b23406a8bf01893ca11cc74e06feac686e2302b2d6,12,3,35441.800066706695,125279.44505019196,True,False,False,7bb5c53fd716ae8efef7fd0c5a01dae18936b886bde6775b7ac99dbb4d12625b
IL_D,IL,D,1,2577411,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/behaviour_cloning_seed_1.npz,0471ec0767ab7622f2328a009cbbf87a423bc308242f155c01d0d3ac11151209,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/constrained_sac_seed_1.npz,779feb06781a54d1a1c30089f2e84134e42c08b6003ddaae98554a97dab828de,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/controller_bundle_seed_1.json,8fbc19d33150009f4e6a2f6b1a2d5c0435e25a6d8664c512716a5830e3614844,12,3,37722.498633853626,125246.02192508048,True,False,False,7bb5c53fd716ae8efef7fd0c5a01dae18936b886bde6775b7ac99dbb4d12625b
IL_D,IL,D,2,3815378800,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/behaviour_cloning_seed_2.npz,276571cbb843759426f4b5e4a1cde9d87b7a7c3b81597f730ac0e5a081426589,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/constrained_sac_seed_2.npz,6641d0a6d4f91367e7231832ddb5f7e571bd617aad0207f8ced8bee4e794abf3,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_D/controller_bundle_seed_2.json,efb76224a61e4ba6af542e6029563424e623dd2d06686b30b5dbe76b264bd476,12,3,36554.43352692359,125297.79325964976,True,False,False,7bb5c53fd716ae8efef7fd0c5a01dae18936b886bde6775b7ac99dbb4d12625b
IL_NONE,IL,NONE,0,757737466,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_NONE/behaviour_cloning_seed_0.npz,6a8943a49c7fed2c9ca23dab334128872377d60bc20ab66e5842c3f8dd18a80c,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_NONE/constrained_sac_seed_0.npz,5ac9cc5657ea306c32545f37b1f7ce27920e929d15086c81c34f7dbdc94ea438,output/5.2.4_released_risk_information_capacity_preparation/checkpoints/IL_NONE/controller_bundle_seed_0.json,13ca87ebbdbf978aa011e72be0e7a816bbd1caa5287a2e6cbf41596a7e717295,12,3,34547.53786603019,125278.96902808725,True,False,False,517e8fa6c9b8f371df6431a69b4c07ef7961064e23b71d23cb217046e7968ef0
