decision_week,current_risk,lead_risk,readiness_order,readiness_stock,readiness_exercise,readiness_matured,readiness_expiry,direct_order,direct_pipeline,direct_arrival,temporary_capacity,blocked,queues,scenario_release_date,event_onset
2025-12-29,1.6482445345321884e-08,0.11612530422807112,0.7633096382147855,0.0,0.0,0.0,0.0,0.7618317608432461,0.0,0.7618317608432461,0.7618317608432461,0.0,0.0,2025-11-30,2026-02-23
2026-01-05,3.581846189974482e-08,0.11612530428219701,0.7599306362108926,0.0,0.0,0.0,0.0,0.7580771287139805,0.0,0.7580771287139805,0.7580771287139805,0.0,0.0,2025-12-31,2026-02-23
2026-01-12,3.581846189974482e-08,0.11612530428219701,0.7566156941695593,0.0,0.0,0.0,0.0,0.7543710877298614,0.0,0.7543710877298614,0.7543710877298614,0.0,0.0,2025-12-31,2026-02-23
2026-01-19,3.581846189974482e-08,0.11612530428219701,0.7533343269426366,0.0,0.0,0.0,0.0,0.7506852306154759,0.0,0.7506852306154759,0.7506852306154759,0.0,0.0,2025-12-31,2026-02-23
2026-01-26,3.581846189974482e-08,0.11612530428219701,0.7501256762770643,0.0,0.0,0.0,0.0,0.7470990908773891,0.0,0.7470990908773891,0.7470990908773891,0.0,0.0,2025-12-31,2026-02-23
2026-02-02,1.209301497517335e-09,0.11503410502950766,0.7471712246097972,0.0,0.0,0.0,0.0,0.7438164415443914,0.0,0.7438164415443914,0.7438164415443914,0.0,0.0,2026-01-31,2026-02-23
2026-02-09,1.209301497517335e-09,0.11612530418531812,0.7437603318196805,0.0,0.0,0.0,0.0,0.7400444626195788,0.0,0.7400444626195788,0.7400444626195788,0.0,0.0,2026-01-31,2026-02-23
2026-02-16,1.209301497517335e-09,0.11612530418531812,0.7406260278782809,0.0,0.0,0.7633096382147855,0.0,0.7365669059184053,0.0,0.7365669059184053,0.7365669059184053,0.0,0.0,2026-01-31,2026-02-23
2026-02-23,1.209301497517335e-09,0.11612530418531812,0.7374966506742017,0.7633096382147855,0.7462163852520897,0.7599306362108926,0.0,0.7330762876476434,0.0,0.7330762876476434,1.479292672899733,32.10032116310982,0.0,2026-01-31,2026-02-23
2026-03-02,0.0001985329050776,0.11503652109305938,0.3147998250434357,0.7770238891735884,0.7344157690372223,0.7566156941695593,0.0,0.3121927791326996,0.0,0.3121927791326996,1.0466085481699219,91.57208451977347,0.0,2026-02-28,2026-02-23
