warning_scenario,capacity_rights,mean_total_loss,panel,evidence_layer,comparison,estimand,physical_paths,mean_paired_effect,standard_error,paired_95_lower,paired_95_upper,simultaneous_95_lower,simultaneous_95_upper,paired_bootstrap_95_lower,paired_bootstrap_95_upper,unadjusted_p_value,holm_adjusted_p_value,multiplicity_family_size,learning_seeds_aggregated_within_path_first,inference_unit,controller_id,evaluation_information_regime,queue,waiting,sue_exit,attrition_exit,overload,route_resource,action,terminal,total,component_sum,loss_identity_residual,label
GH,RD,115985.81140562006,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH,R,119181.59447577408,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH,D,120582.20279962145,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH,NONE,120747.1054913469,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT,RD,115985.80185757922,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT,R,119181.58475036315,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT,D,120582.19146966556,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GT,NONE,120747.09522899584,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,RD,115985.81227225905,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,R,119181.59405833384,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,D,120582.20367629331,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GL,NONE,120747.1054977891,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFW,RD,24.138562083229985,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFW,R,3.321237749844911,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFW,D,14.753477837712978,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFW,NONE,0.1043015497521138,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GH,,,B,reoptimized_capacity_rights,V_R_given_D,J_D - J_RD; readiness value when direct procurement exists,88.0,4596.391394001402,32.21443725334704,4532.361711729917,4660.421076272886,4501.5848731972665,4691.197914805537,4533.6040012902695,4657.806594381111,6.172783513736595e-105,5.555505162362936e-104,12.0,True,physical_path,,,,,,,,,,,,,,
GH,,,B,reoptimized_capacity_rights,V_D_given_R,J_R - J_RD; direct procurement value when readiness exists,88.0,3195.783070154023,30.574351006685244,3135.013236888924,3256.552903419122,3105.803294254412,3285.762846053634,3136.410811012111,3255.9661352431854,3.0179985862859324e-93,1.810762673302942e-92,12.0,True,physical_path,,,,,,,,,,,,,,
GH,,,B,reoptimized_capacity_rights,S_RD,positive complementarity; negative substitutability,88.0,3030.880378428582,31.507038276267423,2968.256728222329,3093.504028634835,2938.155720340529,3123.6050365166348,2968.2886489729917,3091.053269406226,3.8922329176095143e-90,1.1676698752828544e-89,12.0,True,physical_path,,,,,,,,,,,,,,
GT,,,B,reoptimized_capacity_rights,V_R_given_D,J_D - J_RD; readiness value when direct procurement exists,88.0,4596.389612086321,32.21442594948904,4532.359952282479,4660.419271890163,4501.58312454924,4691.196099623402,4531.3572233936375,4660.633332820379,6.172803184211081e-105,5.555505162362936e-104,12.0,True,physical_path,,,,,,,,,,,,,,
GT,,,B,reoptimized_capacity_rights,V_D_given_R,J_R - J_RD; direct procurement value when readiness exists,88.0,3195.7828927839346,30.574342174434243,3135.013077073891,3256.552708493978,3105.8031428774825,3285.7626426903867,3138.322352160648,3255.135211587282,3.017937788838237e-93,1.810762673302942e-92,12.0,True,physical_path,,,,,,,,,,,,,,
GT,,,B,reoptimized_capacity_rights,S_RD,positive complementarity; negative substitutability,88.0,3030.8791334536627,31.507027542939657,2968.255504581061,3093.5027623262645,2938.154506953604,3123.603759953721,2968.47186915674,3090.229578190431,3.892256436313855e-90,1.1676698752828544e-89,12.0,True,physical_path,,,,,,,,,,,,,,
GL,,,B,reoptimized_capacity_rights,V_R_given_D,J_D - J_RD; readiness value when direct procurement exists,88.0,4596.391404034244,32.21443968255711,4532.3617169344425,4660.421091134046,4501.584876080987,4691.197931987502,4533.54070635256,4657.331752991193,6.1728226724382375e-105,5.555505162362936e-104,12.0,True,physical_path,,,,,,,,,,,,,,
GL,,,B,reoptimized_capacity_rights,V_D_given_R,J_R - J_RD; direct procurement value when readiness exists,88.0,3195.7817860747687,30.574353362587328,3135.0119481270594,3256.551624022478,3105.8020032417794,3285.761568907758,3136.736726824497,3255.69666566649,3.0181233388052263e-93,1.810762673302942e-92,12.0,True,physical_path,,,,,,,,,,,,,,
GL,,,B,reoptimized_capacity_rights,S_RD,positive complementarity; negative substitutability,88.0,3030.8799645789736,31.50703859119731,2968.256313746763,3093.503615411184,2938.1553055640875,3123.60462359386,2971.239758207401,3093.5478422931697,3.8922820829041714e-90,1.1676698752828544e-89,12.0,True,physical_path,,,,,,,,,,,,,,
GFW,,,B,reoptimized_capacity_rights,V_R_given_D,J_D - J_RD; readiness value when direct procurement exists,88.0,-9.385084245517003,1.904454433865856e-16,-9.385084245517003,-9.385084245517003,-9.385084245517003,-9.385084245517003,-9.385084245517003,-9.385084245517003,0.0,0.0,12.0,True,physical_path,,,,,,,,,,,,,,
GFW,,,B,reoptimized_capacity_rights,V_D_given_R,J_R - J_RD; direct procurement value when readiness exists,88.0,-20.81732433338507,0.0,-20.81732433338507,-20.81732433338507,-20.81732433338507,-20.81732433338507,-20.81732433338507,-20.81732433338507,0.0,0.0,12.0,True,physical_path,,,,,,,,,,,,,,
GFW,,,B,reoptimized_capacity_rights,S_RD,positive complementarity; negative substitutability,88.0,-6.168148045424204,9.52227216932928e-17,-6.168148045424204,-6.168148045424204,-6.168148045424204,-6.168148045424204,-6.168148045424204,-6.168148045424204,0.0,0.0,12.0,True,physical_path,,,,,,,,,,,,,,
GH,RD,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_RD,IL,8587.781005627972,97847.1610738918,0.0106014023339835,3902.342868635024,3373.2202982556305,1326.9630784465655,948.332479360693,0.0,115985.81140562006,115985.81140562004,-2.9103830456733704e-11,GH | RD
GH,R,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_R,IL,8806.687784884518,101274.53870247008,0.010967425657199,4042.734615292431,3540.571901992809,1339.287951614482,177.76255209409527,0.0,119181.59447577404,119181.59447577408,1.4551915228366852e-11,GH | R
GH,D,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_D,IL,8642.695108984612,102330.4246157076,0.0103690292719609,4080.177875479897,3431.0950194289708,1319.7569343423108,778.0428766487651,0.0,120582.20279962146,120582.20279962145,-1.4551915228366852e-11,GH | D
GH,NONE,,C,reoptimized_capacity_rights,,,88.0,,,,,,,,,,,,,,IL_NONE,IL,8980.785505121237,102631.09090816492,0.0114757494487586,4098.22198566112,3675.691100875297,1354.667944897059,6.636570877795148,0.0,120747.1054913469,120747.10549134688,-2.9103830456733704e-11,GH | NONE
