path_id,split,path_content_sha256,weeks,construction,residual_start,residual_end,onset_week,active_duration_weeks,severity_floor,has_reclosure,historical_test_event_used,released_information_source,controller_id,information_regime,capacity_rights,scenario_label_in_controller_observation
training_000_60a9d350b650__I0,training,03c34041936663e9510ab629d1be7c329c637bd345589769f25367b7469140b2,21,designed event geometry plus 5.2.1 pre-event residual block; information regime I0,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information,I0_RD,I0,RD,False
training_001_8a16fe9edafd__I0,training,1f4c727a3ab37f68edd25caffeef1e0c9e6a848ad0df18cdabf750854de54ad6,21,designed event geometry plus 5.2.1 pre-event residual block; information regime I0,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information,I0_RD,I0,RD,False
training_002_7ec3e8f1af07__I0,training,2661d8fd723cf1975a355a6a09bd7771b06215621ecae4123b66c9126b39047f,21,designed event geometry plus 5.2.1 pre-event residual block; information regime I0,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information,I0_RD,I0,RD,False
training_000_60a9d350b650__IF,training,665eabdee98ebd1ee5e34bfa5eb0dfe23035023a0048e9d6294ab11151f7d87f,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IF,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information,IF_RD,IF,RD,False
training_001_8a16fe9edafd__IF,training,4f109c0907dd05f57cf1c608945aa208e9e50d1fee85f04d3279bf3cfe403c17,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IF,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information,IF_RD,IF,RD,False
training_002_7ec3e8f1af07__IF,training,4cb7125ece9be2d31155492c0adc7e02c152b24d58a06ad7ff80e130af9b5bec,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IF,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information,IF_RD,IF,RD,False
training_000_60a9d350b650__IL,training,c55ee2d00d4acdf31ba76e8adde6fe8b14eaf9fb06c53c5f0e5e63e7a2009ba4,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information,IL_RD,IL,RD,False
training_001_8a16fe9edafd__IL,training,b68f078a697afef796b5c96069589095dfa14acd9ee7f7263cad40ab9964f474,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information,IL_RD,IL,RD,False
training_002_7ec3e8f1af07__IL,training,02b1c1f2b7dc66ecb84523308135a7c22081b511aaf3e6f31f66410b3ccb034c,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information,IL_RD,IL,RD,False
training_000_60a9d350b650__ORACLE,training,b457210e1c5854ef924da4af8018638baaf436118a559336dec28cd5aeae8d8c,21,designed event geometry plus 5.2.1 pre-event residual block; information regime ORACLE,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information,ORACLE_RD,ORACLE,RD,False
training_001_8a16fe9edafd__ORACLE,training,741ba79473a6857ee9a163e451068a568a4965c0066093ff17d26271ad36bd58,21,designed event geometry plus 5.2.1 pre-event residual block; information regime ORACLE,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information,ORACLE_RD,ORACLE,RD,False
training_002_7ec3e8f1af07__ORACLE,training,662db83fca9f2d5345288f2d13d572346ffc15774c1b38f2cf5c242c3a48b65b,21,designed event geometry plus 5.2.1 pre-event residual block; information regime ORACLE,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information,ORACLE_RD,ORACLE,RD,False
training_000_60a9d350b650__IL,training,c55ee2d00d4acdf31ba76e8adde6fe8b14eaf9fb06c53c5f0e5e63e7a2009ba4,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information,IL_R,IL,R,False
training_001_8a16fe9edafd__IL,training,b68f078a697afef796b5c96069589095dfa14acd9ee7f7263cad40ab9964f474,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information,IL_R,IL,R,False
training_002_7ec3e8f1af07__IL,training,02b1c1f2b7dc66ecb84523308135a7c22081b511aaf3e6f31f66410b3ccb034c,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information,IL_R,IL,R,False
training_000_60a9d350b650__IL,training,c55ee2d00d4acdf31ba76e8adde6fe8b14eaf9fb06c53c5f0e5e63e7a2009ba4,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information,IL_D,IL,D,False
training_001_8a16fe9edafd__IL,training,b68f078a697afef796b5c96069589095dfa14acd9ee7f7263cad40ab9964f474,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information,IL_D,IL,D,False
training_002_7ec3e8f1af07__IL,training,02b1c1f2b7dc66ecb84523308135a7c22081b511aaf3e6f31f66410b3ccb034c,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information,IL_D,IL,D,False
training_000_60a9d350b650__IL,training,c55ee2d00d4acdf31ba76e8adde6fe8b14eaf9fb06c53c5f0e5e63e7a2009ba4,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-01-08,2024-05-27,1,10,0.0,False,False,designed split-specific training information,IL_NONE,IL,NONE,False
training_001_8a16fe9edafd__IL,training,b68f078a697afef796b5c96069589095dfa14acd9ee7f7263cad40ab9964f474,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2024-06-17,2024-11-04,3,15,0.5,False,False,designed split-specific training information,IL_NONE,IL,NONE,False
training_002_7ec3e8f1af07__IL,training,02b1c1f2b7dc66ecb84523308135a7c22081b511aaf3e6f31f66410b3ccb034c,21,designed event geometry plus 5.2.1 pre-event residual block; information regime IL,2025-04-14,2025-09-01,5,10,0.0,True,False,designed split-specific training information,IL_NONE,IL,NONE,False
