policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction,diagnostic_status
Behaviour cloning,0,1409200687,1,0.0317482479228831,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,2,0.031142835627638,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,3,0.0305052483049133,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,4,0.0298330807965613,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,5,0.0291256240906703,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,6,0.028384622044143,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,7,0.0276149531405272,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,8,0.0268249661118841,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,9,0.0260261687778488,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,10,0.0252321085042456,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,11,0.0244566023987207,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
Behaviour cloning,0,1409200687,12,0.0237118185817409,,0.0,0.0,projected_action_mse_on_formal_mpc_teacher,,,,,,,,,,,,,,,,,,RECORDED
