policy,path_id,training_seed,right_censored,clearance_weeks_observed,restricted_clearance_time_contribution,ending_outstanding_mass,terminal_correction,decision_clearance_terminal_residual,exit_channel_residual,clearance_observation_valid,restricted_clearance_time_residual,terminal_once_valid,status
Passive,test_000_4ae657b9eeec,,False,78,78,6.496137428442157e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_000_4ae657b9eeec,,False,79,79,5.17536209792126e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_000_4ae657b9eeec,,False,79,79,5.186350676531734e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_000_4ae657b9eeec,1409200687.0,False,79,79,5.28368937536434e-07,0.0,2.9103830456733704e-11,9.094947017729282e-13,True,0,True,PASS
Behaviour cloning,test_000_4ae657b9eeec,3018804584.0,False,79,79,5.304593577185425e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_000_4ae657b9eeec,959653586.0,False,79,79,5.2963677794831e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
PPO,test_000_4ae657b9eeec,1694234878.0,False,79,79,5.000336175882177e-07,0.0,2.9103830456733704e-11,9.094947017729282e-13,True,0,True,PASS
PPO,test_000_4ae657b9eeec,1635820214.0,False,79,79,5.310887876737099e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_000_4ae657b9eeec,456241246.0,False,79,79,5.181974069682212e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_000_4ae657b9eeec,3760190062.0,False,78,78,6.495918788158957e-07,0.0,5.820766091346741e-11,0.0,True,0,True,PASS
Vanilla SAC,test_000_4ae657b9eeec,3890281123.0,False,78,78,6.495960658957975e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_000_4ae657b9eeec,4226533458.0,False,78,78,6.49605770965543e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Constrained SAC,test_000_4ae657b9eeec,301721597.0,False,78,78,6.495802405584951e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_000_4ae657b9eeec,554911178.0,False,78,78,6.496101772148913e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_000_4ae657b9eeec,1600960620.0,False,78,78,6.495976740787751e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_000_4ae657b9eeec,301721597.0,False,79,79,5.288165242826415e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_000_4ae657b9eeec,554911178.0,False,79,79,5.308456485022752e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_000_4ae657b9eeec,1600960620.0,False,79,79,5.299848873916958e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Passive,test_001_dde9993de777,,False,78,78,8.051995118877808e-07,0.0,0.0,0.0,True,0,True,PASS
Reactive,test_001_dde9993de777,,False,79,79,6.679487571411239e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_001_dde9993de777,,False,79,79,6.748915612167449e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_001_dde9993de777,1409200687.0,False,79,79,6.869637034222734e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Behaviour cloning,test_001_dde9993de777,3018804584.0,False,79,79,6.890722687188257e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_001_dde9993de777,959653586.0,False,79,79,6.881081169839168e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_001_dde9993de777,1694234878.0,False,79,79,6.362897208729754e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_001_dde9993de777,1635820214.0,False,79,79,6.850156817659662e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
PPO,test_001_dde9993de777,456241246.0,False,79,79,6.642838217253612e-07,0.0,0.0,0.0,True,0,True,PASS
Vanilla SAC,test_001_dde9993de777,3760190062.0,False,78,78,8.051417656772429e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Vanilla SAC,test_001_dde9993de777,3890281123.0,False,78,78,8.051661530291031e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Vanilla SAC,test_001_dde9993de777,4226533458.0,False,78,78,8.051752944500115e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_001_dde9993de777,301721597.0,False,78,78,8.052262039275921e-07,0.0,0.0,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_001_dde9993de777,554911178.0,False,78,78,8.052311736375211e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_001_dde9993de777,1600960620.0,False,78,78,8.052308102507915e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_001_dde9993de777,301721597.0,False,79,79,6.87618760116584e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_001_dde9993de777,554911178.0,False,79,79,6.896385256698399e-07,0.0,1.4551915228366852e-11,9.094947017729282e-13,True,0,True,PASS
Model-guided constrained SAC,test_001_dde9993de777,1600960620.0,False,79,79,6.886431396184203e-07,0.0,0.0,0.0,True,0,True,PASS
Passive,test_002_f01217ab0e79,,False,78,78,5.684522882676763e-07,0.0,0.0,0.0,True,0,True,PASS
Reactive,test_002_f01217ab0e79,,False,79,79,4.447167000188082e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_002_f01217ab0e79,,False,79,79,4.449434999506225e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_002_f01217ab0e79,1409200687.0,False,79,79,4.538367461611021e-07,0.0,0.0,0.0,True,0,True,PASS
Behaviour cloning,test_002_f01217ab0e79,3018804584.0,False,79,79,4.558051561744035e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_002_f01217ab0e79,959653586.0,False,79,79,4.549995132535658e-07,0.0,4.3655745685100555e-11,0.0,True,0,True,PASS
PPO,test_002_f01217ab0e79,1694234878.0,False,79,79,4.3144861674032805e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
PPO,test_002_f01217ab0e79,1635820214.0,False,79,79,4.562882447547742e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
PPO,test_002_f01217ab0e79,456241246.0,False,79,79,4.461113972796287e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_002_f01217ab0e79,3760190062.0,False,78,78,5.684126310225692e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_002_f01217ab0e79,3890281123.0,False,78,78,5.684223192924284e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Vanilla SAC,test_002_f01217ab0e79,4226533458.0,False,78,78,5.684284791426465e-07,0.0,0.0,0.0,True,0,True,PASS
Constrained SAC,test_002_f01217ab0e79,301721597.0,False,78,78,5.684160928312132e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_002_f01217ab0e79,554911178.0,False,78,78,5.684452742976961e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Constrained SAC,test_002_f01217ab0e79,1600960620.0,False,78,78,5.684343376151277e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Model-guided constrained SAC,test_002_f01217ab0e79,301721597.0,False,79,79,4.5423669587358325e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_002_f01217ab0e79,554911178.0,False,79,79,4.561519358323487e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_002_f01217ab0e79,1600960620.0,False,79,79,4.5530914079685013e-07,0.0,0.0,0.0,True,0,True,PASS
Passive,test_003_eb3106001035,,False,78,78,7.280185960729902e-07,0.0,2.9103830456733704e-11,3.637978807091713e-12,True,0,True,PASS
Reactive,test_003_eb3106001035,,False,79,79,5.315565639507003e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Projected stochastic MPC,test_003_eb3106001035,,False,79,79,5.324299226075203e-07,0.0,2.9103830456733704e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_003_eb3106001035,1409200687.0,False,79,79,5.411307091608955e-07,0.0,1.4551915228366852e-11,4.547473508864641e-13,True,0,True,PASS
Behaviour cloning,test_003_eb3106001035,3018804584.0,False,79,79,5.431632972521807e-07,0.0,1.4551915228366852e-11,0.0,True,0,True,PASS
Behaviour cloning,test_003_eb3106001035,959653586.0,False,79,79,5.424381993416741e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
PPO,test_003_eb3106001035,1694234878.0,False,79,79,5.143006820391033e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_003_eb3106001035,1635820214.0,False,79,79,5.424767456446977e-07,0.0,0.0,0.0,True,0,True,PASS
PPO,test_003_eb3106001035,456241246.0,False,79,79,5.305659827515379e-07,0.0,0.0,9.094947017729282e-13,True,0,True,PASS
Vanilla SAC,test_003_eb3106001035,3760190062.0,False,78,78,7.279839869876357e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_003_eb3106001035,3890281123.0,False,78,78,7.279907801797823e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Vanilla SAC,test_003_eb3106001035,4226533458.0,False,78,78,7.280064601718759e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_003_eb3106001035,301721597.0,False,78,78,7.279715887748608e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_003_eb3106001035,554911178.0,False,78,78,7.280127599228209e-07,0.0,5.820766091346741e-11,1.8189894035458565e-12,True,0,True,PASS
Constrained SAC,test_003_eb3106001035,1600960620.0,False,78,78,7.279915252423267e-07,0.0,2.9103830456733704e-11,0.0,True,0,True,PASS
Model-guided constrained SAC,test_003_eb3106001035,301721597.0,False,79,79,5.41558093316667e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_003_eb3106001035,554911178.0,False,79,79,5.435317656415753e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Model-guided constrained SAC,test_003_eb3106001035,1600960620.0,False,79,79,5.427757074240041e-07,0.0,0.0,4.547473508864641e-13,True,0,True,PASS
Passive,test_004_55a330aff5c4,,False,78,78,6.524740824822686e-07,0.0,2.9103830456733704e-11,1.8189894035458565e-12,True,0,True,PASS
Reactive,test_004_55a330aff5c4,,False,79,79,4.91024217315202e-07,0.0,0.0,0.0,True,0,True,PASS
Projected stochastic MPC,test_004_55a330aff5c4,,False,79,79,4.929290314100274e-07,0.0,0.0,0.0,True,0,True,PASS
