policy,path_id,training_seed,total_operational_objective,loss_queue,loss_waiting,loss_exit,loss_overflow,loss_route_resource,loss_action,terminal_correction,recalculated_component_sum,absolute_reconciliation_error,relative_reconciliation_error,route_resource_cost_present,tolerance,status
Passive,test_000_4ae657b9eeec,,294035.1126139648,6972.769936723648,271882.57539146213,11624.829647350156,2718.4647273642336,836.4729110646418,0.0,0.0,294035.1126139648,0.0,0.0,True,1e-06,PASS
Reactive,test_000_4ae657b9eeec,,101780.38542831028,8259.405177009156,85117.18422024854,3414.081473771674,3018.249836886665,1343.9694673116978,627.4952530825634,0.0,101780.38542831031,2.9103830456733704e-11,2.859473397969512e-16,True,1e-06,PASS
Projected stochastic MPC,test_000_4ae657b9eeec,,111388.8697191175,9706.647402296232,92306.87429789096,3723.828363891008,4199.670954378443,1451.8487006609323,0.0,0.0,111388.86971911757,7.275957614183426e-11,6.53203289747958e-16,True,1e-06,PASS
Behaviour cloning,test_000_4ae657b9eeec,1409200687.0,116255.33377527165,8921.504017517771,97291.4629853383,3885.890935271514,3575.358964724789,1378.0491395072147,1203.067732911996,0.0,116255.33377527157,7.275957614183426e-11,6.258601113518178e-16,True,1e-06,PASS
Behaviour cloning,test_000_4ae657b9eeec,3018804584.0,119311.82446528696,8904.154576234585,100297.55009393234,3998.725019822576,3566.713419492832,1373.7075091988793,1170.973846605766,0.0,119311.82446528698,1.4551915228366852e-11,1.2196540697942845e-16,True,1e-06,PASS
Behaviour cloning,test_000_4ae657b9eeec,959653586.0,118068.51186713204,8893.996670725586,99149.81193182488,3955.3142407490577,3560.421258035793,1370.8210235028828,1138.146742293879,0.0,118068.51186713207,2.9103830456733704e-11,2.4649951114388224e-16,True,1e-06,PASS
PPO,test_000_4ae657b9eeec,1694234878.0,198687.8112661263,7869.604757707447,178406.95308343225,7182.742081112188,3038.706868312666,1105.8210976397538,1083.9833779220453,0.0,198687.81126612637,8.731149137020111e-11,4.3944060188601313e-16,True,1e-06,PASS
PPO,test_000_4ae657b9eeec,1635820214.0,152768.42158548126,8488.837095051329,133259.86274690693,5306.059588258463,3354.8262436595783,1256.8814216710575,1101.9544899339296,0.0,152768.4215854813,2.9103830456733704e-11,1.905094662541153e-16,True,1e-06,PASS
PPO,test_000_4ae657b9eeec,456241246.0,181089.5571836856,8199.814973990693,161106.24356201987,6457.45805825331,3223.495627508471,1175.4969329474438,927.0480289657544,0.0,181089.55718368554,5.820766091346741e-11,3.21430245999361e-16,True,1e-06,PASS
Vanilla SAC,test_000_4ae657b9eeec,3760190062.0,293981.9629101695,6973.439360765914,271827.85899764084,11622.15011259352,2718.660225319859,836.4827926124655,3.371421236986336,0.0,293981.9629101696,1.1641532182693481e-10,3.9599477693979213e-16,True,1e-06,PASS
