experiment,audit_id,policy,path_id,training_seed,maximum_difference,tolerance,status,detail
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_000_4ae657b9eeec,,9.094947017729282e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_001_dde9993de777,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_002_f01217ab0e79,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_003_eb3106001035,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_004_55a330aff5c4,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_005_981c73a17708,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_006_daba4b1e9814,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_007_925513ee8ec6,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_008_fabe46a0ea00,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_009_c8ef87e47101,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_010_613ab99db82c,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_011_8a2e74b38d5d,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_012_b6bdc05b20a7,,1.8189894035458565e-12,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_013_040653995d85,,2.2737367544323206e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_014_f00647451070,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_015_643a837775f9,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_016_45a90ccef8bd,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_017_ebd333a3cdba,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_018_9466cee538c9,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_019_9d2b7462a57a,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_020_701c8d28bc45,,4.547473508864641e-13,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_021_69299bc5d0bf,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_022_1b3e72c80b5f,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
5.2.2,raw_replications_to_path_seed_aggregation,Behaviour cloning,test_023_90a8af416c5a,,1.4551915228366852e-11,1e-06,PASS,Three learning seeds are averaged within physical path before comparison with the accepted path-level file.
