algorithm,problem_size,calls,convergence_rate,failure_rate,runtime_p50_seconds,runtime_p90_seconds,runtime_p95_seconds,runtime_max_seconds,peak_memory_mb,hardware,evidence_status,interpretation
Behaviour cloning,34-action production decision,5544.0,,0.0,0.0015177499735727499,0.0018391799181699598,0.002151514869183269,0.0211781999096274,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
Constrained SAC,34-action production decision,5544.0,,0.0,0.0015126001089811,0.0018711199983953999,0.0021314900484866546,0.0300991998519748,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
Model-guided constrained SAC,34-action production decision,5544.0,,0.0,3.125932299881242,4.6177114000078285,5.043130540056154,7.190831599989906,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
PPO,34-action production decision,5544.0,,0.0,0.00151654996443535,0.00184736009687182,0.0021807349752634097,0.0161578999832272,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
Passive,34-action production decision,1848.0,,0.0,2.4700071662664413e-05,3.269989974796772e-05,3.576499875634907e-05,0.0007069001439958,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
Projected stochastic MPC,34-action production decision,1848.0,,0.0,10.406169999972917,15.336300590028985,16.677408125030333,23.347187699982896,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
Reactive,34-action production decision,1848.0,,0.0,0.00018895009998224998,0.00021742999088013,0.00025726493913675496,0.0115736001171171,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
Vanilla SAC,34-action production decision,5544.0,,0.0,0.0015130001120269,0.0018454999662935,0.002157559932675124,0.0123423999175429,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",RECORDED,computational profile; no external real-time deadline registered
Conventional MSA,controlled production lower-level problems,3.0,0.0,1.0,0.046358299907296896,0.04672069987282157,0.046765999868512154,0.04681129986420274,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",MEASURED_5.2.5,same fixed-point problem and tolerance
RC-MSA,controlled production lower-level problems,3.0,1.0,0.0,0.0021426999010145664,0.0026563799940049647,0.0027205900056287645,0.0027848000172525644,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",MEASURED_5.2.5,same fixed-point problem and tolerance
Projected stochastic MPC controlled audit,7 candidates x 3 scenarios x 8 weeks,1.0,1.0,0.0,0.4266542000696063,0.4266542000696063,0.4266542000696063,0.4266542000696063,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",MEASURED_5.2.5,computational profile; no real-time deployability claim
Learning training wall time,frozen 5.2.2 training,,,,,,,,,"AMD64 Family 25 Model 33 Stepping 0, AuthenticAMD",NOT_TESTED,training wall time and peak memory were not persisted by 5.2.2; no value is fabricated
