parameter,objective_persisted,analytic_gradient_persisted,finite_difference_gradient_persisted,relative_error_persisted,tolerance_persisted,passed_persisted,objective_recalculated,analytic_gradient_recalculated,finite_difference_gradient_recalculated,relative_error_recalculated,tolerance_recalculated,passed_recalculated,recalculation_relative_error,status
"mean_weight[0,0]",0.3388845688064331,-0.0133772870385618,-0.0133772870324328,6.129024371359648e-12,0.0001,True,0.3388845688064331,-0.013377287038561867,-0.013377287037016412,1.5454547364068816e-12,0.0001,True,4.583613003039666e-12,PASS
"mean_weight[0,5]",0.3388845688064331,-0.0033443217596404,-0.0033443217558164,3.8240391755928186e-12,0.0001,True,0.3388845688064331,-0.0033443217596404668,-0.0033443217649835604,5.343093589099679e-12,0.0001,True,9.167160520268114e-12,PASS
"mean_weight[1,0]",0.3388845688064331,0.0041467680204326,0.0041467680166824,3.750252712542146e-12,0.0001,True,0.3388845688064331,0.004146768020432676,0.00414676802126599,8.333143203254068e-13,0.0001,True,4.583590451634478e-12,PASS
"mean_weight[1,5]",0.3388845688064331,0.0010366920051081,0.001036691999587,5.521129126800917e-12,0.0001,True,0.3388845688064331,0.001036692005108169,0.0010366920087541722,3.646003204210713e-12,0.0001,True,9.167172229651577e-12,PASS
"mean_weight[2,0]",0.3388845688064331,-0.0156617475510711,-0.0156617475450886,5.982488809896935e-12,0.0001,True,0.3388845688064331,-0.01566174755107114,-0.015661747549672218,1.3989226443911207e-12,0.0001,True,4.583618207210094e-12,PASS
"mean_weight[2,5]",0.3388845688064331,-0.0039154368877677,-0.0039154368942934,6.525618587160942e-12,0.0001,True,0.3388845688064331,-0.003915436887767785,-0.003915436885126271,2.6415137438506875e-12,0.0001,True,9.167128861564677e-12,PASS
"mean_weight[3,0]",0.3388845688064331,0.0087760670505821,0.0087760670516248,1.042730138345327e-12,0.0001,True,0.3388845688064331,0.008776067050582132,0.008776067047041295,3.5408377618839637e-12,0.0001,True,4.5835054501841554e-12,PASS
"mean_weight[3,5]",0.3388845688064331,0.0021940167626455,0.0021940167663438,3.698357158715693e-12,0.0001,True,0.3388845688064331,0.002194016762645533,0.0021940167617603237,8.852094404709909e-13,0.0001,True,4.583476393565933e-12,PASS
"mean_weight[4,0]",0.3388845688064331,-0.011925356849231,-0.0119253568515884,2.3574267538073457e-12,0.0001,True,0.3388845688064331,-0.011925356849231012,-0.011925356837837742,1.1393270007986622e-11,0.0001,True,1.3750658597877496e-11,PASS
"mean_weight[4,5]",0.3388845688064331,-0.0029813392123077,-0.0029813392071676,5.140100584749563e-12,0.0001,True,0.3388845688064331,-0.002981339212307753,-0.0029813392071676523,5.140100584749563e-12,0.0001,True,5.2909066017292616e-17,PASS
log_standard_deviation[0],0.3388845688064331,-0.0511768713782743,-0.0511768713790576,7.833039772364714e-13,0.0001,True,0.3388845688064331,-0.05117687137827439,-0.05117687136989056,8.383828353775158e-12,0.0001,True,9.167035186496975e-12,PASS
log_standard_deviation[1],0.3388845688064331,-0.0504534921291168,-0.0504534921372316,8.114821314908482e-12,0.0001,True,0.3388845688064331,-0.050453492129116824,-0.050453492132648076,3.531251679955716e-12,0.0001,True,4.583521062695439e-12,PASS
log_standard_deviation[2],0.3388845688064331,-0.0507567484655656,-0.050756748468513,2.9474062079870578e-12,0.0001,True,0.3388845688064331,-0.05075674846556563,-0.05075674846392947,1.6361634269657088e-12,0.0001,True,4.583528001589343e-12,PASS
log_standard_deviation[3],0.3388845688064331,-0.0520424708823592,-0.0520424708842256,1.866395926697351e-12,0.0001,True,0.3388845688064331,-0.05204247088235927,-0.052042470888809235,6.449965561650117e-12,0.0001,True,4.583632084997902e-12,PASS
log_standard_deviation[4],0.3388845688064331,-0.046936179882906,-0.0469361798781188,4.787191476562924e-12,0.0001,True,0.3388845688064331,-0.04693617988290605,-0.04693617987811886,4.787191476562924e-12,0.0001,True,5.551115123125783e-17,PASS
log_standard_deviation[5],0.3388845688064331,-0.0504330016712366,-0.0504330016671811,4.055575320016658e-12,0.0001,True,0.3388845688064331,-0.050433001671236675,-0.05043300166259753,8.639144954969424e-12,0.0001,True,4.5835696349527666e-12,PASS
log_standard_deviation[6],0.3388845688064331,-0.0540447945218059,-0.0540447945200892,1.7166407184632249e-12,0.0001,True,0.3388845688064331,-0.0540447945218059,-0.05404479452925639,7.450491612548404e-12,0.0001,True,9.16718784216286e-12,PASS
log_standard_deviation[7],0.3388845688064331,-0.0504852578078061,-0.0504852578039819,3.824204841684775e-12,0.0001,True,0.3388845688064331,-0.05048525780780616,-0.050485257803981956,3.824204841684775e-12,0.0001,True,6.245004513516506e-17,PASS
log_standard_deviation[8],0.3388845688064331,-0.0506121830290351,-0.0506121830373379,8.302823706340945e-12,0.0001,True,0.3388845688064331,-0.05061218302903511,-0.050612183028170804,8.643086246706844e-13,0.0001,True,9.16709763654211e-12,PASS
log_standard_deviation[9],0.3388845688064331,-0.0489592657468557,-0.0489592657482493,1.3935588794034004e-12,0.0001,True,0.3388845688064331,-0.048959265746855773,-0.04895926574824933,1.3935588794034004e-12,0.0001,True,7.632783294297951e-17,PASS
log_standard_deviation[10],0.3388845688064331,-0.0498276596393198,-0.0498276596428111,3.491290589963114e-12,0.0001,True,0.3388845688064331,-0.04982765963931981,-0.0498276596428111,3.491290589963114e-12,0.0001,True,6.938893903907228e-18,PASS
log_standard_deviation[11],0.3388845688064331,-0.0504484856482234,-0.050448485650095,1.8716417304887045e-12,0.0001,True,0.3388845688064331,-0.050448485648223414,-0.050448485650095055,1.8716417304887045e-12,0.0001,True,5.551115123125783e-17,PASS
log_standard_deviation[12],0.3388845688064331,-0.0505688000241215,-0.0505688000290143,4.89285001403772e-12,0.0001,True,0.3388845688064331,-0.05056880002412153,-0.05056880002901438,4.8928500140377196e-12,0.0001,True,7.632783294297951e-17,PASS
log_standard_deviation[13],0.3388845688064331,-0.0499440593487586,-0.0499440593492007,4.421671362386803e-13,0.0001,True,0.3388845688064331,-0.04994405934875861,-0.04994405934920078,4.421671362386803e-13,0.0001,True,7.632783294297951e-17,PASS
log_standard_deviation[14],0.3388845688064331,-0.0539750931557547,-0.0539750931382852,1.7469470314779297e-11,0.0001,True,0.3388845688064331,-0.053975093155754744,-0.053975093147452406,8.302337983767671e-12,0.0001,True,9.167208658844572e-12,PASS
log_standard_deviation[15],0.3388845688064331,-0.0497098191194371,-0.0497098191199261,4.890601812412855e-13,0.0001,True,0.3388845688064331,-0.0497098191194371,-0.04970981911075903,8.678072149770344e-12,0.0001,True,9.167069880966494e-12,PASS
log_standard_deviation[16],0.3388845688064331,-0.0500958126171746,-0.0500958126324447,1.527009074742125e-11,0.0001,True,0.3388845688064331,-0.05009581261717462,-0.05009581261869401,1.519388781456854e-12,0.0001,True,1.3750688088176588e-11,PASS
log_standard_deviation[17],0.3388845688064331,-0.0514179518614131,-0.051417951861084,3.290909211806081e-13,0.0001,True,0.3388845688064331,-0.05141795186141313,-0.05141795186108404,3.290909211806081e-13,0.0001,True,4.163336342344337e-17,PASS
log_standard_deviation[18],0.3388845688064331,-0.0477636025113817,-0.0477636025176546,6.272878050328501e-12,0.0001,True,0.3388845688064331,-0.047763602511381786,-0.047763602517654664,6.272878050328501e-12,0.0001,True,8.326672684688674e-17,PASS
log_standard_deviation[19],0.3388845688064331,-0.0464531615315263,-0.0464531615351134,3.5870612036248417e-12,0.0001,True,0.3388845688064331,-0.04645316153152636,-0.04645316153511342,3.5870612036248417e-12,0.0001,True,5.551115123125783e-17,PASS
log_standard_deviation[20],0.3388845688064331,-0.05,-0.0500000000085113,8.511365223728973e-12,0.0001,True,0.3388845688064331,-0.05,-0.049999999999344236,6.557671072826565e-13,0.0001,True,9.16706294207259e-12,PASS
log_standard_deviation[21],0.3388845688064331,-0.05,-0.0499999999993442,6.557671072826565e-13,0.0001,True,0.3388845688064331,-0.05,-0.0499999999901771,9.822899438294286e-12,0.0001,True,9.16709763654211e-12,PASS
log_standard_deviation[22],0.3388845688064331,-0.05,-0.0499999999993442,6.557671072826565e-13,0.0001,True,0.3388845688064331,-0.05,-0.0499999999901771,9.822899438294286e-12,0.0001,True,9.16709763654211e-12,PASS
