contract_id,condition,maximum_observed_residual,tolerance,status,failure_reason
M13_SAC_LATENT_GAUSSIAN,True,0.0,0.0,PASS,
M14_SAC_ACTOR_MEAN_UPDATE,True,0.0,0.0,PASS,
M15_SAC_LOG_STD_UPDATE,True,0.0,0.0,PASS,
M16_SAC_ENTROPY_ACTOR_TERM,True,0.0,1e-10,PASS,
M17_SAC_ENTROPY_TEMPERATURE,True,0.0,1e-10,PASS,
M18_SAC_TWIN_REWARD_CRITICS,True,3.344259347770392e-16,1e-10,PASS,
M19_SAC_CONSTRAINT_CRITIC,True,0.0,1e-10,PASS,
M20_SAC_CONSTRAINT_DUAL,True,1.699107818165632e-16,1e-10,PASS,
M21_SAC_PROJECTION_GRADIENT,True,6.354916592950357e-13,0.0001,PASS,
M22_SAC_FINITE_DIFFERENCE,True,1.3750688088176588e-11,0.0001,PASS,
M23_VALIDATION_CHECKPOINT,True,0.0,0.0,PASS,
M24_CHECKPOINT_REPLAY,True,0.0,0.0,PASS,
