policy,seed_index,training_seed,episode,field,persisted_production_value,independent_replay_value,relative_error,tolerance,status,production_total_loss,production_mean_constraint
Vanilla SAC,0,3760190062,1,training_loss,18722.35666909884,18722.356669098837,1.9431201271238355e-16,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,critic_loss_q1,4283859527.8863287,4283859527.8863287,0.0,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,critic_loss_q2,4283859462.773196,4283859462.773196,0.0,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,constraint_critic_loss,0.0,0.0,0.0,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,latent_policy_entropy,-3.400709171603283,-3.400709171603283,0.0,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,mean_log_standard_deviation,-1.494067362257981,-1.494067362257981,0.0,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,entropy_temperature,0.0302955427013683,0.03029554270136838,8.326672684688674e-17,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,entropy_temperature_loss,1.1929104983316872,1.1929104983316872,0.0,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,constraint_dual,0.0,0.0,0.0,1e-10,PASS,107239.39187454536,19.7644964820677
Vanilla SAC,0,3760190062,1,mean_projection_distance,0.1776183419652524,0.17761834196525247,8.326672684688674e-17,1e-10,PASS,107239.39187454536,19.7644964820677
Constrained SAC,0,301721597,1,training_loss,16317.419324179247,16317.419324179253,3.344259347770392e-16,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,critic_loss_q1,3550451517.0318823,3550451517.0318823,0.0,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,critic_loss_q2,3550451635.5381646,3550451635.5381646,0.0,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,constraint_critic_loss,424.2604007408473,424.2604007408473,0.0,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,latent_policy_entropy,-2.062899951924455,-2.062899951924455,0.0,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,mean_log_standard_deviation,-1.4818802188777167,-1.4818802188777167,0.0,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,entropy_temperature,0.029777158617257,0.029777158617257084,8.326672684688674e-17,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,entropy_temperature_loss,1.2340033218422222,1.2340033218422222,0.0,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,constraint_dual,41.81857844237376,41.818578442373756,1.699107818165632e-16,1e-10,PASS,98250.17155155199,19.914465924939883
Constrained SAC,0,301721597,1,mean_projection_distance,0.1511248569657861,0.15112485696578618,8.326672684688674e-17,1e-10,PASS,98250.17155155199,19.914465924939883
