policy,seed_index,training_seed,episode,training_loss,mean_formal_reward,mean_constraint_violation,constraint_dual,update_method,critic_loss_q1,critic_loss_q2,constraint_critic_loss,latent_policy_entropy,mean_log_standard_deviation,entropy_temperature,entropy_temperature_loss,target_entropy,period_update_count,reward_critic_q1_update_count,reward_critic_q2_update_count,constraint_critic_update_count,actor_update_count,entropy_temperature_update_count,constraint_dual_update_count,mean_projection_distance,projected_action_fraction,all_required_training_fields_finite,latent_gaussian_method_recorded,twin_reward_critic_updates_complete,actor_updates_complete,temperature_updates_complete,constraint_updates_complete,trace_status
Vanilla SAC,0,3760190062,1,18722.35666909884,-107239.39187454536,19.7644964820677,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,4283859527.8863287,4283859462.773196,0.0,-3.400709171603283,-1.494067362257981,0.0302955427013683,1.1929104983316872,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1776183419652524,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,2,33744.430836050415,-133971.4803367305,5.322207038689731,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,5720253243.832692,5720253206.8638735,0.0,-2.8892925154553586,-1.4858266773132327,0.0216537851922281,0.799572193556143,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1638171440061103,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,3,91772.18718219844,-275084.5626714995,13.128942168043224,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,18657197669.847195,18657197584.95828,0.0,-2.4838570063674417,-1.4807166265250398,0.0168069107955284,0.6033098003176157,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1901140305485285,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,4,145995.3607981233,-270549.94044680905,20.145405064134927,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,7038879132.42838,7038879121.645197,0.0,-1.1159086568840637,-1.475770413634733,0.0136275344752344,0.4992805212393141,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1686080097829407,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,5,105454.63274795956,-134681.04841456225,5.320210770080119,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,248340437.87922743,248340441.1826163,0.0,-1.9354545007515656,-1.4718650605831205,0.0115071222817429,0.4026813506426004,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1517243242541475,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,6,155633.59060938575,-275153.4317410345,13.12649835878432,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,6731419819.637754,6731419805.09661,0.0,-1.798879114302936,-1.4686073982127044,0.0099527440383249,0.3455187538471526,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1683798052734633,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,7,195461.18142618425,-270578.6415382286,20.142192930599915,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,3712414477.342058,3712414492.280216,0.0,-0.2617207958133072,-1.4654108551793366,0.0087191242717184,0.3150702156504096,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.173262661354247,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,8,134411.59169490097,-134709.02287086952,5.3208187956816895,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,963494945.9442226,963494951.3705196,0.0,-1.9163526062756877,-1.4622731441125605,0.0078001881879673,0.265168917274997,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1521731303938616,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,0,3760190062,9,179037.23869248692,-275164.39670944307,13.126131043719768,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,4082843300.365717,4082843297.377619,0.0,-2.474753667760924,-1.459896129976405,0.0070684305095146,0.2345461852359683,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1864047473806204,1.0,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,1,16317.419324179247,-98250.171551552,19.914465924939883,41.81857844237376,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,3550451517.0318823,3550451635.5381646,424.2604007408473,-2.062899951924455,-1.4818802188777167,0.029777158617257,1.2340033218422222,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.1511248569657861,0.5714285714285714,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,2,33031.29381540693,-133993.473990706,5.324162890466424,52.99722051235324,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5850959613.999736,5850959615.478415,16.921278190217464,-3.777005392016195,-1.4772025478592408,0.0215630402567958,0.7684782390216286,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0476969444043639,0.5238095238095238,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,3,93614.41439776102,-275157.4500297801,13.13014582568139,80.56842674628413,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,18551691830.04449,18551691781.45462,130.05429729301267,-2.357557066602617,-1.4712335303661297,0.0167371876968432,0.6032088045505896,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0259450118166094,0.4761904761904761,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,4,157894.7275124749,-270578.6389727008,20.14364606742737,122.8679834878816,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,6768926435.1970415,6768926447.4979725,150.30547526253062,-1.3787088360752686,-1.465743558118212,0.0136023587462845,0.4937853262470706,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0133136058957843,0.3809523809523809,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,5,108307.75330538378,-134677.1004562127,5.321559508695137,134.04115845614132,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,238337295.5944196,238337296.434246,4.279678274523258,-1.5975538848838728,-1.4622063619661163,0.0114702481436982,0.4059205949362947,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0210749604586047,0.6190476190476191,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,6,158077.14522768327,-275175.4180323962,13.127206470918216,161.6061920450695,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,7235641230.428459,7235641207.270982,55.08464406706304,-1.9214466402174049,-1.4580689471361092,0.0099302801436154,0.3432568465558946,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0209842468026152,0.4761904761904761,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,7,212498.2831338496,-270587.8132860828,20.142811442533823,203.90399607439048,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5284645380.3689785,5284645377.024916,69.27306601401277,-1.6310062846014228,-1.454399768314932,0.0087459495719046,0.3023761961338052,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0101885292678558,0.3809523809523809,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,8,138225.51048376047,-134711.94449721058,5.321095412192166,215.076196439994,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,1123073205.6485295,1123073205.168355,3.6275895021977953,-1.3348966037934058,-1.451675896935525,0.0078066609566851,0.2705079739284769,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.016938008051926,0.9523809523809524,True,True,True,True,True,True,PASS
Constrained SAC,0,301721597,9,181102.53441266745,-275179.79140231514,13.125984410836724,242.6386637027511,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4885012630.457515,4885012615.106737,30.157285076979445,-1.0476025023947353,-1.4490220650519274,0.0070437391239561,0.2448528174828499,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0178054957271006,0.4761904761904761,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,1,19303.822047585105,-110595.00025784712,20.054869399225726,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,4497759260.028068,4497759211.101839,0.0,-2.615158129020648,-1.4904073224280985,0.029988956145527,1.2171281429151115,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1503874650894988,0.6190476190476191,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,2,35665.16576243671,-134207.05887154525,5.320096407624881,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,5483688217.111422,5483688254.97745,0.0,-4.150430723485712,-1.4874125516332863,0.0217486350159601,0.7649480660127491,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0679402254279021,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,3,102899.55379946236,-275116.0367128177,13.12659579097372,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,16382750060.301624,16382750116.844498,0.0,-1.7780774738158174,-1.481640211195847,0.0167789214603119,0.6176847000340755,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0722681811959792,0.7142857142857143,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,4,159888.56625482335,-270569.6673488325,20.143142827596098,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,6330721644.817788,6330721682.294896,0.0,-1.826674689589377,-1.4765648287446678,0.0136652054287409,0.4887394552202253,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0343378041060499,0.5238095238095238,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,5,107456.53264185115,-134699.4826855005,5.321031879476367,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,378244472.2833867,378244473.6246606,0.0,-3.089187288037021,-1.471931239019497,0.011599219284706,0.3902739515877361,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0537633404453281,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,6,167874.93923300106,-275161.49965832365,13.125946835777484,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,6465443712.355639,6465443740.300596,0.0,-2.16176102468331,-1.4689085350839195,0.0100369272836342,0.3444446972144484,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0570269642686897,0.7142857142857143,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,7,211174.7429050349,-270582.4473180073,20.142217207528624,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,5033778059.930006,5033778116.591462,0.0,-1.636057037953328,-1.4655910330228368,0.0088286880331839,0.3053918976462227,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0276960209889115,0.4285714285714285,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,8,134945.03957716026,-134720.27101691862,5.320846682194256,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,1159980655.8598585,1159980654.5404255,0.0,0.0345134514880799,-1.4630139287031785,0.0078368245483217,0.2837445303582435,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0484527887402085,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,1,3890281123,9,189478.01975623955,-275167.7881417669,13.125905081246165,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,4590008182.983632,4590008207.68899,0.0,-1.2008200936936002,-1.460783683958186,0.0070715001896397,0.2446692188498995,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0497649573787846,0.7142857142857143,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,1,19490.74127898019,-99759.7783224151,20.02309516050065,42.04669983705136,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,3449218334.0305104,3449218243.076788,418.52070610104994,-1.86206874337153,-1.503105245460553,0.0296986403348548,1.2402898586634374,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.1571290227074804,0.4761904761904761,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,2,35766.92378945654,-134105.03296465354,5.307473517487765,53.19029422377565,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5455552571.9798975,5455552503.969987,14.846587123970089,-2.6011794711307368,-1.4979206858745453,0.0212914133475521,0.7923747680367974,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0735859906153072,1.0,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,3,96311.380100551,-275131.5963528893,13.123505377854476,80.74755551727003,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,17658079168.548653,17658079052.9115,132.3734616309493,-2.417638228645469,-1.49239322409368,0.0165803381180352,0.5954436180677682,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0651022628380548,0.6190476190476191,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,4,153196.73013889007,-270569.1626212174,20.1429103746814,123.04556730410094,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,6961635693.918565,6961635670.661326,160.18055925427515,-4.373373595415969,-1.4868840327109072,0.0137339840301967,0.4484385600501939,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0301050392615023,0.4285714285714285,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,5,115516.2417765819,-134685.9497757324,5.320099015399463,134.21567523643975,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,305458779.0576085,305458785.5316509,4.779387977193006,-0.5971999103871912,-1.4828515149450463,0.0115072515184245,0.4211808189035562,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0535895793972008,1.0,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,6,162705.11756418977,-275160.1230022167,13.1254978143456,161.77712064656544,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,6157352038.619667,6157352023.037318,60.406581449600935,-1.211952783144696,-1.4794165784066158,0.0099283533877504,0.3513875265159958,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0576902508202602,0.6190476190476191,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,7,204004.0837717208,-270584.92098373413,20.14171626646902,204.07262480615032,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4761791183.760353,4761791196.076759,80.44547726279698,-2.391509862529268,-1.476019962221417,0.0087690616931663,0.2956305528215137,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0273212455254053,0.4285714285714285,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,8,145555.14432463428,-134715.1587288575,5.320303221660289,215.2431615716369,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,1648637202.9274228,1648637211.290685,4.928679962303145,-0.3951183231357545,-1.4734952936614638,0.0078008318838323,0.2785700722886309,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0483083489548231,1.0,True,True,True,True,True,True,PASS
Constrained SAC,1,554911178,9,185839.21706743503,-275170.21653240005,13.125501603193962,242.80461493834417,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4003490304.606244,4003490302.7425857,35.53504611290962,-3.966199903065348,-1.4710721808102534,0.0071005434190244,0.2239501446972815,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0498544501291373,0.6666666666666666,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,1,17441.718070033014,-97227.02630963664,19.904365181401644,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,3410969809.781268,3410969938.79538,0.0,-3.3507651769784625,-1.495530797910399,0.0302744845559584,1.1945660512756962,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.1518523038790328,0.5714285714285714,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,2,32423.29395917036,-134059.67416214052,5.310657877179569,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,5916377293.999658,5916377418.988912,0.0,-1.2241363277963362,-1.492128261571973,0.0213155514092163,0.8354008201693837,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0782381628549798,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,3,92462.69125261526,-275078.76065011777,13.12433852438404,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,18376169473.359245,18376169646.717968,0.0,-3.756321128755991,-1.486212532990137,0.0167530317226205,0.5734706646737072,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0770188947439182,0.8095238095238095,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,4,143419.58600028348,-270556.32774622686,20.14512647699852,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,7168386617.31118,7168386637.246077,0.0,-3.489659383903284,-1.4803246243749637,0.0137806820256474,0.4650273381402381,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.036044037991465,0.4285714285714285,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,5,106047.00799193626,-134679.41488316268,5.319329827231686,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,177850057.99876234,177850061.8058352,0.0,-2.625651564492472,-1.476382344618365,0.0116555708744233,0.3987702520872946,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0580329789769828,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,6,158492.3929046347,-275148.9189439146,13.125816850739998,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,6211444134.962021,6211444181.283467,0.0,-1.727359809878895,-1.473408829756231,0.0100604746285009,0.3504045453156425,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0629023133134468,0.6190476190476191,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,7,193063.8807012144,-270576.3437953054,20.14288629136468,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,3580291652.893172,3580291641.8529706,0.0,-1.2440763577006824,-1.4702978859960163,0.0088339326427403,0.309557273713225,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0297290504518485,0.4285714285714285,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,8,134072.8247087752,-134709.97931179404,5.320287512992456,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,889983294.6620989,889983285.7092271,0.0,-1.3789113105331512,-1.467447038902481,0.0078777877639348,0.2727456298409739,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.051864699222453,1.0,True,True,True,True,True,True,PASS
Vanilla SAC,2,4226533458,9,182106.2170097272,-275162.71464918007,13.125532182078798,0.0,reparameterised_latent_gaussian_projected_twin_reward_critics_auto_entropy,3776346613.129063,3776346636.6240873,0.0,-1.6940901126306198,-1.4649431236101602,0.0071153466802864,0.2423646862236481,-34.0,21.0,21.0,21.0,0.0,21.0,21.0,0.0,0.0536693289639213,0.6190476190476191,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,1,19201.536630861952,-117504.52772728588,20.003073175212933,42.00465366794717,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5297258279.856457,5297258311.582669,432.8987666005884,-2.43039569429225,-1.5037733824752335,0.0299165266894503,1.2228855848642362,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.1601803482876656,0.4761904761904761,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,2,35066.326098397694,-134188.9622190986,5.312046800147376,53.15785194825664,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,5555160259.674579,5555160279.978233,16.03339080693206,-2.3528409236914967,-1.4983249515133417,0.0213551624508548,0.802660829435407,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0552012488200105,1.0,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,3,91332.50730011649,-275155.87249582366,13.127647516422204,80.72381173274324,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,18767658711.076317,18767658724.96645,140.3934536689388,-1.6649965649064766,-1.4936833891781605,0.0165306991622846,0.6097007236068844,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0478283491272298,0.7142857142857143,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,4,146865.78559359568,-270580.0377368174,20.143285656038536,123.02261161042416,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,6872966947.027329,6872966960.06023,169.5201506331145,-1.1425641066385237,-1.488056934526636,0.0134476085266902,0.4914712427993608,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0239305566105165,0.4285714285714285,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,5,108969.32735984267,-134696.66444541866,5.320626577549795,134.19382742327872,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,146320040.67533326,146320043.60954022,5.920548187530889,-3.0175802390838387,-1.483844512514703,0.0114382146315938,0.3853366081692592,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0400960167800245,1.0,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,6,154688.74376647017,-275172.9803236284,13.126709531063646,161.75781743851235,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,6691269030.328792,6691269039.701754,66.99049295146736,-2.174741210731798,-1.4802955774282551,0.0099168052308185,0.3398311762357713,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0393543017467827,0.7142857142857143,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,7,198214.01571228533,-270589.1126027924,20.141894409164045,204.05369569775684,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,3539657523.20828,3539657534.9276543,87.20481272259337,-4.033089157744349,-1.4771320438275704,0.0088136192754385,0.2807920143557401,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0206002696858601,0.5238095238095238,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,8,137735.52707374364,-134719.59579436097,5.320566804207102,215.2247859865917,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,989253884.1057836,989253886.1359318,6.088745851779548,-3.106907320583058,-1.4741306498442346,0.0079070168222302,0.2584466653679168,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.0341889992873228,1.0,True,True,True,True,True,True,PASS
Constrained SAC,2,1600960620,9,178301.48513254768,-275176.17441939097,13.12607872306284,242.78745130502364,reparameterised_latent_gaussian_projected_twin_reward_critics_constraint_critic_auto_entropy_dual,4163713227.161129,4163713235.799784,40.81602057238208,-1.0115261605671462,-1.4712342125812925,0.0071245261049236,0.2481127577251683,-34.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,0.037743407871339,0.6190476190476191,True,True,True,True,True,True,PASS
