policy,seed_index,training_seed,episode,period_offset,state_sha256,latent_sample_sha256,reward_critic_target,reward_critic_q1_before_update,reward_critic_q2_before_update,reward_critic_q1_squared_loss,reward_critic_q2_squared_loss,constraint_critic_target,constraint_critic_before_update,constraint_critic_squared_loss,preprojection_log_probability_recorded,preprojection_log_probability_recalculated,latent_entropy,entropy_temperature_before,entropy_actor_contribution,constraint_dual_before,q1_actor_value,q2_actor_value,constraint_actor_value,actor_loss_recorded,actor_loss_recalculated,actor_loss_relative_error,temperature_gradient_recorded,temperature_gradient_recalculated,temperature_gradient_relative_error,entropy_temperature_after,constraint_dual_after,projection_distance,projection_feasibility_residual,weight_gradient_norm,log_standard_deviation_gradient_norm
Vanilla SAC,0,3760190062,1,0,e9e7f4753113b72de8687b2525a4c6962f33b9932142184ca5ba11cdc4aa1831,a9ecfe0ad3ab1babe30e0f181a517e082a373ef4567d5f107fe45371802d0d4c,-73881.59365106306,0.00014315691769245517,4.859047643448439e-05,5458489901.574122,5458489887.600684,0.0,0.0,0.0,9.869396634077432,9.869396634077432,-9.869396634077432,0.05000000000000001,0.4934698317038717,0.0,-1473.851193178993,-1473.8512502366589,0.0,1474.3447200683627,1474.3447200683627,0.0,1.2065301682961287,1.2065301682961287,0.0,0.048807910594206,0.0,0.3770283928551626,0.0,65.64662465161219,4.284062710353148
Vanilla SAC,0,3760190062,1,1,6bcc7ef3c0fa4f525b4bc5f11e27da0764fb54e73cdd4e8b89b063cecfbfb08c,6009f0e92e4c68c2ec486e1c29f8c3862ec95db5f7395cdf73577cb251aac036,-75333.5592124006,-1462.3626599121017,-1462.3627289564733,5456953680.096389,5456953669.895609,0.0,0.0,0.0,-0.726451799105645,-0.726451799105645,0.726451799105645,0.048807910594206,-0.03545659446174842,0.0,-2811.8083910042665,-2811.8083967627035,0.0,2811.772940168242,2811.772940168242,0.0,1.6949255546647526,1.6949255546647526,0.0,0.04718112369894139,0.0,0.3609783128897271,0.0,80.4664534621164,7.862786646351026
Vanilla SAC,0,3760190062,1,2,9671ef724f0488dc6c892beb76000502ae84bab4998ddf5545da7ef4e643e571,01909fe0cbb9db3c588e70d2a4f30ef0ecde78c85f0aa1fc9b4fbf011edb10ab,-76771.0891710872,-2498.032307589376,-2498.0323730295995,5516486975.848379,5516486966.12749,0.0,0.0,0.0,4.570259483850339,4.570259483850339,-4.570259483850339,0.04718112369894139,0.21562997804380288,0.0,-3788.3349896269574,-3788.334988111027,0.0,3788.550619605001,3788.550619605001,0.0,1.3885282277202045,1.3885282277202045,0.0,0.04588890315068563,0.0,0.37615151825749205,0.0,43.971247544917695,2.5530418012490275
Vanilla SAC,0,3760190062,1,3,3b0bb14ff0c9b4063f872e0c4f9dc76080d573f033eff08833399d7ef4d5cb0a,c316fa18ecc3f021737306b80b7f22c67ddb7bcc1bb895b30b8b9d6f31fe1789,-78200.59512377898,-3670.210185616436,-3670.2104581530207,5554778279.030686,5554778238.406175,0.12777076732003545,0.0,0.0,3.297629365948569,3.297629365948569,-3.297629365948569,0.04588890315068563,0.15132459460087075,0.0,-4919.5679355264165,-4919.568126891498,0.0,4919.7194514860985,4919.7194514860985,0.0,1.4088981125224407,1.4088981125224407,0.0,0.04461389529327262,0.0,0.39238107312364223,0.0,36.52577613996277,2.354917183791343
Vanilla SAC,0,3760190062,1,4,a4a33fd5e122bd85c70dc73ea3d7a7b9a1a9f017650c6419663150747b116aeb,a52ca584c7a3580bca4013a8f9b5bf44ed7ded6ef7a5fee80315a3f3fa23b1a3,-79585.84993875664,-4948.976058245527,-4948.976281130848,5570662942.655323,5570662909.384396,2.430227616160127,0.0,0.0,7.802260297592383,7.802260297592383,-7.802260297592383,0.04461389529327262,0.3480892239676447,0.0,-6162.845810415565,-6162.846021127027,0.0,6163.194110350994,6163.194110350994,0.0,1.1687832160036244,1.1687832160036244,0.0,0.043583110429868614,0.0,0.3940347845511495,0.0,38.9151687865319,2.5184894002190354
Vanilla SAC,0,3760190062,1,5,0a15ce4994b386f98527cb948e60364951ac524e3deb61676f8fd5a9a339ef08,e359f9f6d268d16d107c4273b3a145aa5ac3028349d199933b445f430160cfd7,-80875.87430034326,-5831.730441843396,-5831.730424829646,5631623527.455223,5631623530.008788,6.751710133661708,0.0,0.0,1.1569872158938492,1.1569872158938492,-1.1569872158938492,0.043583110429868614,0.05042510159624787,0.0,-6930.380775365123,-6930.3808288380105,0.0,6930.431253939607,6930.431253939607,0.0,1.431400653019285,1.431400653019285,0.0,0.04235310291545045,0.0,0.3633340266023921,0.0,33.861997075373985,2.2050667580984538
Vanilla SAC,0,3760190062,1,6,7722e520efa7f1028e2c7bed7c442625644e96d41d8446173695b2aa1e41f01a,0e16c14d1b6dbf414fd9bb9ae0ab39f1143cfae5e98ada89e2c977310dfdef42,-82008.73717784535,-8443.254616732422,-8443.254997549997,5411880224.449411,5411880168.419353,10.44157733609168,0.0,0.0,-2.844488438755885,-2.844488438755885,2.844488438755885,0.04235310291545045,-0.12047291158843697,0.0,-9413.921999070571,-9413.92244310078,0.0,9413.801970189192,9413.801970189192,0.0,1.5604784107137524,1.5604784107137524,0.0,0.041051694688621056,0.0,0.3615897398303682,0.0,17.015333615419383,0.9965575212866002
Vanilla SAC,0,3760190062,1,7,fe650674194993998a36285a153919311022570f20ebe77ad179c6c1a9ae4620,87f9dbebb38dad0684eb29d6e6e35b01a9f254242172f77f69ddc92cbec9bab7,-82955.24092455495,-10319.79384367985,-10319.794330847364,5275908172.638608,5275908101.867347,14.652516072654407,0.0,0.0,-0.06482971965275819,-0.06482971965275819,0.06482971965275819,0.041051694688621056,-0.0026613698579339255,0.0,-11201.313842226828,-11201.31442702089,0.0,11201.311765651033,11201.311765651033,0.0,1.3984189892710497,1.3984189892710497,0.0,0.039919452594392286,0.0,0.4225228400481373,0.0,11.639899271329394,0.4765450371996024
Vanilla SAC,0,3760190062,1,8,bde2be8c36099f7c45da8dcff6fa1502cc1a2447ae77e8c65f3b5e243b3adb9f,3b4fe34de7e38938aa60d6e11fb3b4a9e5a0a9a8f532d38b5b1d873ff169405f,-83744.68666379503,-13043.865965163595,-13043.866380319623,4998606047.460031,4998605988.756288,17.083988499192746,0.0,0.0,7.341309992075072,7.341309992075072,-7.341309992075072,0.039919452594392286,0.2930610762093792,0.0,-13811.998713482324,-13811.999216090513,0.0,13812.292277166722,13812.292277166722,0.0,1.0642003119999586,1.0642003119999586,0.0,0.03907878484072638,0.0,0.11797037621057536,0.0,21.94872653049126,0.6038964363444629
Vanilla SAC,0,3760190062,1,9,02b4289dbaf9a76f2b6d083d14665dd9a3f6bfce3692690b1d722f09bbce381b,867ee108a1715cd39e0bf6323e6ead956237eee15875012ee2df22128522dd22,-84376.7341240256,-15282.276388922834,-15282.276724287467,4774044089.707903,4774044043.364228,18.77524080694262,0.0,0.0,-0.29472009187237136,-0.29472009187237136,0.29472009187237136,0.03907878484072638,-0.011517303058519513,0.0,-15952.01587021527,-15952.016417700726,0.0,15952.004900397667,15952.004900397667,0.0,1.3401959876432166,1.3401959876432166,0.0,0.03804523371733794,0.0,0.06038955367934164,0.0,37.43990928647395,1.30639451417411
