evaluation_split,policy,path_id,training_seed,period_offset,proposal_source,selected,rejected,nested_objective,solver_valid,solver_failure,used_fallback,common_scenario_path_ids,common_kernel,mechanical_argmin,candidate_scenario_sha256,status
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,0,BC,False,True,194.84548165833024,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,31014073dbcf1d86703af0f9ef876051cefc859ca3d004248c948817f7856efd,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,0,SAC,True,False,140.57369146864892,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,a21af20e4b311272378017f223a0a78f1d750658f3b36b95748d31834f747977,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,1,BC,False,True,194.87166454546852,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,1586a92301d3586e1f8dac8f92c66a91111d2521c5f574f3ba29f448505bc7cb,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,1,SAC,True,False,140.56880527081267,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,124b8399f8760395e22e488f0bd5211a524ceecf711bda5e0b3c5cd93fe778db,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,2,BC,False,True,194.89660094711377,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,7a84bcab6e1fb708c9f98ffdb8f99815acf23da1ecb6b64d9b8541743b227d9f,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,2,SAC,True,False,140.5639538907399,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,29206acc92b138ac582d46409e56870d716bb1aaed605e966a53bd41dea890c8,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,3,BC,False,True,8364.387062036802,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,d938e980b03bc84be7ca08fe4c39dc34d5f484c824095499f610d36467935202,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,3,SAC,True,False,8318.361254556597,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,33cf02c3b46a8302bd1bbb298956fd8c6ebbdae3de8308fe44aad89b7450d6df,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,4,BC,False,True,11661.114072686316,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,a91670514923869931623702268e757140c8b7e48d172de4baf49868f355d835,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,4,SAC,True,False,11636.702521023326,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,a438e3bf5c8b1d93193f6bcc01b3508227e7c6904a34d91652905e7063274918,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,5,BC,True,False,9579.244340005676,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,ffdca5866c73b8425502023acc6f4d4569bfe63f6619f1762ed3ab68c461bf60,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,5,SAC,False,True,9581.172971255648,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,61eaef04f3b35a0254d59b822e71a7b4698badb6bb169f80c1d24fe26bf01c76,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,6,BC,True,False,12652.233624834957,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,6efa74098bdd5e4e5f8a8e7848ec92a6401afeba207eea89f6e0c121d78389a1,PASS
validation,Model-guided constrained SAC,validation_000_b61404cedf67,301721597,6,SAC,False,True,12827.83651563106,True,,False,mpc_slow|mpc_central|mpc_fast,RC-MSA + complete tagged transition + formal objective,True,3740649bcc13c187d9b6fa0e0ea273c950a65d6a699e5ee32b90902cf35fb880,PASS
