path_id,selected_policy_loss,bc_policy_loss,sac_policy_loss,selector_ex_post_regret,interpretation_boundary
test_000_4ae657b9eeec,118425.61582376699,117878.55670256354,294010.75062749704,547.0591212034487,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_001_dde9993de777,122518.62327012552,121992.38231084752,283895.36328080244,526.2409592780023,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_002_f01217ab0e79,107573.45181541804,107053.93232488923,282174.07573406625,519.5194905288081,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_003_eb3106001035,116834.01336873871,116284.1303892667,289123.8141054208,549.8829794720077,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_004_55a330aff5c4,109236.40122492104,108685.34797959035,284099.77285260666,551.0532453306805,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_005_981c73a17708,115290.23283434311,114692.960119788,278408.3479231569,597.272714555118,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_006_daba4b1e9814,113779.52580670168,113315.80111876132,285742.2047327513,463.7246879403683,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_007_925513ee8ec6,115817.85098756943,115215.77788446895,314996.24194148934,602.0731031004834,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_008_fabe46a0ea00,107891.46886195324,107394.40439781087,272018.71690571756,497.06446414237143,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_009_c8ef87e47101,120259.63276257657,119795.41759373077,277863.7306942093,464.21516884579614,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_010_613ab99db82c,105304.99105979409,105058.31198011979,264401.3629427449,246.67907967430074,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_011_8a2e74b38d5d,128881.69585427799,128222.26678162838,297803.91196392156,659.429072649611,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_012_b6bdc05b20a7,120891.507146199,120328.94059004869,294410.22315152525,562.566556150312,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_013_040653995d85,102064.45381770644,101665.05756116034,262547.26737186563,399.396256546097,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_014_f00647451070,106620.1020103409,106013.39727952343,271669.74376757996,606.704730817466,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_015_643a837775f9,127388.22414728119,126790.38561135156,324585.57311596395,597.8385359296226,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_016_45a90ccef8bd,124863.80464294659,124313.45106066133,297941.2122528728,550.3535822852573,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_017_ebd333a3cdba,115124.83143139863,114603.7885402935,289624.87419335725,521.0428911051276,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
test_018_9466cee538c9,116029.86087570898,115448.89473952912,297833.9041564744,580.9661361798644,path-level ex-post regret relative only to the two frozen candidate policies; not global optimality
