route,dispatch_period,observation_period,registered_lag_weeks,expected_arrival,actual_arrival,absolute_residual,status
Khor_Fakkan,0,0,2,0.0,0.0,0.0,PASS
Khor_Fakkan,0,1,2,0.0,0.0,0.0,PASS
Khor_Fakkan,0,2,2,1.0,1.0,0.0,PASS
Khor_Fakkan,0,3,2,0.0,0.0,0.0,PASS
Khor_Fakkan,0,4,2,0.0,0.0,0.0,PASS
Fujairah,0,0,3,0.0,0.0,0.0,PASS
Fujairah,0,1,3,0.0,0.0,0.0,PASS
Fujairah,0,2,3,0.0,0.0,0.0,PASS
Fujairah,0,3,3,1.0,1.0,0.0,PASS
Fujairah,0,4,3,0.0,0.0,0.0,PASS
Fujairah,0,5,3,0.0,0.0,0.0,PASS
Sohar,0,0,4,0.0,0.0,0.0,PASS
Sohar,0,1,4,0.0,0.0,0.0,PASS
Sohar,0,2,4,0.0,0.0,0.0,PASS
Sohar,0,3,4,0.0,0.0,0.0,PASS
Sohar,0,4,4,1.0,1.0,0.0,PASS
Sohar,0,5,4,0.0,0.0,0.0,PASS
Sohar,0,6,4,0.0,0.0,0.0,PASS
