chi,policy,seed_index,training_seed,checkpoint_path,checkpoint_sha256,selected_episode,best_validation_operational_loss,stopped_reason,final_constraint_dual,selected_entropy_temperature,selected_mean_log_standard_deviation,teacher_action_hash,generated_for_5_3_1,loaded_from_5_2_checkpoint
0.0,Behaviour cloning,0,4237354934,experiments/5.3-1/checkpoints/chi_0p000/behaviour_cloning_seed_0.npz,a5c489123406971712875f706d6339c491de6e92f414edded98a16a40fc53442,12,69497.73960960767,maximum_computational_cap,0.0,,-1.5,2cc45f371b1a16d4ead19186e1ccfc1e01e6d6d998ad00593a0db52ddf658bc2,True,False
0.0,Constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p000/constrained_sac_seed_0.npz,127ab7349283963919f74a043e00efcd374e6022fd07601df08fdfffe6247d0e,3,182357.2599290937,validation_patience,17.01950553494331,0.0167744065093888,-1.4907232958182033,not_applicable,True,False
0.0,Model-guided constrained SAC,0,1044336490,experiments/5.3-1/checkpoints/chi_0p000/model_guided_constrained_sac_seed_0.json,5692c92e114f22b1efee442f72d1a9628fa0b17a7316579880f4f72f0cc2144b,3,69228.14546897373,selector_has_no_additional_training,17.01950553494331,0.0167744065093888,-1.4907232958182033,2cc45f371b1a16d4ead19186e1ccfc1e01e6d6d998ad00593a0db52ddf658bc2,True,False
0.0,Behaviour cloning,1,60714114,experiments/5.3-1/checkpoints/chi_0p000/behaviour_cloning_seed_1.npz,36f7e96b4c93fa8f897fa4ce00eea98e0cd732ba792ff3fb03be268ca1d068ce,12,72862.26814887315,maximum_computational_cap,0.0,,-1.5,2cc45f371b1a16d4ead19186e1ccfc1e01e6d6d998ad00593a0db52ddf658bc2,True,False
0.0,Constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p000/constrained_sac_seed_1.npz,d7e5b1ea37153988fc64ed3e38bb5c2cfe0acdfa63fde254159d7aaffe0a15c5,3,182331.9274086454,validation_patience,17.162239387254314,0.0168668287891033,-1.4899868755640515,not_applicable,True,False
0.0,Model-guided constrained SAC,1,2857687458,experiments/5.3-1/checkpoints/chi_0p000/model_guided_constrained_sac_seed_1.json,da61c3e56535e0f648b3d06ba4c96e2e491327e7532c16d77a0c811c9c8fe1ec,3,72752.15687458853,selector_has_no_additional_training,17.162239387254314,0.0168668287891033,-1.4899868755640515,2cc45f371b1a16d4ead19186e1ccfc1e01e6d6d998ad00593a0db52ddf658bc2,True,False
0.0,Behaviour cloning,2,1484239003,experiments/5.3-1/checkpoints/chi_0p000/behaviour_cloning_seed_2.npz,f9ad441664840c437a42d8e874ba622ad6da9b2f4797166ab8738f9866739c50,12,64976.22206572379,maximum_computational_cap,0.0,,-1.5,2cc45f371b1a16d4ead19186e1ccfc1e01e6d6d998ad00593a0db52ddf658bc2,True,False
0.0,Constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p000/constrained_sac_seed_2.npz,af37ee3cd64f284170cf109ed98677d7a1207c14977942b0448db6fcda2c54fd,3,182276.44518501995,validation_patience,17.345059127375798,0.0165214029302945,-1.4763843718083631,not_applicable,True,False
0.0,Model-guided constrained SAC,2,3413089447,experiments/5.3-1/checkpoints/chi_0p000/model_guided_constrained_sac_seed_2.json,7623e95966b3aeaa499e77e8cebb848e7bd1799ff4e2d27b02095cb69cba3437,3,64744.05022977362,selector_has_no_additional_training,17.345059127375798,0.0165214029302945,-1.4763843718083631,2cc45f371b1a16d4ead19186e1ccfc1e01e6d6d998ad00593a0db52ddf658bc2,True,False
0.125,Behaviour cloning,0,4237354934,experiments/5.3-1/checkpoints/chi_0p125/behaviour_cloning_seed_0.npz,3afa0291620b22d0f878fe880b53c789b50973a5826337230dfc75b029bfb289,12,61809.30788273567,maximum_computational_cap,0.0,,-1.5,468ebd207f974cd7b4585471b186addac18e7dc2dc990bbe59d6aedba144e928,True,False
