chi,reference_policy,policy,variance_estimation_paths,paired_difference_standard_deviation,confidence_level,t_critical,target_halfwidth,raw_formula_required_paths,minimum_common_paths,maximum_path_cap,required_paths,required_within_cap,executed_paths,achieved_halfwidth,precision_target_met
0.0,Passive,Reactive,88,6606.614221775925,0.95,1.9876082815890703,2255.6378250000002,34,88,196,88,True,88,1399.807800935785,True
0.0,Passive,Projected stochastic MPC,88,7662.891100184834,0.95,1.9876082815890703,2255.6378250000002,46,88,196,88,True,88,1623.6114868648583,True
0.0,Passive,Behaviour cloning,88,7977.360812409818,0.95,1.9876082815890703,2255.6378250000002,50,88,196,88,True,88,1690.2412523625244,True
0.0,Passive,Model-guided constrained SAC,88,7929.917874715454,0.95,1.9876082815890703,2255.6378250000002,49,88,196,88,True,88,1680.189054359973,True
0.0,Reactive,Passive,88,6606.614221775925,0.95,1.9876082815890703,2255.6378250000002,34,88,196,88,True,88,1399.807800935785,True
0.0,Reactive,Projected stochastic MPC,88,6842.494758061284,0.95,1.9876082815890703,2255.6378250000002,37,88,196,88,True,88,1449.786111110585,True
0.0,Reactive,Behaviour cloning,88,7290.249207009597,0.95,1.9876082815890703,2255.6378250000002,42,88,196,88,True,88,1544.6562139350572,True
0.0,Reactive,Model-guided constrained SAC,88,7273.345277474225,0.95,1.9876082815890703,2255.6378250000002,42,88,196,88,True,88,1541.0746134910587,True
1.0,Passive,Reactive,88,721.9426940214172,0.95,1.9876082815890703,2255.6378250000002,1,88,196,88,True,88,152.96504094166994,True
1.0,Passive,Projected stochastic MPC,88,1191.331352316412,0.95,1.9876082815890703,2255.6378250000002,2,88,196,88,True,88,252.41899473640115,True
1.0,Passive,Behaviour cloning,88,178.49980605634764,0.95,1.9876082815890703,2255.6378250000002,1,88,196,88,True,88,37.82049512738672,True
1.0,Passive,Model-guided constrained SAC,88,100.32575097453994,0.95,1.9876082815890703,2255.6378250000002,1,88,196,88,True,88,21.25699551004675,True
1.0,Reactive,Passive,88,721.9426940214172,0.95,1.9876082815890703,2255.6378250000002,1,88,196,88,True,88,152.96504094166994,True
1.0,Reactive,Projected stochastic MPC,88,647.8093528865047,0.95,1.9876082815890703,2255.6378250000002,1,88,196,88,True,88,137.25768680435112,True
1.0,Reactive,Behaviour cloning,88,553.2769569413713,0.95,1.9876082815890703,2255.6378250000002,1,88,196,88,True,88,117.22818593702505,True
1.0,Reactive,Model-guided constrained SAC,88,631.7062012691233,0.95,1.9876082815890703,2255.6378250000002,1,88,196,88,True,88,133.8457549892064,True
