chi,policy,metric,mean_value,metric_label
0.0,Behaviour cloning,mean_waiting_exposure,15200.823076763425,Waiting exposure
0.0,Model-guided constrained SAC,mean_waiting_exposure,15245.764159968247,Waiting exposure
0.0,Passive,mean_waiting_exposure,20031.915675777484,Waiting exposure
0.0,Projected stochastic MPC,mean_waiting_exposure,11395.70792811273,Waiting exposure
0.0,Reactive,mean_waiting_exposure,9075.31304465197,Waiting exposure
0.125,Behaviour cloning,mean_waiting_exposure,13810.083934063972,Waiting exposure
0.125,Model-guided constrained SAC,mean_waiting_exposure,13858.900667821807,Waiting exposure
0.125,Passive,mean_waiting_exposure,19345.604790018442,Waiting exposure
0.125,Projected stochastic MPC,mean_waiting_exposure,10593.060631077393,Waiting exposure
0.125,Reactive,mean_waiting_exposure,9456.887671059983,Waiting exposure
0.25,Behaviour cloning,mean_waiting_exposure,11871.192798193999,Waiting exposure
0.25,Model-guided constrained SAC,mean_waiting_exposure,11922.671853445458,Waiting exposure
0.25,Passive,mean_waiting_exposure,18372.56824094937,Waiting exposure
0.25,Projected stochastic MPC,mean_waiting_exposure,9563.189365325527,Waiting exposure
0.25,Reactive,mean_waiting_exposure,8823.109091430591,Waiting exposure
0.375,Behaviour cloning,mean_waiting_exposure,9810.621285917985,Waiting exposure
0.375,Model-guided constrained SAC,mean_waiting_exposure,9864.926449206503,Waiting exposure
0.375,Passive,mean_waiting_exposure,17179.472975064404,Waiting exposure
0.375,Projected stochastic MPC,mean_waiting_exposure,8413.138820967515,Waiting exposure
0.375,Reactive,mean_waiting_exposure,7927.476931690983,Waiting exposure
0.5,Behaviour cloning,mean_waiting_exposure,7867.594403146269,Waiting exposure
0.5,Model-guided constrained SAC,mean_waiting_exposure,7924.8157514515015,Waiting exposure
0.5,Passive,mean_waiting_exposure,15753.598484605494,Waiting exposure
0.5,Projected stochastic MPC,mean_waiting_exposure,7161.059380700965,Waiting exposure
0.5,Reactive,mean_waiting_exposure,6849.1900150694655,Waiting exposure
0.625,Behaviour cloning,mean_waiting_exposure,6041.203035680394,Waiting exposure
0.625,Model-guided constrained SAC,mean_waiting_exposure,6094.503315709563,Waiting exposure
0.625,Passive,mean_waiting_exposure,13919.690951509132,Waiting exposure
0.625,Projected stochastic MPC,mean_waiting_exposure,5724.225856195736,Waiting exposure
0.625,Reactive,mean_waiting_exposure,5588.253816848474,Waiting exposure
0.75,Behaviour cloning,mean_waiting_exposure,4195.545516537244,Waiting exposure
0.75,Model-guided constrained SAC,mean_waiting_exposure,4235.540481361418,Waiting exposure
0.75,Passive,mean_waiting_exposure,10727.192894027736,Waiting exposure
0.75,Projected stochastic MPC,mean_waiting_exposure,4038.0316670713846,Waiting exposure
0.75,Reactive,mean_waiting_exposure,4106.071491661955,Waiting exposure
0.875,Behaviour cloning,mean_waiting_exposure,2193.2923680035483,Waiting exposure
0.875,Model-guided constrained SAC,mean_waiting_exposure,2211.6792330888484,Waiting exposure
0.875,Passive,mean_waiting_exposure,5693.474055093003,Waiting exposure
0.875,Projected stochastic MPC,mean_waiting_exposure,2116.1625173658167,Waiting exposure
0.875,Reactive,mean_waiting_exposure,2333.4921600237167,Waiting exposure
1.0,Behaviour cloning,mean_waiting_exposure,0.0,Waiting exposure
1.0,Model-guided constrained SAC,mean_waiting_exposure,0.0,Waiting exposure
1.0,Passive,mean_waiting_exposure,0.0,Waiting exposure
1.0,Projected stochastic MPC,mean_waiting_exposure,0.0,Waiting exposure
1.0,Reactive,mean_waiting_exposure,0.0,Waiting exposure
0.0,Behaviour cloning,mean_direct_sue_exit,0.0006954977750007304,SUE exit
0.0,Model-guided constrained SAC,mean_direct_sue_exit,0.0007135647387379034,SUE exit
0.0,Passive,mean_direct_sue_exit,0.0002525888203247466,SUE exit
0.0,Projected stochastic MPC,mean_direct_sue_exit,0.0011984162823308068,SUE exit
0.0,Reactive,mean_direct_sue_exit,0.00043496077995293977,SUE exit
0.125,Behaviour cloning,mean_direct_sue_exit,0.0006590729026526098,SUE exit
0.125,Model-guided constrained SAC,mean_direct_sue_exit,0.0006806113803369787,SUE exit
0.125,Passive,mean_direct_sue_exit,0.00020396466928321704,SUE exit
0.125,Projected stochastic MPC,mean_direct_sue_exit,0.001060691036355158,SUE exit
0.125,Reactive,mean_direct_sue_exit,0.0005466332463468943,SUE exit
0.25,Behaviour cloning,mean_direct_sue_exit,0.0006153056288310818,SUE exit
0.25,Model-guided constrained SAC,mean_direct_sue_exit,0.000636427295683005,SUE exit
0.25,Passive,mean_direct_sue_exit,0.00014983506174961732,SUE exit
0.25,Projected stochastic MPC,mean_direct_sue_exit,0.0008928804147063432,SUE exit
0.25,Reactive,mean_direct_sue_exit,0.0004806750512651591,SUE exit
0.375,Behaviour cloning,mean_direct_sue_exit,0.0005582782410229102,SUE exit
0.375,Model-guided constrained SAC,mean_direct_sue_exit,0.0005779266771212072,SUE exit
0.375,Passive,mean_direct_sue_exit,0.00010266159027282114,SUE exit
0.375,Projected stochastic MPC,mean_direct_sue_exit,0.0007454344056058728,SUE exit
0.375,Reactive,mean_direct_sue_exit,0.00040741357220433185,SUE exit
0.5,Behaviour cloning,mean_direct_sue_exit,0.0004769808748679371,SUE exit
0.5,Model-guided constrained SAC,mean_direct_sue_exit,0.0004947253890465073,SUE exit
0.5,Passive,mean_direct_sue_exit,6.533591559174184e-05,SUE exit
0.5,Projected stochastic MPC,mean_direct_sue_exit,0.0005944221953608921,SUE exit
0.5,Reactive,mean_direct_sue_exit,0.0003365876734003534,SUE exit
0.625,Behaviour cloning,mean_direct_sue_exit,0.0003684335710322841,SUE exit
0.625,Model-guided constrained SAC,mean_direct_sue_exit,0.0003819048928543678,SUE exit
0.625,Passive,mean_direct_sue_exit,3.604431990396635e-05,SUE exit
0.625,Projected stochastic MPC,mean_direct_sue_exit,0.00043031255173898525,SUE exit
0.625,Reactive,mean_direct_sue_exit,0.00026441131354792497,SUE exit
0.75,Behaviour cloning,mean_direct_sue_exit,0.0002403581142105095,SUE exit
0.75,Model-guided constrained SAC,mean_direct_sue_exit,0.00024832101025840797,SUE exit
0.75,Passive,mean_direct_sue_exit,1.2243202330738572e-05,SUE exit
0.75,Projected stochastic MPC,mean_direct_sue_exit,0.00026225950041837843,SUE exit
0.75,Reactive,mean_direct_sue_exit,0.0001830334435041193,SUE exit
0.875,Behaviour cloning,mean_direct_sue_exit,0.00011114768715643256,SUE exit
0.875,Model-guided constrained SAC,mean_direct_sue_exit,0.00011416165276917577,SUE exit
0.875,Passive,mean_direct_sue_exit,1.975697243270513e-06,SUE exit
0.875,Projected stochastic MPC,mean_direct_sue_exit,0.00011333256190317136,SUE exit
0.875,Reactive,mean_direct_sue_exit,9.140982335022068e-05,SUE exit
1.0,Behaviour cloning,mean_direct_sue_exit,0.0,SUE exit
1.0,Model-guided constrained SAC,mean_direct_sue_exit,0.0,SUE exit
1.0,Passive,mean_direct_sue_exit,0.0,SUE exit
1.0,Projected stochastic MPC,mean_direct_sue_exit,0.0,SUE exit
1.0,Reactive,mean_direct_sue_exit,0.0,SUE exit
0.0,Behaviour cloning,mean_duration_attrition,367.50262447142364,Attrition exit
0.0,Model-guided constrained SAC,mean_duration_attrition,368.3395091449768,Attrition exit
0.0,Passive,mean_duration_attrition,686.4400799864022,Attrition exit
0.0,Projected stochastic MPC,mean_duration_attrition,269.75646242533855,Attrition exit
0.0,Reactive,mean_duration_attrition,191.11084148587798,Attrition exit
0.125,Behaviour cloning,mean_duration_attrition,334.68413435248505,Attrition exit
0.125,Model-guided constrained SAC,mean_duration_attrition,335.4053160215815,Attrition exit
