chi,policy,physical_paths,clearance_probability,restricted_mean_clearance_time,restriction_weeks,mean_observed_clearance_time_among_cleared,mean_terminal_outstanding_mass,mean_terminal_committed_outstanding,right_censored_paths,right_censored_seed_trajectories,terminal_loss,censored_recorded_as_observed_clearance
0.0,Behaviour cloning,88,1.0,79.69318181818181,104,79.69318181818181,6.079135871758482e-07,0.0,0,0,0.0,False
0.0,Model-guided constrained SAC,88,1.0,79.6969696969697,104,79.6969696969697,6.06376246331072e-07,0.0,0,0,0.0,False
0.0,Passive,88,1.0,78.0,104,78.0,6.927149760113797e-07,0.0,0,0,0.0,False
0.0,Projected stochastic MPC,88,1.0,79.70454545454545,104,79.70454545454545,6.045008364927681e-07,0.0,0,0,0.0,False
0.0,Reactive,88,0.14772727272727273,103.44318181818181,104,100.23076923076923,17.865937704749506,0.0,75,75,375.18469179973926,False
0.125,Behaviour cloning,88,1.0,79.34848484848484,104,79.34848484848484,7.424678241210784e-07,9.59282864387642e-15,0,0,0.0,False
0.125,Model-guided constrained SAC,88,1.0,79.34848484848484,104,79.34848484848484,7.433006746746634e-07,9.144617234205433e-15,0,0,0.0,False
0.125,Passive,88,1.0,78.0,104,78.0,7.128091266392699e-07,8.013636862403125e-15,0,0,0.0,False
0.125,Projected stochastic MPC,88,1.0,79.3409090909091,104,79.3409090909091,7.407352507955105e-07,9.836234155460969e-15,0,0,0.0,False
0.125,Reactive,88,1.0,79.2159090909091,104,79.2159090909091,7.798313642317358e-07,8.20573790705811e-15,0,0,0.0,False
0.25,Behaviour cloning,88,1.0,79.04545454545455,104,79.04545454545455,8.188093819795353e-07,1.904596320306533e-14,0,0,0.0,False
0.25,Model-guided constrained SAC,88,1.0,79.04545454545455,104,79.04545454545455,8.194175921252265e-07,2.0148489630146858e-14,0,0,0.0,False
0.25,Passive,88,1.0,78.0,104,78.0,7.29828934680667e-07,1.743482449636816e-14,0,0,0.0,False
0.25,Projected stochastic MPC,88,1.0,79.02272727272727,104,79.02272727272727,8.153635830497291e-07,2.030694460790448e-14,0,0,0.0,False
0.25,Reactive,88,1.0,79.01136363636364,104,79.01136363636364,8.010560064588538e-07,1.9021889861729705e-14,0,0,0.0,False
0.375,Behaviour cloning,88,1.0,79.0,104,79.0,7.145559602704663e-07,3.089438434241436e-14,0,0,0.0,False
0.375,Model-guided constrained SAC,88,1.0,79.0,104,79.0,7.14990114983283e-07,3.3450483218969536e-14,0,0,0.0,False
0.375,Passive,88,1.0,78.0,104,78.0,7.355323569300128e-07,3.361384891036361e-14,0,0,0.0,False
0.375,Projected stochastic MPC,88,1.0,79.0,104,79.0,6.967822050269096e-07,3.5699819053839103e-14,0,0,0.0,False
0.375,Reactive,88,1.0,79.0,104,79.0,6.885718991809196e-07,2.97773397021586e-14,0,0,0.0,False
0.5,Behaviour cloning,88,1.0,79.0,104,79.0,5.745206716561163e-07,5.571320221907557e-14,0,0,0.0,False
0.5,Model-guided constrained SAC,88,1.0,79.0,104,79.0,5.748935455092681e-07,5.330008481833916e-14,0,0,0.0,False
0.5,Passive,88,1.0,78.0,104,78.0,7.265577439788286e-07,4.884708483658558e-14,0,0,0.0,False
0.5,Projected stochastic MPC,88,1.0,79.0,104,79.0,5.633746080085513e-07,4.989604058208192e-14,0,0,0.0,False
0.5,Reactive,88,1.0,79.0,104,79.0,5.612559916964988e-07,4.504567761939847e-14,0,0,0.0,False
0.625,Behaviour cloning,88,1.0,78.52651515151516,104,78.52651515151516,6.807041172989438e-07,6.811181639370966e-14,0,0,0.0,False
0.625,Model-guided constrained SAC,88,1.0,78.52651515151516,104,78.52651515151516,6.811962736239786e-07,6.939689861623353e-14,0,0,0.0,False
0.625,Passive,88,1.0,78.0,104,78.0,7.02500106912161e-07,6.415630501865299e-14,0,0,0.0,False
0.625,Projected stochastic MPC,88,1.0,78.45454545454545,104,78.45454545454545,7.140248254834586e-07,6.973358226874696e-14,0,0,0.0,False
0.625,Reactive,88,1.0,78.4659090909091,104,78.4659090909091,7.089110801989532e-07,6.414685110425503e-14,0,0,0.0,False
