chi,policy,mean_total_operational_objective,mean_loss_queue,mean_loss_waiting,mean_loss_exit,mean_loss_overflow,mean_loss_route_resource,mean_loss_action,mean_terminal_correction,mean_direct_sue_exit,mean_duration_attrition,mean_waiting_exposure,mean_committed_delivery,mean_adaptive_delivery,mean_committed_delivery_share,mean_terminal_committed_outstanding,mean_terminal_committed_outstanding_share,mean_ending_outstanding_mass
0.0,Behaviour cloning,208770.29494427622,5148.994438658083,192902.14743488134,7717.5697193531705,707.2710131820465,1126.5971948709762,1167.7151433306367,0.0,0.0006954977750007304,367.50262447142364,15200.823076763425,0.0,1333.0843754444688,,0.0,,6.079135871758482e-07
0.0,Model-guided constrained SAC,209181.2298975067,5182.407985533883,193393.59881201398,7735.144676904026,714.5954212433546,1132.298442999971,1023.1845588114894,0.0,0.0007135647387379034,368.3395091449768,15245.764159968247,0.0,1332.2474727054896,,0.0,,6.063762463310721e-07
0.0,Passive,356310.2387857581,3757.5423380368793,337145.0307505284,14415.246984079673,296.3309215841681,696.0877915289831,0.0,0.0,0.0002525888203247466,686.4400799864022,20031.915675777484,0.0,1014.1473627536438,,0.0,,6.927149760113797e-07
0.0,Projected stochastic MPC,154269.00630816125,6057.242169018826,139938.6020395716,5664.910877674039,1091.4045313363265,1390.482804196835,126.36388636363637,0.0,0.0011984162823308068,269.75646242533855,11395.70792811273,0.0,1430.8300345754596,,0.0,,6.045008364927681e-07
0.0,Reactive,132583.6064336937,15364.26690504034,100784.56971451013,4013.3368053798167,10326.540997431046,1225.2805157238834,494.4268038087328,375.18469179973926,0.00043496077995293977,191.11084148587798,9075.31304465197,0.0,1491.6104818701745,,0.0,,17.865937704749506
0.125,Behaviour cloning,191134.1158817186,5439.299004981028,175482.4767768543,7028.380661933142,856.3106536202864,1163.2296192385365,1164.41916509133,0.0,0.0006590729026526098,334.68413435248505,13810.083934063972,212.57346200269765,1153.3294398510282,1.0,9.59282864387642e-15,4.509146973035575e-17,7.424678241210782e-07
0.125,Model-guided constrained SAC,191532.7851742955,5485.843683035454,175956.39517488418,7043.525929292198,880.986519889576,1170.5295466040611,995.5043205900348,0.0,0.0006806113803369787,335.4053160215815,13858.900667821807,212.57346200269765,1152.608236642621,1.0,9.144617234205433e-15,4.293741863407465e-17,7.433006746746634e-07
0.125,Passive,344616.2681890775,3971.0324083892124,325594.1482226504,13921.367221512197,416.9842163124025,712.7361202132942,0.0,0.0,0.00020396466928321704,662.9220446787687,19345.604790018442,212.57346200269765,825.0919846626366,1.0,8.013636862403125e-15,3.7712546903685994e-17,7.128091266392699e-07
0.125,Projected stochastic MPC,145905.67871541248,6331.042053427021,131363.47377400912,5317.82762999357,1304.2976518881285,1391.5940336514618,197.4435724431818,0.0,0.001060691036355158,253.22882645151458,10593.060631077393,212.57346200269765,1234.7843461355974,1.0,9.836234155460967e-15,4.635061211491256e-17,7.407352507955106e-07
0.125,Reactive,124439.5433514886,5899.239026889481,111218.45923940498,4464.579473029365,990.7010767747589,1325.218832469436,541.3457029205503,0.0,0.0005466332463468943,212.5984758919615,9456.887671059983,212.57346200269765,1275.4152107138443,1.0,8.20573790705811e-15,3.854950848314e-17,7.798313642317358e-07
