metric,source_column,chi,policy,reference_policy,physical_paths,mean_paired_difference,standard_error,paired_lower,paired_upper,unadjusted_p_value,simultaneous_lower,simultaneous_upper,holm_adjusted_p_value,multiplicity_family_size,seed_aggregated_within_path_first,inference_unit
total_operational_loss,total_operational_objective,0.0,Reactive,Passive,88,-223726.63235206436,704.2674423838955,-225126.44015300015,-222326.82455112858,4.089373907047061e-135,-226052.91797065618,-221400.34673347254,1.4721746065369419e-133,36,True,physical_path
total_operational_loss,total_operational_objective,0.0,Projected stochastic MPC,Passive,88,-202041.23247759687,816.8669359572191,-203664.84396446173,-200417.62099073202,1.1411895670291158e-125,-204739.44865380996,-199343.0163013838,3.994163484601906e-124,36,True,physical_path
total_operational_loss,total_operational_objective,0.0,Behaviour cloning,Passive,88,-147539.94384148187,850.3895199164738,-149230.1850938444,-145849.70258911935,2.6775036629754714e-112,-150348.88940864688,-144730.99827431687,5.087256959653395e-111,36,True,physical_path
total_operational_loss,total_operational_objective,0.0,Model-guided constrained SAC,Passive,88,-147129.00888825144,845.3320857652473,-148809.1979426114,-145448.81983389147,2.0327169907658084e-112,-149921.24910227227,-144336.7686742306,4.065433981531617e-111,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Reactive,Passive,88,-220176.72483758896,959.2316875049385,-222083.30168363644,-218270.14799154148,7.506432855910183e-123,-223345.1900331218,-217008.25964205613,2.4020585138912586e-121,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Projected stochastic MPC,Passive,88,-198710.58947366502,811.0461761335571,-200322.63157009924,-197098.5473772308,2.5983892958028243e-125,-201389.57893421277,-196031.60001311728,8.834523605729603e-124,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Behaviour cloning,Passive,88,-153482.1523073589,895.9846719354452,-155263.01886147464,-151701.28575324314,8.087875307439703e-112,-156441.70450495425,-150522.60010976353,1.2626152041724877e-110,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Model-guided constrained SAC,Passive,88,-153083.483014782,894.6529755416244,-154861.70267811682,-151305.26335144715,8.90804698064777e-112,-156038.63644852312,-150128.32958104086,1.2626152041724877e-110,36,True,physical_path
total_operational_loss,total_operational_objective,0.25,Reactive,Passive,88,-209022.24617877873,950.7046903445004,-210911.87469465303,-207132.61766290443,3.159749281936349e-121,-212162.54560990116,-205881.9467476563,9.795222774002682e-120,36,True,physical_path
total_operational_loss,total_operational_objective,0.25,Projected stochastic MPC,Passive,88,-193860.39084003257,823.4385024630741,-195497.0640269075,-192223.71765315766,8.300113959501374e-124,-196580.31374260297,-191140.46793746218,2.7390376066354537e-122,36,True,physical_path
total_operational_loss,total_operational_objective,0.25,Behaviour cloning,Passive,88,-163227.9096373694,947.3351348203702,-165110.84079677865,-161344.97847796013,4.875989535194461e-112,-166357.0789947654,-160098.74027997337,8.776781163350029e-111,36,True,physical_path
total_operational_loss,total_operational_objective,0.25,Model-guided constrained SAC,Passive,88,-162798.51051931063,949.4376531369425,-164685.6206615381,-160911.40037708316,7.427148259838163e-112,-165934.62476415755,-159662.3962744637,1.2626152041724877e-110,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Reactive,Passive,88,-198335.66727256254,998.3301493682596,-200319.95654520695,-196351.37799991813,2.0983271086108002e-117,-201633.279698349,-195038.05484677607,5.665483193249161e-116,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Projected stochastic MPC,Passive,88,-186948.5572524613,897.3507372525063,-188732.13900931444,-185164.97549560815,3.392376912121372e-119,-189912.62173886897,-183984.49276605362,1.0177130736364116e-117,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Behaviour cloning,Passive,88,-170268.42070059842,1005.7480956586301,-172267.45394472196,-168269.38745647488,2.2454265729271602e-111,-173590.53555363946,-166946.30584755738,2.919054544805308e-110,36,True,physical_path
total_operational_loss,total_operational_objective,0.375,Model-guided constrained SAC,Passive,88,-169825.72448293606,1010.3038551307998,-171833.8127923154,-167817.6361735567,4.165005769089236e-111,-173162.88759336353,-166488.5613725086,4.998006922907083e-110,36,True,physical_path
total_operational_loss,total_operational_objective,0.5,Reactive,Passive,88,-186460.52009310204,1125.746168733998,-188698.0625010449,-184222.9776851592,1.4967137545727853e-110,-190179.0039600351,-182742.03622616897,1.6463851300300639e-109,36,True,physical_path
total_operational_loss,total_operational_objective,0.5,Projected stochastic MPC,Passive,88,-177278.61872927236,1034.198208264231,-179334.19965282292,-175223.0378057218,7.624657516788847e-112,-180694.70795031445,-173862.52950823028,1.2626152041724877e-110,36,True,physical_path
total_operational_loss,total_operational_objective,0.5,Behaviour cloning,Passive,88,-170592.97890838503,1103.4844402058543,-172786.27372034287,-168399.6840964272,5.918147483882237e-108,-174237.9294330061,-166948.02838376397,5.3263327354940134e-107,36,True,physical_path
total_operational_loss,total_operational_objective,0.5,Model-guided constrained SAC,Passive,88,-170131.11661975057,1101.3502695778604,-172320.16953649386,-167942.06370300727,6.329496295119742e-108,-173769.0177052797,-166493.21553422144,5.3263327354940134e-107,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Reactive,Passive,88,-170324.56203137894,1108.0249542854415,-172526.88160672403,-168122.24245603385,9.684071962401666e-108,-173984.51045590095,-166664.61360685693,6.778850373681166e-107,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Projected stochastic MPC,Passive,88,-163334.8036573221,1024.3295071839016,-165370.76946887688,-161298.83784576732,4.042182332730388e-109,-166718.29529395842,-159951.3120206858,4.0421823327303885e-108,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Behaviour cloning,Passive,88,-161778.9523297604,1060.1363387490112,-163886.08809627144,-159671.81656324933,1.8222948925394738e-107,-165280.71851993178,-158277.186139589,1.0933769355236842e-106,36,True,physical_path
total_operational_loss,total_operational_objective,0.625,Model-guided constrained SAC,Passive,88,-161357.69259836443,1062.1223250583494,-163468.77572771104,-159246.60946901783,2.6867174244878575e-107,-164866.01875583248,-157849.36644089638,1.3433587122439286e-106,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Reactive,Passive,88,-134475.00616311698,747.979338236838,-135961.69609025403,-132988.31623597993,1.2200779319222954e-113,-136945.6777756714,-132004.33455056258,2.5621636570368204e-112,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Projected stochastic MPC,Passive,88,-130155.5354181965,683.5660176589288,-131514.19689590824,-128796.87394048474,8.373345867110341e-116,-132413.44157790116,-127897.62925849184,2.0933364667775854e-114,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Behaviour cloning,Passive,88,-130291.6488832734,696.4361243715488,-131675.8910916721,-128907.40667487471,3.859895906563047e-115,-132592.0666548367,-127991.23111171009,9.263750175751312e-114,36,True,physical_path
total_operational_loss,total_operational_objective,0.75,Model-guided constrained SAC,Passive,88,-129998.27575337976,702.6197721730879,-131394.80863135922,-128601.7428754003,1.0108998451215252e-114,-132319.11890610575,-127677.43260065376,2.325069643779508e-113,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Reactive,Passive,88,-71780.86481648084,389.0449086756033,-72554.13369887453,-71007.59593408715,1.286956366218828e-114,-73065.9300084411,-70495.79962452059,2.831304005681421e-113,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Projected stochastic MPC,Passive,88,-69272.04479928606,335.66398332604314,-69939.21331237607,-68604.87628619604,7.710233880725053e-119,-70380.78595370815,-68163.30364486396,2.2359678254102652e-117,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Behaviour cloning,Passive,88,-70037.71966006962,349.34078381924695,-70732.07229508557,-69343.36702505367,9.515609550732925e-118,-71191.63703929062,-68883.80228084861,2.6643706742052193e-116,36,True,physical_path
total_operational_loss,total_operational_objective,0.875,Model-guided constrained SAC,Passive,88,-69845.51602142966,352.3908255404069,-70545.93094462978,-69145.10109822954,2.5691285006826286e-117,-71009.5080793381,-68681.52396352122,6.679734101774834e-116,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Reactive,Passive,88,-6138.535813981371,76.95934976653271,-6291.500854923041,-5985.570773039701,3.885260134474357e-83,-6392.742409095381,-5884.32921886736,1.1655780403423071e-82,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Projected stochastic MPC,Passive,88,-4410.377240421064,126.99634886537858,-4662.796235157465,-4157.958245684663,9.107042054682803e-53,-4829.862456121495,-3990.8920247206333,1.8214084109365606e-52,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Behaviour cloning,Passive,88,-1544.7822874972487,19.02814326027542,-1582.6027826246354,-1506.961792369862,8.532871773854575e-84,-1607.634683264757,-1481.9298917297403,3.41314870954183e-83,36,True,physical_path
total_operational_loss,total_operational_objective,1.0,Model-guided constrained SAC,Passive,88,-345.82124954376536,10.694760988343248,-367.0782450538121,-324.5642540337186,2.9161950733403946e-50,-381.1474156905998,-310.4950833969309,2.9161950733403946e-50,36,True,physical_path
total_operational_loss,total_operational_objective,0.0,Passive,Reactive,88,223726.63235206436,704.2674423838955,222326.82455112858,225126.44015300015,4.089373907047061e-135,221400.34673347254,226052.91797065618,1.4721746065369419e-133,36,True,physical_path
total_operational_loss,total_operational_objective,0.0,Projected stochastic MPC,Reactive,88,21685.399874467537,729.4123920390875,20235.613763356952,23135.185985578122,2.3900789884060215e-47,19276.057264677765,24094.74248425731,4.780157976812043e-47,36,True,physical_path
total_operational_loss,total_operational_objective,0.0,Behaviour cloning,Reactive,88,76186.68851058253,777.1431766726835,74642.03229664748,77731.34472451759,7.617193273751072e-91,73619.68500214127,78753.6920190238,1.2949228565376822e-89,36,True,physical_path
total_operational_loss,total_operational_objective,0.0,Model-guided constrained SAC,Reactive,88,76597.623463813,775.3412117296004,75056.54885032194,78138.69807730406,3.9209952342902867e-91,74036.57207651211,79158.67485111389,7.057791421722516e-90,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Passive,Reactive,88,220176.72483758896,959.2316875049385,218270.14799154148,222083.30168363644,7.506432855910183e-123,217008.25964205613,223345.1900331218,2.4771228424503603e-121,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Projected stochastic MPC,Reactive,88,21466.135363923895,430.2961074062429,20610.875257307707,22321.395470540083,8.577324281881454e-66,20044.812175950166,22887.458551897624,5.771629756892669e-65,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Behaviour cloning,Reactive,88,66694.57253023003,377.278669124583,65944.6903230111,67444.45473744895,5.270260642380012e-113,65448.37273542599,67940.77232503406,1.2121599477474028e-111,36,True,physical_path
total_operational_loss,total_operational_objective,0.125,Model-guided constrained SAC,Reactive,88,67093.24182280691,377.642377032417,66342.6367067383,67843.84693887553,3.416442000510955e-113,65845.8406541718,68340.64299144203,8.199460801226292e-112,36,True,physical_path
