chi,policy,sample_leader,mean_total_operational_loss,mean_difference_from_leader,simultaneous_lower,simultaneous_upper,in_simultaneous_confidence_set,all_pair_family_size,resolved_better_than_all_competitors
0.0,Passive,Reactive,356310.2387857582,223726.63235206436,221698.07030714434,225755.19439698439,False,10,False
0.0,Reactive,Reactive,132583.60643369373,0.0,0.0,0.0,True,10,True
0.0,Projected stochastic MPC,Reactive,154269.00630816125,21685.399874467537,19584.41066988883,23786.389079046243,False,10,False
0.0,Behaviour cloning,Reactive,208770.2949442763,76186.68851058253,73948.2162246417,78425.16079652337,False,10,False
0.0,Model-guided constrained SAC,Reactive,209181.22989750665,76597.623463813,74364.34153237363,78830.90539525237,False,10,False
0.125,Passive,Reactive,344616.26818907744,220176.72483758896,217413.76736369167,222939.68231148625,False,10,False
0.125,Reactive,Reactive,124439.54335148857,0.0,0.0,0.0,True,10,True
0.125,Projected stochastic MPC,Reactive,145905.67871541248,21466.135363923895,20226.716502523046,22705.554225324744,False,10,False
0.125,Behaviour cloning,Reactive,191134.11588171852,66694.57253023003,65607.86435307296,67781.2807073871,False,10,False
0.125,Model-guided constrained SAC,Reactive,191532.78517429548,67093.24182280691,66005.48602650283,68180.997619111,False,10,False
0.25,Passive,Reactive,328456.3535828409,209022.24617877873,206283.84974768397,211760.6426098735,False,10,False
0.25,Reactive,Reactive,119434.1074040621,0.0,0.0,0.0,True,10,True
0.25,Projected stochastic MPC,Reactive,134595.96274280825,15161.85533874615,14286.846107358992,16036.86457013331,False,10,False
0.25,Behaviour cloning,Reactive,165228.44394547146,45794.336541409306,45195.61464204444,46393.05844077417,False,10,False
0.25,Model-guided constrained SAC,Reactive,165657.8430635302,46223.73565946809,45634.00413047096,46813.46718846522,False,10,False
0.375,Passive,Reactive,309152.57838594454,198335.66727256254,195460.09113851222,201211.24340661286,False,10,False
0.375,Reactive,Reactive,110816.91111338185,0.0,0.0,0.0,True,10,True
0.375,Projected stochastic MPC,Reactive,122204.02113348297,11387.110020101267,10868.018295468355,11906.201744734179,False,10,False
0.375,Behaviour cloning,Reactive,138884.157685346,28067.246571964104,27746.94660081689,28387.54654311132,False,10,False
0.375,Model-guided constrained SAC,Reactive,139326.85390300828,28509.942789626486,28181.303708934043,28838.58187031893,False,10,False
0.5,Passive,Reactive,286516.5297538497,186460.52009310204,183217.93664727648,189703.1035389276,False,10,False
0.5,Reactive,Reactive,100056.00966074769,0.0,0.0,0.0,True,10,True
0.5,Projected stochastic MPC,Reactive,109237.9110245774,9181.901363829696,8841.867100042502,9521.935627616891,False,10,False
0.5,Behaviour cloning,Reactive,115923.5508454647,15867.54118471702,15659.584874550266,16075.497494883773,False,10,False
0.5,Model-guided constrained SAC,Reactive,116385.41313409916,16329.403473351447,16112.620684183043,16546.186262519852,False,10,False
0.625,Passive,Reactive,257763.89930297594,170324.56203137894,167133.02252263864,173516.10154011924,False,10,False
0.625,Reactive,Reactive,87439.3372715971,0.0,0.0,0.0,True,10,True
0.625,Projected stochastic MPC,Reactive,94429.09564565391,6989.758374056813,6705.576271761236,7273.940476352391,False,10,False
0.625,Behaviour cloning,Reactive,95984.94697321566,8545.609701618565,8344.881879759525,8746.337523477605,False,10,False
0.625,Model-guided constrained SAC,Reactive,96406.20670461156,8966.869433014492,8762.46213482445,9171.276731204534,False,10,False
0.75,Passive,Reactive,207024.5234794221,134475.00616311698,132320.53698760658,136629.47533862738,False,10,False
0.75,Reactive,Reactive,72549.5173163051,0.0,0.0,0.0,True,10,True
0.75,Projected stochastic MPC,Reactive,76868.98806122557,4319.470744920483,4108.000262377348,4530.941227463619,False,10,False
0.75,Behaviour cloning,Reactive,76732.87459614871,4183.357279843577,4009.959543970379,4356.755015716775,False,10,False
0.75,Model-guided constrained SAC,Reactive,77026.24772604233,4476.730409737226,4314.8455536640395,4638.615265810413,False,10,False
0.875,Passive,Reactive,126324.73317815945,71780.86481648084,70660.26532825615,72901.46430470553,False,10,False
0.875,Reactive,Reactive,54543.868361678586,0.0,0.0,0.0,True,10,True
0.875,Projected stochastic MPC,Reactive,57052.68837887339,2508.8200171947924,2323.2370376878607,2694.402996701724,False,10,False
0.875,Behaviour cloning,Reactive,56287.01351808981,1743.1451564112226,1597.6285706139222,1888.661742208523,False,10,False
0.875,Model-guided constrained SAC,Reactive,56479.217156729756,1935.3487950511771,1799.8744413836696,2070.823148718685,False,10,False
1.0,Passive,Reactive,35913.057438664546,6138.535813981371,5916.863184320018,6360.208443642723,False,10,False
1.0,Reactive,Reactive,29774.521624683166,0.0,0.0,0.0,True,10,True
1.0,Projected stochastic MPC,Reactive,31502.68019824346,1728.1585735603082,1529.2485991776177,1927.0685479429987,False,10,False
1.0,Behaviour cloning,Reactive,34368.2751511673,4593.753526484123,4423.869740704602,4763.637312263643,False,10,False
1.0,Model-guided constrained SAC,Reactive,35567.23618912077,5792.714564437606,5598.749065557502,5986.68006331771,False,10,False
