chi,path_id,period_offset,candidate_id,nested_formal_objective,state_sha256,teacher_action_sha256,teacher_action_0,teacher_action_1,teacher_action_2,teacher_action_3,teacher_action_4,teacher_action_5,teacher_action_6,teacher_action_7,teacher_action_8,teacher_action_9,teacher_action_10,teacher_action_11,teacher_action_12,teacher_action_13,teacher_action_14,teacher_action_15,teacher_action_16,teacher_action_17,teacher_action_18,teacher_action_19,teacher_action_20,teacher_action_21,teacher_action_22,teacher_action_23,teacher_action_24,teacher_action_25,teacher_action_26,teacher_action_27,teacher_action_28,teacher_action_29,teacher_action_30,teacher_action_31,teacher_action_32,teacher_action_33
0.0,training_000_60a9d350b650,0,zero,89.50943750000002,e9e7f4753113b72de8687b2525a4c6962f33b9932142184ca5ba11cdc4aa1831,e4d879a3407de578f579dfab4366fcea75a6649c683d9efe4f056f6505437574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,1,zero,89.50943750000002,858b1ce50860df7e9d695dfd5d2a5386cbe77e1840119cccee821568e60025e9,e4d879a3407de578f579dfab4366fcea75a6649c683d9efe4f056f6505437574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,2,release_full,15934.652673119606,7da40385264a9273309c2731b975a751bd4c13b5f2a0476fb26602c7bc06be9e,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,3,release_full,19783.00525895344,3a028a731b35cc420b7c70a146c6e7a8639395917294e197c94a2a5a7448d59c,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,4,release_full,19440.613555503693,a030478f46726a070b649d6c58d608f5c3a1a7ea1d1f80d606e2ffcae27c31c4,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,5,release_full,20205.76331814199,e12178c9b38d9a58d46478e83c5601851c16eb18d877c130bd8472d4039f4996,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,6,release_full,20967.404926450046,5eac010125caaf3166b3da8503d5eaf6380197e4eeee4b4ae8c0cf60a6bd46a1,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,7,release_full,19301.560785933216,7c737ade37b7e6ab1555935c860ca756ce481dc30fd26682fcacfe5b039715ac,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,8,release_full,22509.68247184978,8bf97e63c5e89e08fa343a863d44477c3adce3fcdc68bf10e884e0cc09bf9ec3,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,training_000_60a9d350b650,9,release_full,22988.532080857432,55222aa263fdcd396ffe1689209f6ceeb3ea74ea76915ce0691a4979284938ae,83d60cee168aad3323599a6a547cf1911271e7a9eced853af0ae65cf8cd4d989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
