restriction,path_id,training_seed,all_step_acceptance_passed,maximum_transition_residual,maximum_source_simplex_residual,maximum_waiting_identity_residual,maximum_provenance_shadow_residual,maximum_period_loss_identity_residual,loss_components_reconstruct_total,restriction_changes_only_declared_action_block,no_readiness_starts_without_readiness_stock,direct_procurement_retained_under_no_readiness,no_release_pacing_uses_immediate_release_baseline,no_disclosure_preserves_information_system,policy,chi,commitment_split_identity_passed,committed_provenance_conservation_passed,existing_state_relabelled_by_chi,initial_committed_outstanding
full_action,test_000_4ae657b9eeec,,True,9.972160195508818e-07,7.525271096368857e-15,7.105427357601002e-15,4.263256414560601e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,,True,9.75679091562965e-07,9.171408055073547e-15,7.105427357601002e-15,1.7763568394002505e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,,True,9.889742906931528e-07,1.1695244788887879e-14,1.4210854715202004e-14,6.394884621840903e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,4237354934.0,True,9.92076009101004e-07,9.667779950076408e-15,1.4210854715202004e-14,3.907985046680551e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,60714114.0,True,9.609341173425856e-07,1.3767281348416819e-14,1.4210854715202004e-14,7.460698725481053e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,1484239003.0,True,9.994899337792162e-07,8.998160594723362e-15,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,1044336490.0,True,9.947665797953243e-07,1.2023381964522406e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,2857687458.0,True,9.790072389151616e-07,1.1888436910530587e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_000_4ae657b9eeec,3413089447.0,True,9.93832717857616e-07,8.733353531456198e-15,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,,True,9.7254341455689e-07,1.231577773791459e-14,7.105427357601002e-15,3.1974423109204515e-14,0.0,True,True,True,True,True,True,Passive,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,,True,9.78522506706723e-07,1.0694504160827131e-14,1.4210854715202004e-14,1.7763568394002505e-14,0.0,True,True,True,True,True,True,Reactive,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,,True,9.903550930241058e-07,1.1736439812761118e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Projected stochastic MPC,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,4237354934.0,True,9.886749419437506e-07,1.1801701583764694e-14,1.4210854715202004e-14,2.131628207280301e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,60714114.0,True,9.977812410724698e-07,1.2639549305738967e-14,1.4210854715202004e-14,1.4210854715202004e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,1484239003.0,True,9.93179806414022e-07,9.021960632354432e-15,1.4210854715202004e-14,4.618527782440651e-14,0.0,True,True,True,True,True,True,Behaviour cloning,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,1044336490.0,True,9.498836900501564e-07,1.2993761543621772e-14,1.4210854715202004e-14,3.5527136788005016e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
full_action,test_001_dde9993de777,2857687458.0,True,9.94630334878136e-07,1.0342401034982991e-14,1.4210854715202004e-14,2.8421709430404014e-14,0.0,True,True,True,True,True,True,Model-guided constrained SAC,0.0,True,True,False,0.0
